event,role,detector,interval_id,start_s,overlap,rho_zero,rho_best,best_lag_frames,best_lag_s,dice,space_peak_time,time_peak_time,side_peak_gap_s,space_centroid_time,time_centroid_time,centroid_gap_s,joint_child_time,quadrant
GW150914,development_only,H1,0,-12.0,0.8970366698788144,0.10233913253076037,0.12499162950700672,4,0.016,0.1,-11.774267673492432,-11.856298923492432,0.08203125,-11.78142607802227,-11.797217524615906,0.01579144659363685,-11.856298923492432,S-/T+
GW150914,development_only,H1,0,-11.6,0.9208672905116577,0.21707495948425048,0.45441946778664954,-1,-0.004,0.5116279069767442,-11.461767673492432,-11.500830173492432,0.0390625,-11.415148889709677,-11.397528571741502,0.017620317968175314,-11.457861423492432,S-/T+
GW150914,development_only,H1,0,-11.2,0.9065180918193614,0.26966066520200455,0.31170874091854506,-1,-0.004,0.4186046511627907,-11.180517673492432,-10.903173923492432,0.27734375,-11.010232914697749,-11.00977587638067,0.00045703831707832876,-11.176611423492432,S-/T+
GW150914,development_only,H1,0,-10.799999999999999,0.9005130565190875,0.05388955693517129,0.21267828679126435,-7,-0.028,0.21052631578947367,-10.461767673492432,-10.434423923492432,0.02734375,-10.585249708403568,-10.593262375041858,0.008012666638290256,-10.457861423492432,S+/T-
GW150914,development_only,H1,0,-10.399999999999999,0.869156272743833,0.00013464979385541948,0.2117398352263345,-8,-0.032,0.2631578947368421,-10.067236423492432,-10.285986423492432,0.21875,-10.18074927032508,-10.197255420383716,0.016506150058635427,-10.266455173492432,S-/T+
GW150914,development_only,H1,0,-9.999999999999998,0.8680585845330883,-0.10740166664716266,0.06259899525744417,3,0.012,0.1951219512195122,-9.930517673492432,-9.828955173492432,0.1015625,-9.812658897831371,-9.791243658381365,0.021415239450005785,-9.930517673492432,S-/T-
GW150914,development_only,H1,0,-9.599999999999998,0.9160323731103981,0.13534078469997532,0.2286558835997398,-1,-0.004,0.42857142857142855,-9.340673923492432,-9.473486423492432,0.1328125,-9.39418878259412,-9.407361263609655,0.013172481015534032,-9.524267673492432,S-/T+
GW150914,development_only,H1,0,-9.199999999999998,0.8961526824058539,0.002695364436754027,0.3482836498219968,4,0.016,0.19047619047619047,-8.977392673492432,-8.836767673492432,0.140625,-8.993790696342593,-8.989135420415568,0.00465527592702486,-9.000830173492432,S-/T+
GW150914,development_only,H1,0,-8.799999999999997,0.9269749211394174,0.25459270926979577,0.3054950313260085,8,0.032,0.3157894736842105,-8.660986423492432,-8.430517673492432,0.23046875,-8.600248632062348,-8.600892771881886,0.0006441398195384807,-8.633642673492432,S-/T+
GW150914,development_only,H1,0,-8.399999999999997,0.8911831367927374,0.05611993621085023,0.1144649929538108,6,0.024,0.23809523809523808,-8.157080173492432,-8.106298923492432,0.05078125,-8.195599661049116,-8.192137376059721,0.003462284989394604,-8.106298923492432,S+/T-
GW150914,development_only,H1,0,-7.9999999999999964,0.8742719338622736,0.019250579650046264,0.31250363404523324,8,0.032,0.21052631578947367,-7.809423923492432,-7.715673923492432,0.09375,-7.779384220124627,-7.790148589024475,0.010764368899847554,-7.715673923492432,S-/T+
GW150914,development_only,H1,0,-7.599999999999996,0.8981376801813028,-0.002098474494061923,0.19013230650058874,-3,-0.012,0.35,-7.407080173492432,-7.426611423492432,0.01953125,-7.401920558496696,-7.397652568684422,0.004267989812273498,-7.407080173492432,S-/T+
GW150914,development_only,H1,0,-7.199999999999996,0.9525496648355231,0.2925683425434957,0.4455127333259736,3,0.012,0.3902439024390244,-6.828955173492432,-7.133642673492432,0.3046875,-6.985791114814668,-6.981788130737898,0.004002984076770133,-6.844580173492432,S+/T-
GW150914,development_only,H1,0,-6.799999999999995,0.9108570246570784,-0.011700190085480427,0.23426779109438253,-7,-0.028,0.3684210526315789,-6.512548923492432,-6.434423923492432,0.078125,-6.602869017012449,-6.586191605371455,0.016677411640994677,-6.434423923492432,S-/T+
GW150914,development_only,H1,0,-6.399999999999995,0.9139368656576624,-0.1022908325708686,0.20663724414710966,5,0.02,0.1951219512195122,-6.016455173492432,-6.360205173492432,0.34375,-6.202277459788172,-6.215497943137566,0.01322048334939474,-6.278173923492432,S+/T-
GW150914,development_only,H1,0,-5.999999999999995,0.9003886938334239,0.05059187507616895,0.14456152241383374,8,0.032,0.24390243902439024,-5.879736423492432,-5.914892673492432,0.03515625,-5.802925991126161,-5.791027067064602,0.011898924061559235,-5.703955173492432,S+/T-
GW150914,development_only,H1,0,-5.599999999999994,0.9128432939126777,0.0900198085763418,0.1821317916424159,-2,-0.008,0.30434782608695654,-5.477392673492432,-5.551611423492432,0.07421875,-5.412262579679951,-5.403584094712183,0.008678484967767908,-5.551611423492432,S-/T+
GW150914,development_only,H1,0,-5.199999999999994,0.8951299686405904,0.03347829360941609,0.1558480696575611,-6,-0.024,0.14634146341463414,-4.868017673492432,-5.067236423492432,0.19921875,-4.984246250079645,-4.99720201103764,0.01295576095799511,-5.067236423492432,S-/T+
GW150914,development_only,H1,0,-4.799999999999994,0.8664663307113784,-0.08632564530593707,-0.00689545509706022,8,0.032,0.05128205128205128,-4.430517673492432,-4.489111423492432,0.05859375,-4.589674068337184,-4.588042214891623,0.001631853445561049,-4.450048923492432,S-/T+
GW150914,development_only,H1,0,-4.399999999999993,0.9328971706298093,0.21678504141939053,0.29813373008135713,-1,-0.004,0.3333333333333333,-4.309423923492432,-4.032080173492432,0.27734375,-4.184861678403165,-4.194656358176874,0.009794679773708737,-4.125830173492432,S-/T+
GW150914,development_only,H1,1,4.0,0.9013735313787757,0.01881210250622255,0.15192404706568155,-4,-0.016,0.1,4.155419826507568,4.229638576507568,0.07421875,4.194935840145496,4.19501201503702,7.617489152345058e-05,4.085107326507568,S-/T+
GW150914,development_only,H1,1,4.4,0.8953577394011112,0.1901652416496188,0.2325725230685048,-3,-0.012,0.43902439024390244,4.651513576507568,4.577294826507568,0.07421875,4.593735098618174,4.589900243619632,0.003834854998541637,4.655419826507568,S-/T+
GW150914,development_only,H1,1,4.800000000000001,0.9187412278517237,0.22494767839595015,0.2706776927711882,7,0.028,0.358974358974359,4.815576076507568,4.983544826507568,0.16796875,4.9798683797388215,5.003462101452756,0.023593721713934812,4.967919826507568,S+/T-
GW150914,development_only,H1,1,5.200000000000001,0.9317706467481058,0.4183698676633193,0.4183698676633193,0,0.0,0.32558139534883723,5.436669826507568,5.526513576507568,0.08984375,5.397804047011572,5.412858845425221,0.015054798413649095,5.413232326507568,S+/T-
GW150914,development_only,H1,1,5.600000000000001,0.9160429634633419,0.1010373110439751,0.3694958331485863,-5,-0.02,0.4878048780487805,5.659326076507568,5.952294826507568,0.29296875,5.803939000250504,5.799737647459289,0.0042013527912150295,5.956201076507568,S-/T+
GW150914,development_only,H1,1,6.000000000000002,0.8834744755214297,0.041519936880747434,0.21721766262751888,-8,-0.032,0.10526315789473684,6.034326076507568,6.194482326507568,0.16015625,6.195352216102181,6.196185845399376,0.0008336292971948822,6.303857326507568,S-/T+
GW150914,development_only,H1,1,6.400000000000002,0.9023618603411063,0.058928745328338784,0.2673501001892716,6,0.024,0.24390243902439024,6.620263576507568,6.682763576507568,0.0625,6.606788174082542,6.599769345981663,0.007018828100878949,6.651513576507568,S-/T+
GW150914,development_only,H1,1,6.8000000000000025,0.9163992660122274,-0.08070980301447395,0.3125511833949573,5,0.02,0.3333333333333333,6.913232326507568,7.159326076507568,0.24609375,7.000008740600962,7.005313943065576,0.005305202464613856,7.159326076507568,S-/T+
GW150914,development_only,H1,1,7.200000000000003,0.8836458740427029,-0.06953986147152129,0.1949810655110213,4,0.016,0.4878048780487805,7.362451076507568,7.518701076507568,0.15625,7.3974792710178745,7.4102867364490255,0.012807465431150966,7.432763576507568,S+/T-
GW150914,development_only,H1,1,7.600000000000003,0.8945997384479415,0.06279374480969852,0.23995711416870788,-7,-0.028,0.2,7.885888576507568,7.643701076507568,0.2421875,7.819760460995636,7.793477140297292,0.026283320698343715,7.893701076507568,S+/T-
GW150914,development_only,H1,1,8.000000000000004,0.9211943598008672,0.10189702842307999,0.13698461848656626,-8,-0.032,0.10256410256410256,8.190576076507568,8.190576076507568,0.0,8.216448582840917,8.197475982772817,0.018972600068099865,8.190576076507568,S-/T+
