gate_rank,gate_q,first_eligible_parent,eligible_parent_count,mean_phase_a,mean_ridge_distance,below_ridge_share,equal_ridge_share,above_ridge_share,phi_nearest_folded_residue,phi_observed_hits,phi_observed_share,phi_expected_share,phi_occupancy_excess,phi_occupancy_lift,phi_observed_mean_distance,phi_expected_mean_distance,phi_distance_delta,quarter_nearest_folded_residue,quarter_observed_hits,quarter_observed_share,quarter_expected_share,quarter_occupancy_excess,quarter_occupancy_lift,quarter_observed_mean_distance,quarter_expected_mean_distance,quarter_distance_delta,third_nearest_folded_residue,third_observed_hits,third_observed_share,third_expected_share,third_occupancy_excess,third_occupancy_lift,third_observed_mean_distance,third_expected_mean_distance,third_distance_delta,half_nearest_folded_residue,half_observed_hits,half_observed_share,half_expected_share,half_occupancy_excess,half_occupancy_lift,half_observed_mean_distance,half_expected_mean_distance,half_distance_delta,two_thirds_nearest_folded_residue,two_thirds_observed_hits,two_thirds_observed_share,two_thirds_expected_share,two_thirds_occupancy_excess,two_thirds_occupancy_lift,two_thirds_observed_mean_distance,two_thirds_expected_mean_distance,two_thirds_distance_delta
11,31,4000000007,45166,1.0026025857303453,0.48435234611247685,0.49935792410220076,0.0,0.5006420758977992,6,3033,0.06715228269051941,0.06666666666666667,0.0004856160238527474,1.0072842403577913,0.2590667039824085,0.2597747704435134,-0.0007080664611048837,4,2988,0.06615595802152062,0.06666666666666667,-0.0005107086451460463,0.9923393703228093,0.31398796982600385,0.31451612903225806,-0.0005281592062542084,5,3009,0.06662090953372006,0.06666666666666667,-4.575713294660555e-05,0.999313643005801,0.2753493802312997,0.27598566308243727,-0.0006362828511375929,8,3057,0.06768365584731878,0.06666666666666667,0.0010169891806521142,1.0152548377097816,0.24118413365463315,0.24193548387096775,-0.0007513502163346009,10,3003,0.06648806624452021,0.06666666666666667,-0.00017860042214645766,0.9973209936678031,0.26493284747923906,0.2652329749103942,-0.0003001274311551505
12,37,4000000007,45166,0.9998061206049516,0.4857743985849198,0.5006642164459992,0.0,0.4993357835540008,7,2493,0.055196386662533764,0.05555555555555555,-0.00035916889302178845,0.9935349599256078,0.2610293799028828,0.26046400951198867,0.0005653703908941043,5,2530,0.05601558694593278,0.05555555555555555,0.0004600313903772302,1.00828056502679,0.31518596265308396,0.31456456456456455,0.0006213980885194093,6,2505,0.05546207324093345,0.05555555555555555,-9.348231462210504e-05,0.9983173183368022,0.2768621697019164,0.27627627627627627,0.0005858934256401382,9,2505,0.05546207324093345,0.05555555555555555,-9.348231462210504e-05,0.9983173183368022,0.2435514157384591,0.24324324324324326,0.000308172495215836,12,2565,0.05679050613293185,0.05555555555555555,0.001234950577376298,1.0222291103927734,0.2669615548329625,0.2672672672672673,-0.00030571243430477235
13,41,4000000007,45166,0.9990862973767229,0.48814184639211666,0.5017491033077979,0.0,0.49825089669220207,8,2243,0.049661249612540405,0.05,-0.0003387503874595979,0.9932249922508081,0.2614278336752902,0.2610199527225295,0.0004078809527607308,5,2218,0.04910773590754107,0.05,-0.0008922640924589331,0.9821547181508213,0.31417302892419613,0.31402439024390244,0.00014863868029368899,7,2238,0.04955054687154054,0.05,-0.0004494531284594608,0.9910109374308108,0.2767374120183215,0.2764227642276423,0.00031464779067924553,10,2283,0.05054687154053934,0.05,0.0005468715405393398,1.0109374308107868,0.24428962861120443,0.24390243902439024,0.0003871895868141906,14,2241,0.04961696851614046,0.05,-0.00038303148385954167,0.9923393703228092,0.26860517066402567,0.2682926829268293,0.00031248773719638745
14,43,4000000007,45166,1.0020832711166767,0.4881589258847724,0.4987601293008015,0.0,0.5012398706991985,8,2122,0.04698224328034362,0.047619047619047616,-0.0006368043387039932,0.9866271088872162,0.26112066245724735,0.261215180045656,-9.45175884086713e-05,5,2149,0.0475800380817429,0.047619047619047616,-3.900953730471418e-05,0.999180799716601,0.3142263835010694,0.31423034330011074,-3.959799041330925e-06,7,2124,0.04702652437674357,0.047619047619047616,-0.0005925232423040494,0.9875570119116149,0.276454093375445,0.2764857881136951,-3.169473825009872e-05,11,2104,0.0465837134127441,0.047619047619047616,-0.0010353342063035148,0.9782579816676262,0.2439085173144236,0.2441860465116279,-0.000277529197204307,14,2123,0.04700438382854359,0.047619047619047616,-0.0006146637905040248,0.9870920603994154,0.26833417604722215,0.2687338501291989,-0.00039967408197677523
15,47,4000000007,45166,1.0027576759396308,0.48968109131233156,0.49778594518000263,0.0,0.5022140548199974,9,2006,0.044413939689146704,0.043478260869565216,0.0009356788195814883,1.0215206128503742,0.2613045389814097,0.2611777819599588,0.00012675702145092949,6,1964,0.043484036664747816,0.043478260869565216,5.775795182599852e-06,1.0001328432891998,0.3139548577775977,0.31382978723404253,0.00012507054355515024,8,1959,0.04337333392374795,0.043478260869565216,-0.00010492694581726303,0.9975866802462029,0.27675528224802254,0.2765957446808511,0.00015953756717146383,12,1930,0.04273125802594872,0.043478260869565216,-0.0007470028436164927,0.9828189345968207,0.2450506453263187,0.24468085106382978,0.0003697942624889261,16,1969,0.043594739405747686,0.043478260869565216,0.00011647853618246967,1.0026790063321969,0.27002329939391423,0.2695035460992907,0.000519753294623504
16,53,4000000007,45166,1.000028406741087,0.49356963285958133,0.4993357835540008,0.0,0.5006642164459992,10,1718,0.03803746180755436,0.038461538461538464,-0.0004240766539841054,0.9889740069964132,0.260503276303473,0.26163629058234145,-0.0011330142788684716,7,1743,0.038590975512553694,0.038461538461538464,0.00012943705101522984,1.003365363326396,0.31183270267583146,0.3138606676342525,-0.002027964958421058,9,1759,0.038945224283753264,0.038461538461538464,0.0004836858222148008,1.0125758313775848,0.27524126931345083,0.2767295597484277,-0.001488290434976891,13,1739,0.0385024133197538,0.038461538461538464,4.0874858215335375e-05,1.0010627463135988,0.24514056741629828,0.24528301886792453,-0.00014245145162625206,18,1711,0.03788247797015454,0.038461538461538464,-0.0005790604913839259,0.984944427224018,0.27195945522554527,0.27044025157232704,0.0015192036532182263
17,59,4000000007,45166,0.99938982150215,0.489934306366646,0.49931364300580083,0.0,0.5006863569941992,11,1540,0.034096444227959086,0.034482758620689655,-0.000386314392730569,0.9887968826108134,0.26246702550868445,0.26198015041128386,0.0004868750974005853,7,1543,0.034162865872559005,0.034482758620689655,-0.0003198927481306499,0.9907231103042111,0.3145411990570378,0.31370543541788426,0.0008357636391535528,10,1563,0.03460567683655847,0.034482758620689655,0.00012291821586881552,1.0035646282601955,0.27741431420214846,0.27683615819209045,0.0005781560100580063,15,1585,0.035092768896957886,0.034482758620689655,0.0006100102762682316,1.0176902980117788,0.24604153266631493,0.2457627118644068,0.0002788208019081362,20,1533,0.03394146039055927,0.034482758620689655,-0.0005412982301303826,0.9843023513262189,0.271309026764045,0.2711864406779661,0.00012258608607890187
18,61,4000000007,45166,0.9999005490130034,0.4926794636615531,0.4999335783554001,0.0,0.5000664216445999,12,1504,0.03329938449276004,0.03333333333333333,-3.394884057329045e-05,0.9989815347828013,0.2620567861344806,0.26207682322948017,-2.0037094999592053e-05,8,1554,0.03440641190275871,0.03333333333333333,0.00107307856942538,1.0321923570827614,0.31297951527443757,0.31366120218579235,-0.0006816869113547841,10,1545,0.03420714696895895,0.03333333333333333,0.0008738136356256157,1.0262144090687684,0.2765557727668353,0.27686703096539167,-0.0003112581985563745,15,1461,0.032347340920161186,0.03333333333333333,-0.0009859924131721473,0.9704202276048356,0.24647039736113702,0.2459016393442623,0.0005687580168747264,20,1516,0.03356507107115972,0.03333333333333333,0.00023173773782638601,1.0069521321347916,0.27229583450387873,0.2714025500910746,0.0008932844128041184
19,67,4000000007,45166,0.9981137574757396,0.4909372457554586,0.5011291679581986,0.0,0.4988708320418014,13,1298,0.028738431563565515,0.030303030303030304,-0.0015645987394647884,0.948368241597662,0.26293432182650844,0.26217751931984923,0.0007568025066592154,8,1356,0.03002258335916397,0.030303030303030304,-0.0002804469438663325,0.990745250852411,0.3145952146013941,0.3135459068294889,0.0010493077719052057,11,1336,0.029579772395164506,0.030303030303030304,-0.0007232579078657979,0.9761324890404287,0.277830614011376,0.2769485903814262,0.0008820236299497686,17,1343,0.02973475623256432,0.030303030303030304,-0.0005682740704659843,0.9812469556746225,0.2463159119163074,0.2462686567164179,4.7255199889489896e-05,22,1369,0.030310410485763627,0.030303030303030304,7.380182733322804e-06,1.0002435460301997,0.27100890182220017,0.27197346600331673,-0.0009645641811165673
20,71,4000000007,45166,1.0011082747648268,0.4929720910593972,0.5,0.0,0.5,14,1279,0.02831776114776602,0.02857142857142857,-0.00025366742366255204,0.9911216401718107,0.261463899516323,0.2623435488173774,-0.0008796493010544415,9,1319,0.029203383075764956,0.02857142857142857,0.0006319545043363857,1.0221184076517735,0.31274397480842187,0.31338028169014087,-0.0006363068817190065,12,1295,0.028672009918965593,0.02857142857142857,0.00010058134753702236,1.0035203471637957,0.27612984880604236,0.27699530516431925,-0.0008654563582768948,18,1259,0.02787495018376655,0.02857142857142857,-0.0006964783876620209,0.9756232564318292,0.24575322456815016,0.24647887323943662,-0.0007256486712864663,24,1302,0.028826993756365406,0.02857142857142857,0.00025556518493683594,1.0089447814727892,0.2717772041331518,0.272300469483568,-0.000523265350416191
