gap,events,positives,actual_rate,mean_number,mean__ara_parent_only,mean__ara_parent_ara_endpoints_child,mean__ara_parent_raw_edge_child,mean__hl29_reference
2,331871,30704,0.09251787592166835,1005000031.8459371,0.09110946208238602,0.09096703112365524,0.09106854001845197,0.0925953485959761
4,331861,30804,0.09282199475081435,1005000024.7397947,0.09110946208238602,0.09132791048771202,0.09130834593383025,0.0925953486502058
6,433332,40022,0.0923587457192176,1004999668.7432823,0.09110946208238602,0.09109774770690783,0.09124132445719421,0.09259535180085848
8,128430,11815,0.0919956396480573,1005000486.5500116,0.09110946208238602,0.09096943814967927,0.09040637033288328,0.0925953445389625
10,150938,14075,0.09325020869496084,1004999689.755595,0.09110946208238602,0.09118187073058164,0.0908128240909408,0.09259535160321626
12,106172,9916,0.09339562219794297,1004998158.2611234,0.09110946208238602,0.09097994673055841,0.0913132383082755,0.09259536520021563
14,42374,3846,0.09076320385141833,1005005885.5686506,0.09110946208238602,0.09129948010272104,0.0917039576212988,0.09259529656366283
16,18869,1715,0.09088981928030103,1005014632.9859028,0.09110946208238602,0.09127072902716453,0.09210187278664657,0.09259521872366137
18,21878,1980,0.09050187402870463,1004995396.4008594,0.09110946208238602,0.09128175730459356,0.09072766816634312,0.09259538943830636
20,4004,340,0.08491508491508491,1005002990.080919,0.09110946208238602,0.09147016018755608,0.08806519485734679,0.0925953220560059
22,5096,514,0.10086342229199372,1005006626.8873626,0.09110946208238602,0.09010203562682755,0.09042203061727096,0.0925952902780523
24,3212,292,0.09090909090909091,1004921160.9433374,0.09110946208238602,0.08854438146694585,0.0868696911773119,0.09259605026714729
26,605,63,0.10413223140495868,1005032112.9338843,0.09110946208238602,0.09135680255318476,0.08831297505246706,0.09259506298932328
28,514,39,0.07587548638132295,1005077126.8326849,0.09110946208238602,0.08808442603811216,0.08947017185882836,0.09259466492332637
30,244,17,0.06967213114754098,1004904554.2868853,0.09110946208238602,0.08812598001639374,0.09095689159680585,0.09259619666539108
32,22,0,0.0,1004760163.7272727,0.09110946208238602,0.09126919914375652,0.09074486419558525,0.09259746886706409
34,26,4,0.15384615384615385,1005908536.6923077,0.09110946208238602,0.08700813295749518,0.09798880867086925,0.09258726455775626
36,11,0,0.0,1005442243.5454545,0.09110946208238602,0.08841664547269995,0.09067605639045889,0.09259140256800179
38,2,0,0.0,1002453881.0,0.09110946208238602,0.09133117645978928,0.0903959795832634,0.09261799606120841
40,3,1,0.3333333333333333,1007837537.0,0.09110946208238602,0.08602529019117355,0.09899727255105972,0.09257014117818012
42,2,0,0.0,1007785365.0,0.09110946208238602,0.08880162239074707,0.09111715853214264,0.09257058889737757
