task,model,bins,shrinkage,events,positives,actual_rate,mean_prediction,calibration_error,log_loss_bits,gain_vs_analytic_bits,brier_score
candidate,candidate_pnt29,,,1579479,541854,0.343058692138357,0.34280204749507953,-0.0002566446432774594,0.927715513768527,0.0,0.22536938870765982
edge,edge_hl29,,,1579478,184913,0.1170722225950599,0.1166342657516988,-0.00043795684336109253,0.5208873054139129,0.0,0.1033664909167967
candidate,raw_local_l64,,64.0,1579479,541854,0.343058692138357,0.3428334420622043,-0.00022525007615270543,0.9277422311245609,-2.671735603387848e-05,0.22537770648368327
candidate,raw_local_l16,,16.0,1579479,541854,0.343058692138357,0.3428301218714101,-0.00022857026694689253,0.9277504761950349,-3.4962426507911815e-05,0.22538017987150386
candidate,raw_local_l32,,32.0,1579479,541854,0.343058692138357,0.34283144577777347,-0.00022724636058352177,0.9277461110537115,-3.0597285184508216e-05,0.22537888081032925
candidate,raw_local_l128,,128.0,1579479,541854,0.343058692138357,0.34283592839723676,-0.00022276374112023545,0.927738888116308,-2.3374347780991123e-05,0.22537667870066105
candidate,raw_stencil_l64,,64.0,1579479,541854,0.343058692138357,0.3428711049337666,-0.00018758720459038924,0.9280708875368201,-0.000355373768293088,0.22548016264790302
candidate,raw_stencil_l16,,16.0,1579479,541854,0.343058692138357,0.3428812492368684,-0.0001774429014885781,0.9282781403096356,-0.0005626265411086129,0.22554390517808062
candidate,raw_stencil_l32,,32.0,1579479,541854,0.343058692138357,0.3428773330839113,-0.00018135905444571776,0.9281669321303219,-0.00045141836179485306,0.22550986775279278
candidate,raw_stencil_l128,,128.0,1579479,541854,0.343058692138357,0.34286149383232906,-0.00019719830602793476,0.9279882366802854,-0.000272722911758394,0.2254544841769709
candidate,ara_plain_b12_l64,12.0,64.0,1579479,541854,0.343058692138357,0.3428262779184057,-0.00023241421995129352,0.9277147420336138,7.717349131963758e-07,0.22536914799808017
candidate,ara_plain_b12_l16,12.0,16.0,1579479,541854,0.343058692138357,0.342826097041103,-0.00023259509725398475,0.9277147383517086,7.75416818421526e-07,0.2253691468520619
candidate,ara_plain_b12_l32,12.0,32.0,1579479,541854,0.343058692138357,0.3428261577290786,-0.00023253440927839542,0.9277147395920773,7.741764497248838e-07,0.2253691472381427
candidate,ara_plain_b12_l128,12.0,128.0,1579479,541854,0.343058692138357,0.34282651369905764,-0.00023217843929934645,0.9277147467683757,7.670001512805058e-07,0.22536914947170988
candidate,ara_i3_b12_l64,12.0,64.0,1579479,541854,0.343058692138357,0.342834331089032,-0.0002243610493249948,0.9278764863574542,-0.00016097258892722177,0.22541978139334684
candidate,ara_i3_b12_l16,12.0,16.0,1579479,541854,0.343058692138357,0.34283953219258556,-0.00021915994577142994,0.9279115184022726,-0.0001960046337455834,0.2254308696104871
candidate,ara_i3_b12_l32,12.0,32.0,1579479,541854,0.343058692138357,0.3428372132986045,-0.00022147883975248694,0.9278952599828436,-0.00017974621431660065,0.22542571375756926
candidate,ara_i3_b12_l128,12.0,128.0,1579479,541854,0.343058692138357,0.3428321368748993,-0.00022655526345771726,0.927855611375214,-0.00014009760668698412,0.22541321807604942
candidate,ara_decompressed_b12_l64,12.0,64.0,1579479,541854,0.343058692138357,0.34286411525719707,-0.00019457688115992466,0.927985149490021,-0.000269635721493966,0.22545351234955402
candidate,ara_decompressed_b12_l16,12.0,16.0,1579479,541854,0.343058692138357,0.3428600717962229,-0.00019862034213408153,0.9281159627382765,-0.0004004489697494451,0.22549356790452854
candidate,ara_decompressed_b12_l32,12.0,32.0,1579479,541854,0.343058692138357,0.34286245891924605,-0.00019623321911094171,0.9280474993990662,-0.00033198563053915553,0.22547272720323996
candidate,ara_decompressed_b12_l128,12.0,128.0,1579479,541854,0.343058692138357,0.3428636919497016,-0.00019500018865536983,0.9279289548858611,-0.0002134411173341233,0.22543606660441337
candidate,logratio_i3_b12_l64,12.0,64.0,1579479,541854,0.343058692138357,0.342834331089032,-0.0002243610493249948,0.9278764863574542,-0.00016097258892722177,0.22541978139334684
candidate,logratio_i3_b12_l16,12.0,16.0,1579479,541854,0.343058692138357,0.34283953219258556,-0.00021915994577142994,0.9279115184022726,-0.0001960046337455834,0.2254308696104871
candidate,logratio_i3_b12_l32,12.0,32.0,1579479,541854,0.343058692138357,0.3428372132986045,-0.00022147883975248694,0.9278952599828436,-0.00017974621431660065,0.22542571375756926
candidate,logratio_i3_b12_l128,12.0,128.0,1579479,541854,0.343058692138357,0.3428321368748993,-0.00022655526345771726,0.927855611375214,-0.00014009760668698412,0.22541321807604942
edge,raw_edge_l64,,64.0,1579478,184913,0.1170722225950599,0.11648362684964333,-0.0005885957454165591,0.5210208247014382,-0.00013351928752525222,0.10338538350225261
edge,raw_edge_l16,,16.0,1579478,184913,0.1170722225950599,0.11647571786524405,-0.0005965047298158443,0.5210813552261231,-0.00019404981221016193,0.10339324566736026
edge,raw_edge_l32,,32.0,1579478,184913,0.1170722225950599,0.116479480804219,-0.0005927417908409005,0.5210494391896195,-0.0001621337757066188,0.10338920036479814
edge,raw_edge_l128,,128.0,1579478,184913,0.1170722225950599,0.1164869884563175,-0.0005852341387423965,0.5209950070839434,-0.00010770167003049114,0.10338182596305628
edge,ara_edge_b12_l64,12.0,64.0,1579478,184913,0.1170722225950599,0.11645713705204255,-0.0006150855430173408,0.5209240300571576,-3.672464324466773e-05,0.10337178628603891
edge,ara_edge_b12_l16,12.0,16.0,1579478,184913,0.1170722225950599,0.11645803473869569,-0.0006141878563642039,0.5209260920913729,-3.878667745993436e-05,0.10337204612359832
edge,ara_edge_b12_l32,12.0,32.0,1579478,184913,0.1170722225950599,0.11645776371443842,-0.0006144588806214768,0.520925183273557,-3.787785964404211e-05,0.10337194491335328
edge,ara_edge_b12_l128,12.0,128.0,1579478,184913,0.1170722225950599,0.1164560030740053,-0.0006162195210545895,0.5209224237468397,-3.511833292679789e-05,0.10337154939435492
edge,ara_edge_decompressed_b12_l64,12.0,64.0,1579478,184913,0.1170722225950599,0.1164714594690853,-0.000600763125974596,0.5209551734886801,-6.78680747672189e-05,0.10337602290570236
edge,ara_edge_decompressed_b12_l16,12.0,16.0,1579478,184913,0.1170722225950599,0.11646541376238072,-0.000606808832679176,0.5209800033880485,-9.269797413558045e-05,0.10337913369112674
edge,ara_edge_decompressed_b12_l32,12.0,32.0,1579478,184913,0.1170722225950599,0.1164679500298269,-0.0006042725652329883,0.520967490509023,-8.018509511009686e-05,0.10337759224437057
edge,ara_edge_decompressed_b12_l128,12.0,128.0,1579478,184913,0.1170722225950599,0.11647575727974255,-0.000596465315317346,0.5209436292576202,-5.632384370723997e-05,0.10337448770437228
edge,logratio_edge_b12_l64,12.0,64.0,1579478,184913,0.1170722225950599,0.11645713705204255,-0.0006150855430173408,0.5209240300571576,-3.672464324466773e-05,0.10337178628603891
edge,logratio_edge_b12_l16,12.0,16.0,1579478,184913,0.1170722225950599,0.11645803473869569,-0.0006141878563642039,0.5209260920913729,-3.878667745993436e-05,0.10337204612359832
edge,logratio_edge_b12_l32,12.0,32.0,1579478,184913,0.1170722225950599,0.11645776371443842,-0.0006144588806214768,0.520925183273557,-3.787785964404211e-05,0.10337194491335328
edge,logratio_edge_b12_l128,12.0,128.0,1579478,184913,0.1170722225950599,0.1164560030740053,-0.0006162195210545895,0.5209224237468397,-3.511833292679789e-05,0.10337154939435492
candidate,ara_plain_b8_l64,8.0,64.0,1579479,541854,0.343058692138357,0.3428261165097042,-0.00023257562865280912,0.9277196454314225,-4.13166289547906e-06,0.22537068066313695
candidate,ara_i3_b8_l64,8.0,64.0,1579479,541854,0.343058692138357,0.3428347988561428,-0.00022389328221417149,0.9278136096028505,-9.809583432351943e-05,0.2254000436438192
candidate,ara_decompressed_b8_l64,8.0,64.0,1579479,541854,0.343058692138357,0.3428597737864786,-0.00019891835187840767,0.9279299142474811,-0.00021440047895404657,0.22543624888178407
candidate,logratio_i3_b8_l64,8.0,64.0,1579479,541854,0.343058692138357,0.3428347988561428,-0.00022389328221417149,0.9278136096028505,-9.809583432351943e-05,0.2254000436438192
edge,ara_edge_b8_l64,8.0,64.0,1579478,184913,0.1170722225950599,0.11645774423504414,-0.000614478360015755,0.5209059227295222,-1.86173156092595e-05,0.10336913174833245
edge,ara_edge_decompressed_b8_l64,8.0,64.0,1579478,184913,0.1170722225950599,0.11646285079449621,-0.0006093718005636822,0.5209404815950618,-5.31761811488618e-05,0.10337402858194553
edge,logratio_edge_b8_l64,8.0,64.0,1579478,184913,0.1170722225950599,0.11645774423504414,-0.000614478360015755,0.5209059227295222,-1.86173156092595e-05,0.10336913174833245
candidate,ara_plain_b16_l64,16.0,64.0,1579479,541854,0.343058692138357,0.34282451269281833,-0.00023417944553866255,0.9277208867835752,-5.373015048215635e-06,0.2253710681910952
candidate,ara_i3_b16_l64,16.0,64.0,1579479,541854,0.343058692138357,0.3428484273665348,-0.0002102647718221773,0.9279791616883638,-0.0002636479198367958,0.225451869994985
candidate,ara_decompressed_b16_l64,16.0,64.0,1579479,541854,0.343058692138357,0.34287333168808365,-0.00018536045027334191,0.9280140735637402,-0.00029855979521320464,0.2254626287790332
candidate,logratio_i3_b16_l64,16.0,64.0,1579479,541854,0.343058692138357,0.3428484273665348,-0.0002102647718221773,0.9279791616883638,-0.0002636479198367958,0.225451869994985
edge,ara_edge_b16_l64,16.0,64.0,1579478,184913,0.1170722225950599,0.11646018237789203,-0.0006120402171678613,0.5209432188255813,-5.591341166832908e-05,0.10337446161134246
edge,ara_edge_decompressed_b16_l64,16.0,64.0,1579478,184913,0.1170722225950599,0.11647685194740758,-0.0005953706476523185,0.5209883983742575,-0.00010109296034455095,0.10338074312922595
edge,logratio_edge_b16_l64,16.0,64.0,1579478,184913,0.1170722225950599,0.11646018237789203,-0.0006120402171678613,0.5209432188255813,-5.591341166832908e-05,0.10337446161134246
candidate,ara_plain_b24_l64,24.0,64.0,1579479,541854,0.343058692138357,0.3428269462323411,-0.00023174590601587886,0.9277201695944258,-4.655825898813859e-06,0.225370845047408
candidate,ara_i3_b24_l64,24.0,64.0,1579479,541854,0.343058692138357,0.3428461803737355,-0.00021251176462150356,0.9280155668124842,-0.00030005304395719357,0.22546296751359055
candidate,ara_decompressed_b24_l64,24.0,64.0,1579479,541854,0.343058692138357,0.34286025461691083,-0.00019843752144615978,0.9280426330733866,-0.00032711930485962437,0.22547145080281486
candidate,logratio_i3_b24_l64,24.0,64.0,1579479,541854,0.343058692138357,0.3428461803737355,-0.00021251176462150356,0.9280155668124842,-0.00030005304395719357,0.22546296751359055
edge,ara_edge_b24_l64,24.0,64.0,1579478,184913,0.1170722225950599,0.11646177286250183,-0.0006104497325580688,0.5209629901232161,-7.568470930319204e-05,0.10337730078641885
edge,ara_edge_decompressed_b24_l64,24.0,64.0,1579478,184913,0.1170722225950599,0.11647920812387513,-0.0005930144711847607,0.5209884218329114,-0.00010111641899845925,0.10338080954430993
edge,logratio_edge_b24_l64,24.0,64.0,1579478,184913,0.1170722225950599,0.11646177286250183,-0.0006104497325580688,0.5209629901232161,-7.568470930319204e-05,0.10337730078641885
