population,landmark_region,lower_inclusive,upper_exclusive,count,share
prime,left_singularity_well,0.0,0.25,50670,0.12465128636585042
prime,left_inner_to_phi,0.25,0.3819660112501051,26962,0.06632816228529818
prime,left_phi_to_ridge,0.3819660112501051,1.0,125650,0.3091066534807402
prime,ridge_to_right_phi,1.0,1.618033988749895,125655,0.30911895378529575
prime,right_phi_to_inner,1.618033988749895,1.75,27080,0.06661844947280894
prime,right_singularity_well,1.75,2.000000000001,50477,0.12417649461000654
survivor_composite,left_singularity_well,0.0,0.25,10195,0.12435808297044437
survivor_composite,left_inner_to_phi,0.25,0.3819660112501051,5433,0.06627145314158159
survivor_composite,left_phi_to_ridge,0.3819660112501051,1.0,25363,0.3093765628621266
survivor_composite,ridge_to_right_phi,1.0,1.618033988749895,25437,0.31027921103670364
survivor_composite,right_phi_to_inner,1.618033988749895,1.75,5458,0.06657640184920896
survivor_composite,right_singularity_well,1.75,2.000000000001,10095,0.12313828813993487
