block,X_M2_minus_XY_M2_cross_entropy_gain_bits
1,-0.054638953056371516
2,-0.062920190258185
3,-0.06240740023318834
4,-0.059613528091581956
5,-0.060525986644585264
6,-0.06378982830232219
7,-0.058577925180146845
8,-0.05628780696284454
9,-0.06077002490953271
10,-0.05653261100809787
11,-0.05610481786528543
12,-0.05983878114370207
13,-0.05796307284696164
14,-0.06285212262501985
15,-0.05914425631127729
16,-0.059077488707283694
17,-0.062412786304396714
18,-0.060433254429988106
19,-0.058737488369624155
20,-0.060531288142189554
21,-0.06197590288643698
22,-0.0598051823000434
23,-0.05738969549912056
24,-0.06058157199312161
25,-0.05416866556697266
26,-0.05767439468707456
27,-0.055882970668563625
28,-0.05996562618508557
29,-0.05944021801293984
30,-0.05918816779833868
31,-0.06185289019219514
32,-0.056907174384728844
33,-0.06027444990481355
34,-0.057864058301086686
35,-0.05898966741321039
36,-0.054647460513765046
37,-0.06053187936656017
38,-0.06333643550254558
39,-0.05962374697763324
40,-0.057828510131216405
41,-0.05800098406609201
42,-0.06117801041917441
43,-0.059634242772896376
44,-0.057847595726729976
45,-0.05521364285973933
46,-0.06218149567151621
47,-0.0541027380995884
48,-0.06132142360779304
49,-0.0576196696776096
50,-0.060214849848843344
51,-0.05867008001696448
52,-0.05460449076834479
53,-0.056907222524067005
54,-0.06040057528574042
55,-0.060041716856339356
56,-0.05526977451492604
57,-0.06017693276782121
58,-0.060105143998124055
59,-0.059780599617848734
60,-0.05807396302419261
61,-0.060993405463090844
62,-0.056570767480313366
63,-0.05601631488429566
64,-0.05776643689385919
65,-0.057960659989449506
66,-0.06212158564102502
67,-0.05557154121083978
68,-0.05631359582048052
69,-0.058435980456522686
70,-0.05836858793707805
71,-0.06014998502652883
72,-0.06277115342106705
73,-0.06164916265538558
74,-0.06086748840018949
75,-0.06337619242034244
76,-0.05892185833435252
77,-0.060999162040395745
78,-0.06072680473239618
79,-0.06574381354722726
80,-0.060345832574158265
81,-0.05883908419753595
82,-0.05769652440553841
83,-0.06077015554583412
84,-0.05672723504943815
85,-0.06411570693963757
86,-0.05776771763034172
87,-0.05786321639458897
88,-0.05544086912654373
89,-0.05779435772428823
90,-0.05948305323496427
91,-0.0638930863597713
92,-0.05572056618120368
93,-0.061350707451773304
94,-0.058154535830446
95,-0.06207185512079998
96,-0.058869979514407506
97,-0.05739262920862513
98,-0.05922408017354455
99,-0.061497935265260685
100,-0.05628493162183434
