low,high,prime_count,prime_mean,prime_se_independent_only,late_composite_count,late_composite_mean,scale,window
400000000,401000000,50426,0.00885623385876809,0.0004464557953162021,10102,0.0068699318599887505,8,0
401000000,402000000,50407,0.044643450699211454,0.0005714755451652468,10083,0.04447307477119224,8,1
402000000,403000000,50482,0.05004973894514932,0.00046543844406205756,10073,0.05003986941656847,8,2
403000000,404000000,50479,0.05711357734020524,0.000572812186600181,10157,0.05748529942173873,8,3
404000000,405000000,50470,-0.05135612898302091,0.0004402700841712109,10086,-0.05071975143875497,8,4
405000000,406000000,50559,-0.04303484275741357,0.0003864593583620733,10095,-0.044406330711247936,8,5
406000000,407000000,50441,0.03596849245716312,0.0005002838157916915,10064,0.03636615152281403,8,6
407000000,408000000,50360,-0.045058160420332755,0.0004185243657237427,10002,-0.04631081548067808,8,7
408000000,409000000,50410,-0.017852653543229326,0.0006097412512887938,10156,-0.019150481003608107,8,8
409000000,410000000,50353,0.022364309557849654,0.0005892994879704269,10021,0.022191561189099117,8,9
4000000000,4001000000,45166,-0.014075849208425485,0.0005583220737034404,9109,-0.015149290546992144,9,0
4001000000,4002000000,45350,-0.04536008146838905,0.0005008005623691945,8978,-0.04433478972037331,9,1
4002000000,4003000000,45243,-0.047645914352387686,0.0005768963722027301,9062,-0.04754406695355971,9,2
4003000000,4004000000,45223,-0.045541553612786806,0.0005471620427430075,9037,-0.04784630344317532,9,3
4004000000,4005000000,45162,-0.026212087065244822,0.0004759181348479858,9169,-0.027083410717558567,9,4
4005000000,4006000000,45394,-0.024256547695519687,0.0004989782141101743,8981,-0.02470364932164984,9,5
4006000000,4007000000,44902,-0.019275589127470252,0.0005633389057433565,9122,-0.021233164667605137,9,6
4007000000,4008000000,45297,-0.013755098600756603,0.000615121059412549,9182,-0.015109021434750515,9,7
4008000000,4009000000,45315,-0.007623889950605123,0.0005346607275105236,9063,-0.00925382292299316,9,8
4009000000,4010000000,45057,-0.012706983802440178,0.0004523214333594023,9057,-0.011623907574975124,9,9
40000000000,40001000000,41056,0.1688376950757039,0.0006757724895905901,8210,0.16668711145849682,10,0
40001000000,40002000000,41060,0.20406620876596773,0.0006998267549508397,8089,0.20371218090231086,10,1
40002000000,40003000000,40929,0.2150711235082524,0.0007039717576361101,8105,0.21547353313613304,10,2
40003000000,40004000000,40959,0.21423995061017012,0.0007060411653522984,8179,0.21437010510413865,10,3
40004000000,40005000000,40810,0.21291497049630267,0.0007152928596707648,8177,0.2142413162415888,10,4
40005000000,40006000000,40886,0.2141977785086626,0.0007181733351043743,8192,0.21466505278172768,10,5
40006000000,40007000000,40766,0.21355779558218216,0.0007254526908081226,8200,0.21309100103078546,10,6
40007000000,40008000000,40719,0.21358310099283123,0.0007363825091076844,8199,0.2134810992110622,10,7
40008000000,40009000000,40964,0.2115989434080359,0.0007392250050854452,8147,0.21181135488134897,10,8
40009000000,40010000000,41092,0.21222075640374505,0.0007499774863750237,8254,0.2112763664750397,10,9
