rank,half1_svd_to_half2_jsd_bits,half2_svd_to_half1_jsd_bits,mean_heldout_jsd_bits
1,0.2904453652081596,0.2904714775882218,0.29045842139819067
2,0.18193126670838544,0.18195393955589945,0.18194260313214244
3,0.11990994068115957,0.11990602622318362,0.1199079834521716
4,0.07690628177413945,0.07691039009380485,0.07690833593397214
5,0.04513709098652835,0.04514260882621394,0.04513984990637114
6,0.03790291151290709,0.037916478150660515,0.0379096948317838
