entity,rung,gate_cell,q_end,survival_after,theta_after,theta_event,occurrence_root,phase_grid,occurrence_root_aligned,vertical_phase_change_aligned
candidate,7,1,37,0.9412695399025378,0.48956163487167836,0.24478081743583918,0.006528801703623461,,,
candidate,7,2,43,0.8968419720270869,0.6539552010862728,0.5717584179789756,-0.002378354521938472,,,
candidate,7,3,53,0.8610847414720587,0.7638627435362736,0.7089089723112731,-0.001417079138362003,,,
candidate,7,4,67,0.819948104550345,0.8764331320306952,0.8201479377834844,-0.008936805536396027,,,
candidate,7,5,79,0.7866590722106196,0.9602463700253477,0.9183397510280215,-0.0001543686322939322,,,
candidate,7,6,97,0.7603949117144485,1.023020443789732,0.9916334069075399,0.01188731476958152,,,
candidate,7,7,113,0.7252705524966774,1.1034249739137363,1.063222708851734,0.030880082346886203,,,
candidate,7,8,139,0.7046389469020948,1.149133832728277,1.1262794033210066,0.014014839241549892,,,
candidate,7,9,173,0.6798936776153408,1.2027563500697012,1.175945091398989,-0.010632457318330965,,,
candidate,7,10,211,0.6578064679450668,1.249693790313899,1.2262250701918,-0.006827498833099901,,,
candidate,7,11,257,0.6376178722865642,1.2919614174151883,1.2708276038645436,-0.051756432228373256,,,
candidate,7,12,313,0.6169862666919815,1.3346346933095519,1.31329805536237,0.012170697889385332,,,
candidate,7,13,379,0.6002151762546675,1.368999159608269,1.3518169264589104,0.019175537062125034,,,
candidate,7,14,461,0.5795835706600848,1.4109493446784516,1.3899742521433602,0.02538287781288083,,,
candidate,7,15,557,0.5628124802227708,1.444838569667497,1.4278939571729743,0.013067602613685326,,,
candidate,7,16,677,0.5406619834187709,1.4893824515923737,1.4671105106299354,-0.026436530478479353,,,
candidate,7,17,823,0.523194734510474,1.5243902034174344,1.506886327504904,0.03003808409034999,,,
candidate,7,18,997,0.5044617429276628,1.56187272250788,1.5431314629626571,0.0020563686948107266,,,
candidate,7,19,1201,0.4861717612809316,1.598456331098277,1.5801645268030784,-0.0013274862584769,,,
candidate,7,20,1459,0.4680083539016518,1.6348233560717165,1.6166398435849967,-0.008370352966363495,,,
candidate,7,21,1777,0.4485792038478577,1.6738200695451697,1.654321712808443,0.06364027144538327,,,
candidate,7,22,2153,0.43104866780583506,1.709139860359813,1.6914799649524914,0.03700021999690376,,,
candidate,7,23,2617,0.41408771596734384,1.743477811426981,1.7263088358933971,-0.016370591890206655,,,
candidate,7,24,3169,0.39497500158217835,1.7824224239564617,1.7629501176917213,-0.04764440682667943,,,
candidate,8,1,37,0.9416203964570843,0.4880672912189375,0.24403364560946875,0.0007148186744339197,,,
candidate,8,2,47,0.8782518407840505,0.7128460103343631,0.6004566507766503,-9.991008092724282e-05,,,
candidate,8,3,61,0.833148674572172,0.8415640522917297,0.7772050313130464,-7.2088178259329755e-06,,,
candidate,8,4,79,0.7880138525726659,0.9569354957818583,0.899249774036794,-0.007161477207932032,,,
candidate,8,5,103,0.7468360040266162,1.054489203251895,1.0057123495168767,-0.0010327906612615982,,,
candidate,8,6,131,0.7149586258855707,1.126395202246469,1.090442202749182,-0.006234394327858118,,,
candidate,8,7,167,0.6823721581016657,1.1974381402309024,1.1619166712386857,0.00021874118751220276,,,
candidate,8,8,211,0.6541795136404789,1.2573288112952712,1.2273834757630868,-0.01039858961322828,,,
candidate,8,9,269,0.627848229491798,1.312228284742046,1.2847785480186587,0.01059143129099055,,,
candidate,8,10,337,0.6060057360287181,1.357163562747212,1.334695923744629,-0.004224458359291315,,,
candidate,8,11,433,0.5832388935669108,1.4035398032841826,1.3803516830156974,0.015786969853243987,,,
candidate,8,12,557,0.5639162007989921,1.442613185696704,1.4230764944904433,-0.005524690211965748,,,
candidate,8,13,709,0.5429410759169099,1.4848082488776844,1.4637107172871942,0.009489265971136139,,,
candidate,8,14,887,0.5246060437229739,1.5215643537882975,1.503186301332991,-0.007011019967702904,,,
candidate,8,15,1129,0.505675882721638,1.5594443175345205,1.540504335661409,0.005001196227259774,,,
candidate,8,16,1459,0.48710659769925735,1.5965859901144368,1.5780151538244787,0.00699715023437274,,,
candidate,8,17,1861,0.46892351328593407,1.632989386019487,1.6147876880669618,-0.004074294922690309,,,
candidate,8,18,2357,0.45069611076993205,1.6695646105775381,1.6512769982985125,-0.003874776188181045,,,
candidate,8,19,3011,0.4320571830147706,1.7071036601356004,1.6883341353565693,-0.005645488773724883,,,
candidate,8,20,3833,0.4142033187927749,1.7432431200739749,1.7251733901047877,0.006637960922164438,,,
candidate,8,21,4877,0.39653305813901957,1.7792362911615607,1.7612397056177678,0.0030565157319818706,,,
candidate,8,22,6203,0.3788311416976366,1.815570995780119,1.7974036434708398,0.0056905291394927695,,,
candidate,8,23,7883,0.3608253296950281,1.85287142922708,1.8342212125035995,-0.00046926209851308096,,,
candidate,8,24,10039,0.34319938714395154,1.8897795374474124,1.8713254833372464,0.010268005387717936,,,
