bins,model,events,cross_entropy_bits,brier_score,top1_accuracy,top3_accuracy,perplexity
12,ARA-IID,39475587,3.5366831767899876,0.9117691229341671,0.1097849159279126,0.30883305167824354,11.605068850340928
12,ARA-M1,39475587,3.3034799636334653,0.8877445132222699,0.1525389350131766,0.41456523496408043,9.872941396015541
12,ARA-M2,39475587,3.2121816679060786,0.8782376801281538,0.16673436673658584,0.4478944163642202,9.267509364931092
12,RawGap-M1,39475587,2.862400443425033,0.8425272158694692,0.22311067850618663,0.5517074134958398,7.2722431806071315
24,ARA-IID,39475587,4.496675650986012,0.9539775539033035,0.0647514373883788,0.17911016750681882,22.575337500363503
24,ARA-M1,39475587,4.230639231433916,0.9396983661391559,0.0921802378771467,0.25311073904993486,18.773675612862537
24,ARA-M2,39475587,4.112585101000682,0.9331517731371476,0.10420817808231705,0.27952306320359466,17.298620657962594
24,RawGap-M1,39475587,3.62187145769536,0.9071270195716651,0.1440510054986643,0.3631580449962657,12.310960821370974
48,ARA-IID,39475587,5.431438660602676,0.9752381909853334,0.04118965982697104,0.11880109597863611,43.15448681714388
48,ARA-M1,39475587,5.081455855079941,0.9651191593476325,0.0640987555169224,0.17286833505477703,33.85872764581141
48,ARA-M2,39475587,4.8726462399051815,0.9578649670390348,0.07912130603656381,0.21101750811203895,29.29629340454606
48,RawGap-M1,39475587,4.162437421425891,0.9347057404311641,0.10999458982079229,0.2890602741385454,17.90682209598376
