g1,g2,g3,parent_probability,row_bin,column_bin
4,2,4,0.04443359375,8,16
2,4,6,0.03471137152777778,16,14
2,6,4,0.03471137152777778,18,9
4,6,2,0.03471137152777778,14,6
6,4,2,0.03471137152777778,9,8
6,4,6,0.03077859760802469,9,14
2,10,2,0.030078125,20,4
6,2,6,0.029622395833333332,6,18
2,4,2,0.022216796875,16,8
