number,x_1_13_fraction,x_1_13_decimal,x_3_11_fraction,x_3_11_decimal,x_5_9_fraction,x_5_9_decimal,rung_0_fraction,rung_0_decimal,epsilon_0_fraction,epsilon_0_decimal,rung_1_fraction,rung_1_decimal,rung_2_fraction,rung_2_decimal,ridge_distance_2_fraction,ridge_distance_2_decimal,unresolved_by_declared_children
15,52/41,1.26829268292683,44/37,1.18918918918919,12/11,1.09090909090909,59212/50061,1.18279698767504,9151/50061,0.182796987675036,109273/100122,1.09139849383752,209395/200244,1.04569924691876,9151/200244,0.0456992469187591,0
17,52/43,1.2093023255814,11/7,1.57142857142857,9/7,1.28571428571429,408/301,1.35548172757475,107/301,0.355481727574751,709/602,1.17774086378738,1311/1204,1.08887043189369,107/1204,0.0888704318936877,1
19,52/45,1.15555555555556,11/7,1.57142857142857,9/7,1.28571428571429,1264/945,1.33756613756614,319/945,0.337566137566138,2209/1890,1.16878306878307,4099/3780,1.08439153439153,319/3780,0.0843915343915344,1
21,52/47,1.1063829787234,44/43,1.02325581395349,9/7,1.28571428571429,48317/42441,1.13845102613039,5876/42441,0.138451026130393,45379/42441,1.0692255130652,43910/42441,1.0346127565326,1469/42441,0.0346127565325982,0
23,52/49,1.06122448979592,11/7,1.57142857142857,9/7,1.28571428571429,64/49,1.30612244897959,15/49,0.306122448979592,113/98,1.1530612244898,211/196,1.0765306122449,15/196,0.076530612244898,1
25,52/51,1.01960784313725,11/7,1.57142857142857,36/43,0.837209302325581,52627/46053,1.14274857229714,6574/46053,0.142748572297136,49340/46053,1.07137428614857,95393/92106,1.03568714307428,3287/92106,0.035687143074284,0
27,52/53,0.981132075471698,44/49,0.897959183673469,54/37,1.45945945945946,320798/288267,1.11285023953488,32531/288267,0.112850239534876,609065/576534,1.05642511976744,1185599/1153068,1.02821255988372,32531/1153068,0.0282125598837189,0
29,52/55,0.945454545454545,11/7,1.57142857142857,9/7,1.28571428571429,488/385,1.26753246753247,103/385,0.267532467532468,873/770,1.13376623376623,1643/1540,1.06688311688312,103/1540,0.0668831168831169,1
31,52/57,0.912280701754386,11/7,1.57142857142857,9/7,1.28571428571429,1504/1197,1.25647451963241,307/1197,0.256474519632414,2701/2394,1.12823725981621,5095/4788,1.0641186299081,307/4788,0.0641186299081036,1
33,52/59,0.88135593220339,1,1,9/7,1.28571428571429,436/413,1.05569007263923,23/413,0.0556900726392252,849/826,1.02784503631961,1675/1652,1.01392251815981,23/1652,0.0139225181598063,0
