model,slots,eligible_primary,jsd_bits,pair_jsd_mean_bits,gain_over_uniform_bits,gain_over_uniform_per_slot,orientation_reversal_abs_error
Exact parent relation,575,False,0.0037930695115881794,0.0008204595204662471,0.6003968461021332,0.0010441684280037098,2.6020852139652106e-18
Gap-Markov,271,False,0.06345567842102473,0.0008204595204662511,0.5407342371926966,0.001995329288533936,1.3877787807814457e-17
Gap-IID,31,True,0.23099934979499787,0.05983137386147026,0.3731905658187235,0.012038405348991081,0.0
Top-9 constellations,36,True,0.4199318361691291,0.1250813187351269,0.18425807944459227,0.005118279984572007,5.551115123125783e-17
DCT-6,36,True,0.42896459685808475,0.13452980302507145,0.17522531875563663,0.00486736996543435,5.551115123125783e-17
Log-ratio-6,35,True,0.45430226914689714,0.1394455857779096,0.14988764646682423,0.0042825041847664065,0.0
ARA-linear-6,35,True,0.47028037930107197,0.15946390052412057,0.1339095363126494,0.003825986751789983,5.551115123125783e-17
Learned-quantile-5,28,True,0.4961823352542068,0.17774739818254479,0.10800758035951458,0.0038574135842683777,0.0
Uniform,0,False,0.6041899156137214,0.22250782801430605,0.0,,0.0
