anchor,initial_lower,initial_upper,initial_lower_residue_mod14,initial_upper_residue_mod14,initial_pair_is_mod14_antipair,initial_backward_delta,initial_forward_delta,final_candidate,final_delta,initial_to_final_delta_ratio,handover_events,candidate_states,total_nonbase_gate_crossings,silent_gate_crossings,final_gate_frontier,cohort,true_next_prime,true_delta,final_matches_truth
100000000,99999999,100000001,1,3,False,1,1,100000007,7,0.14285714285714285,2,3,1227,1225,9973,scale,100000007,7,True
1000000000,999999999,1000000003,5,9,True,1,3,1000000007,7,0.42857142857142855,1,2,3399,3398,31607,scale,1000000007,7,True
10000000000,9999999999,10000000001,3,5,False,1,1,10000000019,19,0.05263157894736842,2,3,9590,9588,99991,scale,10000000019,19,True
100000000000,99999999999,100000000001,11,13,False,1,1,100000000003,3,0.3333333333333333,1,2,27291,27290,316223,scale,100000000003,3,True
400000000000,399999999999,400000000003,5,9,True,1,3,400000000019,19,0.15789473684210525,3,4,51524,51521,632447,scale,400000000019,19,True
700000000000,699999999999,700000000001,13,1,True,1,1,700000000009,9,0.1111111111111111,1,2,66648,66647,836657,scale,700000000009,9,True
900000000000,899999999999,900000000001,9,11,False,1,1,900000000013,13,0.07692307692307693,1,2,74810,74809,948671,scale,900000000013,13,True
4000001116,4000001115,4000001119,5,9,True,1,3,4000001119,3,1.0,0,1,6335,6335,63241,sample,4000001119,3,True
4000001229,4000001227,4000001231,5,9,True,2,2,4000001249,20,0.1,3,4,6335,6332,63241,sample,4000001249,20,True
4000002119,4000002119,4000002121,1,3,False,0,2,4000002121,2,1.0,0,1,6335,6335,63241,sample,4000002121,2,True
4000002564,4000002563,4000002565,11,13,False,1,1,4000002619,55,0.01818181818181818,5,6,6335,6330,63241,sample,4000002619,55,True
4000002702,4000002701,4000002703,9,11,False,1,1,4000002751,49,0.02040816326530612,4,5,6335,6331,63241,sample,4000002751,49,True
4000002831,4000002831,4000002833,13,1,True,0,2,4000002833,2,1.0,0,1,6335,6335,63241,sample,4000002833,2,True
4000003010,4000003009,4000003011,9,11,False,1,1,4000003013,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000003013,3,True
4000003388,4000003387,4000003389,9,11,False,1,1,4000003409,21,0.047619047619047616,2,3,6335,6333,63241,sample,4000003409,21,True
4000003653,4000003653,4000003655,9,11,False,0,2,4000003699,46,0.043478260869565216,5,6,6335,6330,63241,sample,4000003699,46,True
4000004655,4000004655,4000004657,3,5,False,0,2,4000004663,8,0.25,1,2,6335,6334,63241,sample,4000004663,8,True
4000004878,4000004877,4000004879,1,3,False,1,1,4000004881,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000004881,3,True
