check,passed
U1_residual_shape_cosine_at_least_0_98,True
U2_residual_l2_continues_contracting,True
U3_deformation_cosine_at_least_0_98,True
U4_leading_mode_energy_at_least_0_95,True
D1_exact_model_order,True
D1_all_nonbase_positive_each_fold,True
