transition,observable,bins,parent_slots,child_slots,ordered_jsd_bits,shuffle_median_jsd_bits,shuffle_q05_jsd_bits,shuffle_q95_jsd_bits,permutation_p_one_sided,ordered_beats_shuffle_median,passes_frozen_primary,coordinate_rival_log_ratio_jsd_bits,coordinate_rival_abs_difference
13->17,pair_x,64,5760,92160,0.004715455721214826,0.10900650159372591,0.10411153910432401,0.11385187222118213,0.004975124378109453,True,True,0.004715455721214826,0.0
13->17,triple_xx,24,5760,92160,0.01240881611655745,0.28251326641626295,0.27230211599424897,0.2915095321126537,0.004975124378109453,True,True,,
17->19,pair_x,64,92160,1658880,0.002795755395259159,0.10192785907381186,0.10056074209871108,0.10336517955142568,0.004975124378109453,True,True,0.002795755395259159,0.0
17->19,triple_xx,24,92160,1658880,0.006889118460857404,0.2518110602866811,0.24939486075070788,0.25412719154642627,0.004975124378109453,True,True,,
