record,stratum,lower_exclusive,upper_inclusive,count,weight,half_to_half_jsd_bits,pairwise_stratum_jsd_bits
stratum_1,1.0,,16.0,14972223.0,0.4102500427451599,4.765295326079334e-10,
stratum_2,2.0,16.0,20.0,10814796.0,0.29633345170454545,1.348392441974345e-08,
stratum_3,3.0,20.0,,10708341.0,0.29341650555029464,8.078534107191796e-06,
pair_1_2,,,,,,,0.9443693064692884
pair_1_3,,,,,,,0.8307630668899177
pair_2_3,,,,,,,0.8825860222774182
