check,passes
protocol_hash_matches,True
parent_gap_count_exact,True
parent_gap_sum_exact,True
child_survivor_count_exact,True
child_gap_count_exact,True
child_gap_sum_exact,True
child_gaps_positive,True
child_gaps_even,True
child_survivor_multiplier_exact,True
independent_target_counts_equal,True
independent_half_counts_equal,True
independent_gap_hash_equal,True
all_predictions_valid,True
orientation_reversal_all_invariant,True
