rung,q,log_q,candidate_survival,edge_survival,candidate_cumulative_release,edge_cumulative_release,candidate_deaths_at_q,edge_deaths_at_q,candidate_hazard,edge_hazard,independence_product,independence_product_squared
r6,29,3.367295829986474,1.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0
r6,31,3.4339872044851463,0.9670468948035488,0.9340519974635384,0.03295310519645123,0.0659480025364616,52,104,0.032953105196451206,0.06594800253646163,0.967741935483871,0.9365244536940688
r6,37,3.6109179126442243,0.9416983523447402,0.8845909955611921,0.0583016476552598,0.11540900443880786,40,78,0.02621231979030144,0.05295315682281059,0.9415867480383611,0.886585604081456
r6,41,3.713572066704308,0.917617237008872,0.8389346861128726,0.08238276299112801,0.16106531388712741,38,72,0.02557200538358008,0.05161290322580645,0.918621217598401,0.8438649414219688
r6,43,3.7612001156935624,0.8973384030418251,0.8021559923906151,0.1026615969581749,0.19784400760938492,32,58,0.022099447513812154,0.04383975812547241,0.8972579334682056,0.8050717991716348
r6,47,3.8501476017100584,0.8783269961977186,0.7672796448953709,0.12167300380228141,0.23272035510462907,30,55,0.0211864406779661,0.043478260869565216,0.8781673391390948,0.771177875530638
r6,53,3.970291913552122,0.8624841571609633,0.7400126823081801,0.13751584283903673,0.25998731769181993,25,43,0.018037518037518036,0.03553719008264463,0.8615981440609987,0.7423513618493573
r6,59,4.07753744390572,0.8472750316856781,0.7152821813570069,0.15272496831432192,0.28471781864299306,24,39,0.01763409257898604,0.033419023136246784,0.8469947856870834,0.7174001669811084
r6,61,4.110873864173311,0.8333333333333334,0.6918199112238428,0.16666666666666663,0.3081800887761572,22,37,0.016454749439042633,0.03280141843971631,0.8331096252659836,0.6940716477108277
r6,67,4.204692619390966,0.8219264892268695,0.6721623335447051,0.1780735107731305,0.3278376664552949,18,31,0.013688212927756654,0.02841429880843263,0.8206751532470883,0.6735077071571318
r6,71,4.2626798770413155,0.8124207858048162,0.6569435637285986,0.18757921419518375,0.34305643627140137,15,24,0.01156515034695451,0.022641509433962263,0.8091163482717773,0.6546692650406559
r6,73,4.290459441148391,0.802915082382763,0.6423589093214965,0.197084917617237,0.35764109067850347,15,23,0.01170046801872075,0.0222007722007722,0.7980325626790131,0.636855971096033
r6,79,4.3694478524670215,0.79404309252218,0.6296766011414078,0.20595690747782003,0.3703233988585922,14,20,0.011049723756906077,0.019743336623889437,0.787930884670418,0.6208350790175077
r6,83,4.418840607796598,0.7845373891001267,0.6163601775523145,0.21546261089987329,0.38363982244768546,15,21,0.011971268954509178,0.021148036253776436,0.7784377414816178,0.6059653173630021
r6,89,4.48863636973214,0.7756653992395437,0.6030437539632213,0.2243346007604563,0.3969562460367787,14,21,0.011308562197092083,0.021604938271604937,0.7696912500042963,0.5924246203331761
r6,97,4.574710978503383,0.7680608365019012,0.5897273303741281,0.23193916349809884,0.41027266962587194,12,21,0.00980392156862745,0.022082018927444796,0.7617562886640459,0.5802726433192212
r6,101,4.61512051684126,0.7623574144486692,0.5821179454660749,0.23764258555133078,0.41788205453392513,9,12,0.007425742574257425,0.012903225806451613,0.7542141471921247,0.5688389798247439
r6,103,4.634728988229636,0.7547528517110266,0.5700697526949905,0.24524714828897343,0.4299302473050095,12,19,0.00997506234413965,0.020697167755991286,0.7468916797436574,0.5578471812703022
r6,107,4.672828834461906,0.7465145754119138,0.5586556753329106,0.2534854245880862,0.4413443246670894,13,18,0.0109151973131822,0.020022246941045607,0.7399113836712868,0.5474688556863583
r6,109,4.6913478822291435,0.7401774397972116,0.5516804058338618,0.2598225602027884,0.4483195941661382,10,11,0.008488964346349746,0.012485811577752554,0.7331232058394402,0.5374696349402983
r6,113,4.727387818712341,0.7351077313054499,0.5428027901077996,0.26489226869455007,0.45719720989220036,8,14,0.00684931506849315,0.016091954022988506,0.7266353898585602,0.5279989897949018
r6,127,4.844187086458591,0.7281368821292775,0.5320228281547241,0.2718631178707225,0.4679771718452759,11,17,0.009482758620689655,0.01985981308411215,0.7209138513557369,0.5197167810765616
r6,131,4.875197323201151,0.7217997465145755,0.5218769816106531,0.27820025348542454,0.4781230183893469,10,16,0.008703220191470844,0.01907032181168057,0.7154106921850825,0.5118124584927388
r6,137,4.919980925828125,0.7167300380228137,0.5155358275206088,0.28326996197718635,0.4844641724793912,8,10,0.007023705004389816,0.012150668286755772,0.7101887163297169,0.5043680128020511
r6,139,4.9344739331306915,0.7110266159695817,0.5079264426125555,0.2889733840304183,0.4920735573874445,9,12,0.007957559681697613,0.014760147601476014,0.7050794449892154,0.4971370237463
r6,149,5.003946305945459,0.7078580481622306,0.5041217501585289,0.29214195183776936,0.4958782498414711,5,6,0.004456327985739751,0.00749063670411985,0.7003473681772072,0.4904864361127406
r6,151,5.017279836814924,0.7040557667934094,0.4990488268864933,0.2959442332065906,0.5009511731135067,6,8,0.005371530886302597,0.010062893081761006,0.6957093061362986,0.48401143864464996
r6,157,5.056245805348308,0.7002534854245881,0.49461001902346224,0.2997465145754119,0.5053899809765378,6,7,0.0054005400540054005,0.008894536213468869,0.6912780366704623,0.477865323982969
r6,163,5.093750200806762,0.6977186311787072,0.49080532656943565,0.30228136882129275,0.5091946734305643,4,6,0.0036199095022624436,0.007692307692307693,0.6870370671203367,0.4720199315973141
r6,167,5.117993812416755,0.6939163498098859,0.4844641724793913,0.3060836501901141,0.5155358275206088,6,10,0.005449591280653951,0.012919896640826873,0.6829230727064425,0.46638392323480893
r6,173,5.153291594497779,0.6894803548795945,0.4800253646163602,0.31051964512040553,0.5199746353836399,7,7,0.006392694063926941,0.009162303664921465,0.6789755404942664,0.4610077845894813
r6,179,5.187385805840755,0.6869455006337135,0.4755865567533291,0.3130544993662865,0.5244134432466709,4,7,0.003676470588235294,0.009247027741083224,0.6751823810501644,0.45587124768056936
r6,181,5.198497031265826,0.6831432192648923,0.4705136334812936,0.3168567807351077,0.5294863665187064,6,8,0.005535055350553505,0.010666666666666666,0.6714520916520972,0.45084791138397634
r6,191,5.25227342804663,0.6799746514575412,0.4679771718452758,0.3200253485424588,0.5320228281547241,5,4,0.00463821892393321,0.005390835579514825,0.6679366356748611,0.44613934927665205
r6,193,5.262690188904886,0.6761723700887199,0.4635383639822448,0.3238276299112801,0.5364616360177552,6,7,0.005591798695246971,0.009485094850948509,0.6644758240910534,0.44152812080148457
r6,197,5.2832037287379885,0.6711026615969582,0.45656309448319593,0.3288973384030418,0.543436905516804,8,11,0.007497656982193065,0.015047879616963064,0.661102850364703,0.43705697876033484
r6,199,5.293304824724492,0.6692015209125475,0.4527584020291693,0.3307984790874525,0.5472415979708307,3,6,0.0028328611898017,0.008333333333333333,0.6577807254884984,0.43267548282417534
r6,211,5.351858133476067,0.6673003802281369,0.45022194039315155,0.33269961977186313,0.5497780596068484,3,4,0.002840909090909091,0.0056022408963585435,0.6546632812918705,0.4285840118718387
r6,223,5.407171771460119,0.6634980988593155,0.44324667089410275,0.33650190114068446,0.5567533291058973,6,11,0.005698005698005698,0.015492957746478873,0.6517275715102926,0.42474882746670356
r6,227,5.424950017481403,0.6603295310519645,0.4394419784400761,0.33967046894803554,0.560558021559924,5,6,0.004775549188156638,0.008583690987124463,0.6488565249397626,0.42101478995690483
r6,229,5.43372200355424,0.6577946768060836,0.4362714013950539,0.3422053231939164,0.5637285986049461,4,5,0.003838771593090211,0.007215007215007215,0.6460230903330388,0.41734583324344965
r6,233,5.4510384535657,0.6565272496831432,0.4343690551680406,0.34347275031685676,0.5656309448319594,2,3,0.0019267822736030828,0.00436046511627907,0.6432504590440559,0.4137711530603886
