fold,model,cross_entropy_bits,perplexity,top1_accuracy,brier_score,test_events,active_context_rows,active_conditional_df
1,B_plus_direction,2.526721113780886,5.7626049231476495,0.33576154025372773,0.7827786301712986,127733760,27,297
1,B_plus_distance,2.4331451306224534,5.400695206262225,0.3416194277847924,0.7692277632148904,127733760,41,451
1,B_plus_shared_gap,1.7935222587800368,3.4666021160819738,0.43879596122434666,0.6677613320742619,127733760,124,1364
1,B_plus_signed_step,2.3571481857233474,5.12356568286354,0.3587574185555956,0.7557833260649779,127733760,56,616
1,current_B,2.6209157882415233,6.151404250104492,0.30228820477843915,0.8003257434198674,127733760,12,132
1,full_A_B,2.1788586237330936,4.527951872046129,0.39777010400382795,0.722195002172727,127733760,119,1309
1,raw_gap_markov1,1.9537652646437866,3.8738424076418907,0.37467334399300545,0.7080940037625877,127733760,23,506
2,B_plus_direction,2.526750496751136,5.762722289720976,0.33576079651926005,0.7827811175802433,127733760,27,297
2,B_plus_distance,2.43315054169754,5.400715462533479,0.3416218547077922,0.7692255290523441,127733760,41,451
2,B_plus_shared_gap,1.7935094034503016,3.4665712265915047,0.43879326029391136,0.6677589737118813,127733760,124,1364
2,B_plus_signed_step,2.357160008677573,5.123607670899149,0.3587644018308081,0.7557809115162103,127733760,56,616
2,current_B,2.620948652461038,6.151544379096744,0.30228920686277455,0.8003273540038778,127733760,12,132
2,full_A_B,2.1788450329206825,4.527909216978429,0.39777747088945004,0.7221883596503885,127733760,119,1309
2,raw_gap_markov1,1.9537614085532309,3.8738320535013853,0.3746734066232764,0.7080940089947957,127733760,23,506
3,B_plus_direction,2.5267154967555228,5.7625824869195625,0.33576636278459193,0.7827760122939875,127733760,27,297
3,B_plus_distance,2.4331323279358155,5.400647279916323,0.34162327171767276,0.7692241790831933,127733760,41,451
3,B_plus_shared_gap,1.7935218328438165,3.4666010926146833,0.438794849537037,0.6677607345106806,127733760,124,1364
3,B_plus_signed_step,2.3571446597447654,5.123553160771016,0.3587645427489177,0.7557802336102141,127733760,56,616
3,current_B,2.6209149995948997,6.151400887451452,0.30229658157718053,0.8003232239345294,127733760,12,132
3,full_A_B,2.1788693097717933,4.527985410698971,0.3977775100333694,0.7221924913720275,127733760,119,1309
3,raw_gap_markov1,1.9537654074125224,3.8738427909963726,0.3746740172684183,0.7080939328097612,127733760,23,506
4,B_plus_direction,2.5267019628259257,5.762528428357183,0.33577187424843674,0.7827735252807188,127733760,27,297
4,B_plus_distance,2.433126383257766,5.4006250263961535,0.34162761669272085,0.7692233583518068,127733760,41,451
