cohort,anchor,actual_next_prime,actual_delta,phase_a_candidate_1,phase_a_candidate_2,phase_a_candidate_3,phase_a_rank_of_prime,phase_a_top1_hit,phase_a_top2_hit,phase_a_top3_hit,p29_candidate_1,p29_candidate_2,p29_candidate_3,odd_candidate_1,odd_candidate_2,odd_candidate_3,p29_top1_hit,p29_top2_hit,p29_top3_hit,odd_top1_hit,odd_top2_hit,odd_top3_hit,cross_rung_frame,phase_a_child_count,phase_b_child_count,teara_phase_a,teara_phase_b
low,71000754,71000759,5,71000759,71000791,71000801,1,1,1,1,71000759,71000767,71000771,71000755,71000757,71000759,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71000837,71000849,12,71000849,71000861,71000873,1,1,1,1,71000843,71000849,71000851,71000839,71000841,71000843,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71000901,71000927,26,71000927,71000933,71000947,1,1,1,1,71000911,71000921,71000927,71000903,71000905,71000907,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71001238,71001239,1,71001239,71001269,71001311,1,1,1,1,71001239,71001241,71001247,71001239,71001241,71001243,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71001870,71001871,1,71001871,71001893,71001899,1,1,1,1,71001871,71001881,71001883,71001871,71001873,71001875,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71001902,71001929,27,71001929,71001941,71001967,1,1,1,1,71001907,71001913,71001919,71001903,71001905,71001907,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002016,71002021,5,71002021,71002027,71002049,1,1,1,1,71002021,71002027,71002033,71002017,71002019,71002021,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002056,71002079,23,71002079,71002093,71002103,1,1,1,1,71002067,71002073,71002079,71002057,71002059,71002061,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002372,71002423,51,71002409,71002423,71002441,2,0,1,1,71002381,71002391,71002397,71002373,71002375,71002377,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002517,71002537,20,71002537,71002553,71002559,1,1,1,1,71002531,71002537,71002543,71002519,71002521,71002523,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002735,71002747,12,71002747,71002777,71002787,1,1,1,1,71002739,71002741,71002747,71002737,71002739,71002741,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71002932,71002949,17,71002949,71002951,71002961,1,1,1,1,71002937,71002949,71002951,71002933,71002935,71002937,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71003186,71003197,11,71003197,71003201,71003213,1,1,1,1,71003189,71003197,71003201,71003187,71003189,71003191,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71003285,71003291,6,71003291,71003311,71003327,1,1,1,1,71003287,71003291,71003293,71003287,71003289,71003291,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71003648,71003651,3,71003651,71003657,71003659,1,1,1,1,71003651,71003657,71003659,71003649,71003651,71003653,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71003781,71003813,32,71003813,71003819,71003827,1,1,1,1,71003789,71003791,71003797,71003783,71003785,71003787,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71004035,71004071,36,71004067,71004071,71004091,2,0,1,1,71004041,71004047,71004049,71004037,71004039,71004041,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71004397,71004407,10,71004407,71004413,71004431,1,1,1,1,71004403,71004407,71004413,71004399,71004401,71004403,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71004400,71004407,7,71004407,71004413,71004431,1,1,1,1,71004403,71004407,71004413,71004401,71004403,71004405,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71004603,71004607,4,71004607,71004613,71004623,1,1,1,1,71004607,71004613,71004617,71004605,71004607,71004609,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71005075,71005133,58,71005133,71005189,71005201,1,1,1,1,71005087,71005091,71005093,71005077,71005079,71005081,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71005137,71005189,52,71005189,71005201,71005219,1,1,1,1,71005139,71005153,71005157,71005139,71005141,71005143,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71005611,71005619,8,71005619,71005631,71005633,1,1,1,1,71005619,71005621,71005631,71005613,71005615,71005617,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71005906,71005933,27,71005933,71005937,71005939,1,1,1,1,71005919,71005927,71005931,71005907,71005909,71005911,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71006123,71006147,24,71006147,71006153,71006179,1,1,1,1,71006137,71006141,71006147,71006125,71006127,71006129,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71006518,71006521,3,71006521,71006527,71006531,1,1,1,1,71006519,71006521,71006527,71006519,71006521,71006523,0,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71007159,71007163,4,71007163,71007169,71007179,1,1,1,1,71007163,71007169,71007173,71007161,71007163,71007165,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71007446,71007451,5,71007451,71007473,71007481,1,1,1,1,71007449,71007451,71007467,71007447,71007449,71007451,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71007602,71007641,39,71007641,71007653,71007659,1,1,1,1,71007611,71007613,71007619,71007603,71007605,71007607,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71007607,71007641,34,71007641,71007653,71007659,1,1,1,1,71007611,71007613,71007619,71007609,71007611,71007613,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71007647,71007653,6,71007653,71007659,71007679,1,1,1,1,71007649,71007653,71007659,71007649,71007651,71007653,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009103,71009131,28,71009131,71009143,71009149,1,1,1,1,71009111,71009117,71009123,71009105,71009107,71009109,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009250,71009261,11,71009261,71009287,71009293,1,1,1,1,71009261,71009269,71009273,71009251,71009253,71009255,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009262,71009287,25,71009287,71009293,71009321,1,1,1,1,71009269,71009273,71009287,71009263,71009265,71009267,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009607,71009633,26,71009633,71009647,71009651,1,1,1,1,71009611,71009621,71009623,71009609,71009611,71009613,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009616,71009633,17,71009633,71009647,71009651,1,1,1,1,71009621,71009623,71009633,71009617,71009619,71009621,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009707,71009759,52,71009759,71009773,71009791,1,1,1,1,71009711,71009713,71009723,71009709,71009711,71009713,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009807,71009831,24,71009831,71009839,71009843,1,1,1,1,71009819,71009831,71009837,71009809,71009811,71009813,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71009874,71009879,5,71009879,71009921,71009929,1,1,1,1,71009879,71009881,71009891,71009875,71009877,71009879,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71010244,71010257,13,71010257,71010293,71010311,1,1,1,1,71010253,71010257,71010259,71010245,71010247,71010249,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71010297,71010311,14,71010311,71010323,71010337,1,1,1,1,71010301,71010307,71010311,71010299,71010301,71010303,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71010803,71010829,26,71010829,71010833,71010859,1,1,1,1,71010811,71010817,71010827,71010805,71010807,71010809,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011259,71011267,8,71011267,71011307,71011321,1,1,1,1,71011267,71011271,71011273,71011261,71011263,71011265,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011388,71011403,15,71011403,71011411,71011433,1,1,1,1,71011393,71011399,71011403,71011389,71011391,71011393,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011468,71011471,3,71011471,71011481,71011489,1,1,1,1,71011469,71011471,71011477,71011469,71011471,71011473,0,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011556,71011579,23,71011579,71011583,71011597,1,1,1,1,71011559,71011561,71011571,71011557,71011559,71011561,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011685,71011687,2,71011687,71011693,71011697,1,1,1,1,71011687,71011693,71011697,71011687,71011689,71011691,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011759,71011777,18,71011777,71011781,71011789,1,1,1,1,71011763,71011769,71011777,71011761,71011763,71011765,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
