first_rung,second_rung,analysis,budget,null,position_signed_correlation,position_absolute_correlation,position_p,power_log_correlation,power_p,phase_coherence,phase_p,phase_null_99,spatial_alignment,spatial_p,spatial_null_99,gate_alignment,gate_p,gate_null_99
r6,r7,block_phase,29,global,0.007540611620144386,0.007540611620144386,0.9101796407185628,0.17182657456345973,0.07984031936127745,0.04331866377404709,0.8762475049900199,0.2538809621797079,,,,,,
r6,r7,block_phase,29,macro,0.007540611620144386,0.007540611620144386,0.8922155688622755,0.17182657456345973,0.10179640718562874,0.04331866377404709,0.8922155688622755,0.2523410476996655,,,,,,
r6,r7,block_phase,997,global,nan,nan,1.0,nan,1.0,nan,1.0,0.0,,,,,,
r6,r7,block_phase,997,macro,nan,nan,1.0,nan,1.0,nan,1.0,0.0,,,,,,
r6,r7,joint_gate,,multinomial,,,,,,,,,0.04351438066975212,0.6227544910179641,0.19559355259911104,0.08074978112846616,0.654690618762475,0.3748466692078573
r7,r8,block_phase,29,global,-0.0014433350466044681,0.0014433350466044681,0.9900199600798403,-0.032505318554314114,0.5988023952095808,0.06654959467235268,0.7744510978043913,0.2711236971940799,,,,,,
r7,r8,block_phase,29,macro,-0.0014433350466044681,0.0014433350466044681,0.9840319361277445,-0.032505318554314114,0.6926147704590818,0.06654959467235268,0.7764471057884231,0.2600642749936687,,,,,,
r7,r8,block_phase,997,global,-0.08233867543416218,0.08233867543416218,0.2055888223552894,-0.11851389204975978,0.8363273453093812,0.049655568460265524,0.872255489021956,0.26868674373216384,,,,,,
r7,r8,block_phase,997,macro,-0.08233867543416218,0.08233867543416218,0.20758483033932135,-0.11851389204975978,0.782435129740519,0.049655568460265524,0.8582834331337326,0.25881249009121515,,,,,,
r7,r8,joint_gate,,multinomial,,,,,,,,,0.015897696368064554,0.8702594810379242,0.22223984040460554,0.04491212123623084,0.7864271457085829,0.42622182331579184
r8,r9,block_phase,29,global,0.011506786512704231,0.011506786512704231,0.8423153692614771,0.09144126433276573,0.25748502994011974,0.07593335831989143,0.7005988023952096,0.2633934120914476,,,,,,
r8,r9,block_phase,29,macro,0.011506786512704231,0.011506786512704231,0.8662674650698603,0.09144126433276573,0.20758483033932135,0.07593335831989143,0.7285429141716567,0.2512727565718716,,,,,,
r8,r9,block_phase,997,global,-0.09245766630840938,0.09245766630840938,0.14770459081836326,0.16271623398754262,0.10179640718562874,0.1269695165826085,0.37924151696606784,0.27496301643521054,,,,,,
r8,r9,block_phase,997,macro,-0.09245766630840938,0.09245766630840938,0.12974051896207583,0.16271623398754262,0.14770459081836326,0.1269695165826085,0.3413173652694611,0.2549330113295574,,,,,,
r8,r9,joint_gate,,multinomial,,,,,,,,,0.06295895474775078,0.47704590818363274,0.23569571204675127,0.15707127276212887,0.3772455089820359,0.450622495804278
