landmark,value,mean_absolute_event_distance,median_absolute_event_distance,event_fraction_within_0_025,event_fraction_within_0_05,window_exposures,window_transition_events,window_transition_hazard,mean_distance_rank,hazard_rank
3/2,1.5,0.3537702247721301,0.3725852320419223,0.0,0.0,0,0,,8,
8/5,1.6,0.25377022477213,0.2725852320419222,0.0,0.0,0,0,,7,
phi,1.618033988749895,0.23573623602223523,0.2545512432920274,0.0,0.0,0,0,,6,
13/8,1.625,0.22877022477213013,0.2475852320419223,0.0,0.0,0,0,,5,
5/3,1.6666666666666667,0.1871035581054634,0.20591856537525555,0.0,0.00010924663520363573,0,0,,4,
7/4,1.75,0.10398961723379199,0.12258523204192229,0.011143156790770844,0.06500174794616326,2138,510,0.23854069223573432,2,2
9/5,1.8,0.0567139600598593,0.0725861875738274,0.2909674882013634,0.2909674882013634,19782,13317,0.6731877464361541,1,1
2,2.0,0.14622977522786987,0.1274147679580777,0.0,0.0,0,0,,3,
