rank,gap_0,gap_1,gap_2,gap_3,ara_0_bin,ara_1_bin,ara_2_bin,ara_0_center,ara_1_center,ara_2_center,count,probability,local_information_bits,signed_contribution_bits_per_reading,top_prediction_changes
28,8,6,4,6,5,4,7,0.9166666666666666,0.75,1.25,239468,0.006561601255611673,0.8298014007314125,0.005444825912947561,True
29,6,6,10,6,6,7,4,1.0833333333333333,1.25,0.75,73254,0.002007214067760943,2.6786489813280867,0.005376621917915255,True
30,6,2,4,6,3,8,7,0.5833333333333334,1.4166666666666667,1.25,205219,0.005623153189884961,0.9558078523470317,0.005374653973842305,False
31,4,14,4,2,9,2,4,1.5833333333333333,0.4166666666666667,0.75,112722,0.003088666614057239,1.7153719086360806,0.005298211944895907,True
32,2,6,4,6,9,4,7,1.5833333333333333,0.75,1.25,325353,0.008914914115109428,0.590820937908665,0.005267117918864149,True
33,6,6,4,6,6,4,7,1.0833333333333333,0.75,1.25,268968,0.0073699231902356905,0.7064853269635619,0.0052067425947499996,True
34,6,12,4,6,8,3,7,1.4166666666666667,0.5833333333333334,1.25,73254,0.002007214067760943,2.54111071118627,0.005100553167231096,True
35,2,10,2,6,10,2,9,1.75,0.4166666666666667,1.5833333333333333,321397,0.008806516773639169,0.5696964540683992,0.005017041378636114,False
36,4,14,6,4,9,3,4,1.5833333333333333,0.5833333333333334,0.75,91094,0.002496043332631874,1.9968418443313558,0.004984203771863615,True
37,6,4,2,6,4,4,9,0.75,0.75,1.5833333333333333,205219,0.005623153189884961,0.866904270916534,0.004874735516329204,False
38,2,6,10,8,9,7,5,1.5833333333333333,1.25,0.9166666666666666,72182,0.0019778404706790125,2.4245716957237318,0.004795416023865237,True
39,6,14,4,2,8,2,4,1.4166666666666667,0.4166666666666667,0.75,83150,0.0022783718258978674,2.0893262400134724,0.0047602620403558215,True
40,10,6,2,4,4,3,8,0.75,0.5833333333333334,1.4166666666666667,134484,0.0036849615951178452,1.2837808797982324,0.0047306832386030855,True
41,6,6,4,2,6,4,4,1.0833333333333333,0.75,0.75,205219,0.005623153189884961,0.8094931831799109,0.004551904175188247,True
42,2,4,6,2,8,7,3,1.4166666666666667,1.25,0.5833333333333334,435456,0.011931818181818182,0.37747748342740683,0.004503992699986105,False
43,12,2,4,2,1,8,4,0.25,1.4166666666666667,0.75,141196,0.0038688753858024693,1.1365774343515254,0.004397276459821138,True
44,2,6,6,4,9,6,4,1.5833333333333333,1.0833333333333333,0.75,265286,0.0072690336524971946,0.5996174659201853,0.004358639538398917,False
45,2,6,12,4,9,8,3,1.5833333333333333,1.4166666666666667,0.5833333333333334,45480,0.0012461858164983166,3.3799229137715017,0.004212011995999708,True
46,4,6,8,6,7,6,5,1.25,1.0833333333333333,0.9166666666666666,296505,0.008124457465277778,0.5157716621696177,0.004190364931092678,True
47,10,2,6,4,2,9,4,0.4166666666666667,1.5833333333333333,0.75,268968,0.0073699231902356905,0.5656170699730206,0.004168554360787328,False
48,2,4,14,6,8,9,3,1.4166666666666667,1.5833333333333333,0.5833333333333334,83150,0.0022783718258978674,1.8220516689596649,0.004151311187887888,True
49,10,2,4,2,2,8,4,0.4166666666666667,1.4166666666666667,0.75,205219,0.005623153189884961,0.7238599503779546,0.004070375388997765,False
50,8,6,12,4,5,8,3,0.9166666666666666,1.4166666666666667,0.5833333333333334,37152,0.0010179924242424243,3.938214697979532,0.00400907272758333,True
51,6,10,6,8,7,4,6,1.25,0.75,1.0833333333333333,42912,0.001175820707070707,3.378826701399405,0.003972894401108833,True
52,4,6,2,10,7,3,10,1.25,0.5833333333333334,1.75,268968,0.0073699231902356905,0.5188170826720896,0.0038236420490754606,True
53,2,4,14,4,8,9,2,1.4166666666666667,1.5833333333333333,0.4166666666666667,112722,0.003088666614057239,1.2362457680864638,0.003818351030658209,True
54,4,6,6,2,7,6,3,1.25,1.0833333333333333,0.5833333333333334,265286,0.0072690336524971946,0.5187973444973522,0.003771155355977433,True
55,2,10,8,6,10,5,5,1.75,0.9166666666666666,0.9166666666666666,83150,0.0022783718258978674,1.6067071039589373,0.003660676198129999,False
56,4,14,10,2,9,5,2,1.5833333333333333,0.9166666666666666,0.4166666666666667,52790,0.0014464852518237935,2.414148839169462,0.0034920306915661578,True
57,2,4,2,4,8,4,8,1.4166666666666667,0.75,1.4166666666666667,290304,0.007954545454545454,0.4361881446824953,0.0034696784236107575,True
58,2,12,4,6,10,3,7,1.75,0.5833333333333334,1.25,68220,0.0018692787247474747,1.8546459384591305,0.003466850194700967,True
59,2,10,14,4,10,7,2,1.75,1.25,0.4166666666666667,52790,0.0014464852518237935,2.3869114936292344,0.0034526322729433903,True
60,8,4,2,6,4,4,9,0.75,0.75,1.5833333333333333,141196,0.0038688753858024693,0.866904270916534,0.0033539445955960137,False
61,2,10,2,10,10,2,10,1.75,0.4166666666666667,1.75,283044,0.007755616056397306,0.3902197243205914,0.0030263943594637088,False
62,6,2,6,4,3,9,4,0.5833333333333334,1.5833333333333333,0.75,435456,0.011931818181818182,0.2530870991600152,0.0030197892513410905,False
63,8,6,6,4,5,6,4,0.9166666666666666,1.0833333333333333,0.75,154383,0.004230208990951179,0.7066470647129784,0.002989264766578101,False
64,2,10,6,6,10,4,6,1.75,0.75,1.0833333333333333,45480,0.0012461858164983166,2.2586398852739498,0.002814684989605781,True
65,8,6,10,6,5,7,4,0.9166666666666666,1.25,0.75,42912,0.001175820707070707,2.3392748899929563,0.0027505678551842682,True
66,4,18,6,2,9,3,3,1.5833333333333333,0.5833333333333334,0.5833333333333334,31944,0.0008752893518518518,3.108814756444478,0.0027211124531957595,True
67,2,4,14,10,8,9,5,1.4166666666666667,1.5833333333333333,0.9166666666666666,46189,0.0012656129436728395,2.119106625873558,0.002681968774728452,True
68,4,2,4,14,4,8,9,0.75,1.4166666666666667,1.5833333333333333,154383,0.004230208990951179,0.6308526847905446,0.0026686386991666517,False
69,2,4,6,8,8,7,6,1.4166666666666667,1.25,1.0833333333333333,321397,0.008806516773639169,0.3002414700646829,0.002644081542266712,False
70,2,12,10,2,10,5,2,1.75,0.9166666666666666,0.4166666666666667,86640,0.0023740004208754207,1.0944748423928925,0.0025982837364782866,False
71,12,4,2,4,3,4,8,0.5833333333333334,0.75,1.4166666666666667,134484,0.0036849615951178452,0.7033513516361277,0.002591822718653358,False
72,4,2,4,8,4,8,8,0.75,1.4166666666666667,1.4166666666666667,265286,0.0072690336524971946,0.3511489821729203,0.002552513768455095,False
73,6,8,6,6,6,5,6,1.0833333333333333,0.9166666666666666,1.0833333333333333,140318,0.0038448175329685746,0.6597121220895161,0.0025364727337216764,False
74,14,4,6,2,2,7,3,0.4166666666666667,1.25,0.5833333333333334,94758,0.002596439656986532,0.9660671880386854,0.0025083351583371077,True
75,10,8,4,2,5,4,4,0.9166666666666666,0.75,0.75,112722,0.003088666614057239,0.7755500977730322,0.002395415694520392,True
76,2,6,18,4,9,9,2,1.5833333333333333,1.5833333333333333,0.4166666666666667,31944,0.0008752893518518518,2.7150711796622273,0.0023764728930781936,True
77,6,4,6,12,4,7,8,0.75,1.25,1.4166666666666667,136744,0.003746887275533109,0.6323780234802238,0.002369449169504828,False
78,6,10,6,2,7,4,3,1.25,0.75,0.5833333333333334,45480,0.0012461858164983166,1.8853588032272934,0.0023495073995920936,True
79,12,10,2,4,5,2,8,0.9166666666666666,0.4166666666666667,1.4166666666666667,79518,0.0021788523253367005,1.0731686678810417,0.002338276047491097,True
80,4,2,4,12,4,8,9,0.75,1.4166666666666667,1.5833333333333333,134484,0.0036849615951178452,0.6308526847905446,0.00232466791563014,False
81,4,6,2,6,7,3,9,1.25,0.5833333333333334,1.5833333333333333,435456,0.011931818181818182,0.1929195542747905,0.002301881045324205,True
82,12,2,6,4,1,9,4,0.25,1.5833333333333333,0.75,143389,0.003928965216400113,0.5825074262281421,0.002288651415945125,False
83,6,6,12,2,6,8,1,1.0833333333333333,1.4166666666666667,0.25,31872,0.0008733164983164983,2.574076156310065,0.0022479831752286973,True
84,6,4,6,6,4,7,6,0.75,1.25,1.0833333333333333,268968,0.0073699231902356905,0.2969796233782864,0.0021887170133630942,False
85,2,6,6,10,9,6,7,1.5833333333333333,1.0833333333333333,1.25,68220,0.0018692787247474747,1.1431045697104432,0.002136781052321348,False
86,2,22,6,2,11,2,3,1.9166666666666667,0.4166666666666667,0.5833333333333334,12720,0.0003485374579124579,6.09585124263443,0.0021246324959203018,True
87,10,8,4,6,5,4,7,0.9166666666666666,0.75,1.25,92242,0.0025274993862233444,0.8298014007314125,0.0020973225310359166,True
88,4,6,2,12,7,3,10,1.25,0.5833333333333334,1.75,143389,0.003928965216400113,0.5188170826720896,0.002038414271492822,True
89,6,6,10,8,6,7,5,1.0833333333333333,1.25,0.9166666666666666,33364,0.000914198407687991,2.2271409999080727,0.0020360487558126,True
90,6,4,14,4,4,9,2,0.75,1.5833333333333333,0.4166666666666667,102258,0.0028019452335858587,0.7251005181684387,0.002031691940752693,False
91,2,12,6,4,10,4,4,1.75,0.75,0.75,180942,0.0049579453388047135,0.4060559799936459,0.0020132033533032767,True
92,6,8,4,6,6,4,7,1.0833333333333333,0.75,1.25,102191,0.002800109383768238,0.7064853269635619,0.0019782361935252414,True
93,6,8,10,2,6,6,2,1.0833333333333333,1.0833333333333333,0.4166666666666667,83150,0.0022783718258978674,0.8671360417066227,0.0019756583266449675,False
94,2,12,6,6,10,4,6,1.75,0.75,1.0833333333333333,31872,0.0008733164983164983,2.2586398852739498,0.001972507475565423,True
95,6,10,2,10,7,2,10,1.25,0.4166666666666667,1.75,136744,0.003746887275533109,0.5260775294957528,0.00197115320121153,False
96,6,4,6,8,4,7,6,0.75,1.25,1.0833333333333333,239468,0.006561601255611673,0.2969796233782864,0.0019486618696500455,False
97,4,2,6,10,4,9,7,0.75,1.5833333333333333,1.25,134484,0.0036849615951178452,0.5266695530140394,0.0019407570761746172,False
98,10,12,2,4,6,1,8,1.0833333333333333,0.25,1.4166666666666667,102258,0.0028019452335858587,0.667168628597141,0.0018693699588957732,False
99,4,14,12,4,9,5,3,1.5833333333333333,0.9166666666666666,0.5833333333333334,17124,0.0004692103324915825,3.815131091022389,0.001790098927717589,True
100,2,6,16,6,9,8,3,1.5833333333333333,1.4166666666666667,0.5833333333333334,19242,0.0005272451073232323,3.3799229137715017,0.0017820478194157075,True
101,2,4,2,22,8,4,11,1.4166666666666667,0.75,1.9166666666666667,28482,0.0007804279776936027,2.2707075366785063,0.0017721236907836289,True
102,2,4,24,2,8,10,0,1.4166666666666667,1.75,0.08333333333333333,11324,0.0003102860199214366,5.594589000390302,0.0017359227540273553,False
103,4,6,6,8,7,6,6,1.25,1.0833333333333333,1.0833333333333333,154383,0.004230208990951179,0.40434869044642385,0.0017104794658057971,True
104,6,2,12,4,3,10,3,0.5833333333333334,1.75,0.5833333333333334,102191,0.002800109383768238,0.6063030669312454,0.0016977149071216422,False
105,2,4,6,6,8,7,6,1.4166666666666667,1.25,1.0833333333333333,205219,0.005623153189884961,0.3002414700646829,0.0016883037801299714,False
106,4,2,10,12,4,10,6,0.75,1.75,1.0833333333333333,79518,0.0021788523253367005,0.7432963610705021,0.0016195330047327713,False
107,6,4,2,16,4,4,10,0.75,0.75,1.75,57226,0.0015680349501964086,1.0247849011674115,0.0016068985414640735,False
108,2,6,12,10,9,8,5,1.5833333333333333,1.4166666666666667,0.9166666666666666,44092,0.001208153584455668,1.2856608534104184,0.00155327576844213,True
109,4,2,4,6,4,8,7,0.75,1.4166666666666667,1.25,495523,0.013577698644430414,0.11374120064599276,0.0015443437458269836,False
110,2,6,10,6,9,7,4,1.5833333333333333,1.25,0.75,45480,0.0012461858164983166,1.23793863539584,0.0015427015691255766,True
111,6,6,14,4,6,8,2,1.0833333333333333,1.4166666666666667,0.4166666666666667,22610,0.0006195308115881032,2.4684412442281563,0.001529275407394217,True
112,4,6,2,4,7,3,8,1.25,0.5833333333333334,1.4166666666666667,205219,0.005623153189884961,0.269409779838645,0.0015149324628858816,True
113,6,6,6,2,6,6,3,1.0833333333333333,1.0833333333333333,0.5833333333333334,141196,0.0038688753858024693,0.38841513929912835,0.001502729771907435,False
114,4,6,6,6,7,6,6,1.25,1.0833333333333333,1.0833333333333333,134484,0.0036849615951178452,0.40434869044642385,0.0014900093953312658,True
115,8,6,6,10,5,6,7,0.9166666666666666,1.0833333333333333,1.25,42366,0.001160859901094276,1.2687618378554522,0.001472854741605072,False
116,8,4,2,10,4,4,10,0.75,0.75,1.75,52192,0.0014300996071829404,1.0247849011674115,0.0014655444846065236,False
117,6,4,2,12,4,4,10,0.75,0.75,1.75,52192,0.0014300996071829404,1.0247849011674115,0.0014655444846065236,False
118,6,4,6,2,4,7,3,0.75,1.25,0.5833333333333334,325353,0.008914914115109428,0.16267609783161988,0.0014502434407500304,False
119,4,14,6,6,9,3,6,1.5833333333333333,0.5833333333333334,1.0833333333333333,22610,0.0006195308115881032,2.2871670741109975,0.0014169704736615738,True
120,4,2,4,2,4,8,4,0.75,1.4166666666666667,0.75,290304,0.007954545454545454,0.17559776243210665,0.0013968003829826663,False
121,6,8,6,4,6,5,4,1.0833333333333333,0.9166666666666666,0.75,296505,0.008124457465277778,0.1684465592390351,0.0013685369057099342,False
122,6,2,10,2,3,10,2,0.5833333333333334,1.75,0.4166666666666667,321397,0.008806516773639169,0.1534475642560309,0.0013513385484948102,False
123,14,10,2,4,5,2,8,0.9166666666666666,0.4166666666666667,1.4166666666666667,45746,0.001253474414281706,1.0731686678810417,0.0013451894673976676,True
124,2,10,18,2,10,7,1,1.75,1.25,0.25,11202,0.0003069431292087542,4.38020057928417,0.001344472472367481,True
125,8,10,6,2,6,4,3,1.0833333333333333,0.75,0.5833333333333334,72182,0.0019778404706790125,0.6617767840239026,0.0013088889059982788,True
126,12,2,12,4,1,10,3,0.25,1.75,0.5833333333333334,46934,0.0012860264976150392,1.0115556339967138,0.0013008873491315543,False
127,2,6,6,6,9,6,6,1.5833333333333333,1.0833333333333333,1.0833333333333333,141196,0.0038688753858024693,0.33350819049129193,0.0012903016291552806,False
128,12,6,2,4,4,3,8,0.75,0.5833333333333334,1.4166666666666667,36627,0.0010036070338804715,1.2837808797982324,0.001288411520926766,True
129,4,2,12,10,4,10,5,0.75,1.75,0.9166666666666666,102258,0.0028019452335858587,0.4585718395107032,0.0012848931799737142,False
130,18,4,2,4,2,4,8,0.4166666666666667,0.75,1.4166666666666667,35016,0.0009594644360269361,1.306646763070934,0.0012536810996162753,False
131,6,16,6,2,8,3,3,1.4166666666666667,0.5833333333333334,0.5833333333333334,19242,0.0005272451073232323,2.36839583311225,0.0012487251152131643,True
132,2,4,2,18,8,4,10,1.4166666666666667,0.75,1.75,28702,0.0007864561412738497,1.5741008428501821,0.0012379612748438687,True
133,2,4,18,6,8,9,3,1.4166666666666667,1.5833333333333333,0.5833333333333334,24600,0.0006740582912457912,1.8220516689596649,0.0012281690345404938,True
134,4,6,14,6,7,8,3,1.25,1.4166666666666667,0.5833333333333334,38032,0.0010421050785634118,1.1776234905512768,0.0012272074201390576,True
135,6,10,8,6,7,5,5,1.25,0.9166666666666666,0.9166666666666666,29742,0.0008149529145622896,1.5054244236320462,0.001226850021692191,False
136,4,6,18,2,7,9,1,1.25,1.5833333333333333,0.25,19654,0.000538534213664422,2.2381809179206122,0.0012053370006710911,True
137,4,8,6,10,8,5,7,1.4166666666666667,0.9166666666666666,1.25,73032,0.0020011311026936025,0.6017710072584337,0.0012042226793241094,False
138,4,12,2,10,9,1,10,1.5833333333333333,0.25,1.75,73032,0.0020011311026936025,0.5933517857867018,0.0011873747133765607,True
139,2,24,4,2,11,1,4,1.9166666666666667,0.25,0.75,11324,0.0003102860199214366,3.814800803246703,0.0011836793580325188,False
140,6,14,4,6,8,2,7,1.4166666666666667,0.4166666666666667,1.25,29742,0.0008149529145622896,1.4395193203362002,0.0011731404656767125,True
141,6,6,8,6,6,6,5,1.0833333333333333,1.0833333333333333,0.9166666666666666,140318,0.0038448175329685746,0.30469858563156327,0.001171510464306961,False
142,6,18,4,2,9,2,4,1.5833333333333333,0.4166666666666667,0.75,24600,0.0006740582912457912,1.7153719086360806,0.0011562606575862679,True
143,6,6,10,2,6,7,2,1.0833333333333333,1.25,0.4166666666666667,45480,0.0012461858164983166,0.9191483890249371,0.0011454296856601535,True
144,2,18,6,4,10,3,4,1.75,0.5833333333333334,0.75,19654,0.000538534213664422,2.093361268776929,0.0011273466647963401,True
145,6,6,16,2,6,8,1,1.0833333333333333,1.4166666666666667,0.25,15610,0.00042772560676206507,2.574076156310065,0.001100998285809487,True
146,14,4,2,6,2,4,9,0.4166666666666667,0.75,1.5833333333333333,51278,0.0014050553275813693,0.755103499489303,0.001060962194832781,False
147,4,12,8,6,9,4,5,1.5833333333333333,0.75,0.9166666666666666,26340,0.000721735585016835,1.4457238345913435,0.0010434303375315653,True
148,18,4,6,2,2,7,3,0.4166666666666667,1.25,0.5833333333333334,39106,0.0010715334771324355,0.9660671880386854,0.001035173333142647,True
149,2,6,4,14,9,4,9,1.5833333333333333,0.75,1.5833333333333333,94758,0.002596439656986532,0.3981184725405633,0.0010336905902832221,True
150,10,2,10,2,2,10,2,0.4166666666666667,1.75,0.4166666666666667,283044,0.007755616056397306,0.13175450029015187,0.0010218373179529054,False
151,2,4,14,12,8,9,5,1.4166666666666667,1.5833333333333333,0.9166666666666666,17520,0.0004800610269360269,2.119106625873558,0.001017300503003799,True
152,2,12,16,2,10,6,1,1.75,1.0833333333333333,0.25,11118,0.0003046414667508417,3.3254160061832394,0.0010130596096803882,True
153,4,6,8,10,7,6,6,1.25,1.0833333333333333,1.0833333333333333,91094,0.002496043332631874,0.40434869044642385,0.001009271852847226,True
154,10,6,6,6,4,6,6,0.75,1.0833333333333333,1.0833333333333333,57226,0.0015680349501964086,0.6426079915213718,0.0010076317899810284,True
155,4,2,10,8,4,10,5,0.75,1.75,0.9166666666666666,78751,0.002157835955036476,0.4585718395107032,0.0009895228032634118,False
156,6,14,6,6,8,3,6,1.4166666666666667,0.5833333333333334,1.0833333333333333,15900,0.0004356718223905724,2.222934909758212,0.0009684701031899827,True
157,6,6,6,10,6,6,7,1.0833333333333333,1.0833333333333333,1.25,57226,0.0015680349501964086,0.6144428587879269,0.0009634678774780659,False
158,6,10,2,4,7,2,8,1.25,0.4166666666666667,1.4166666666666667,134484,0.0036849615951178452,0.2598058020112361,0.0009573744026001957,False
159,2,18,10,2,10,4,2,1.75,0.75,0.4166666666666667,11202,0.0003069431292087542,3.0958448232341684,0.0009502482975882182,True
160,18,2,4,2,1,8,4,0.25,1.4166666666666667,0.75,28702,0.0007864561412738497,1.1365774343515254,0.0008938683032790328,True
161,6,2,6,12,3,9,8,0.5833333333333334,1.5833333333333333,1.4166666666666667,51278,0.0014050553275813693,0.6351216794417412,0.0008923810993620451,False
162,4,2,10,14,4,10,7,0.75,1.75,1.25,45746,0.001253474414281706,0.7114562562259868,0.0008917922140599243,False
163,22,2,4,2,1,8,4,0.25,1.4166666666666667,0.75,28482,0.0007804279776936027,1.1365774343515254,0.0008870168285831444,True
164,12,4,6,6,3,7,6,0.5833333333333334,1.25,1.0833333333333333,57226,0.0015680349501964086,0.5610280461378478,0.0008797115843845487,False
165,8,6,16,6,5,8,3,0.9166666666666666,1.4166666666666667,0.5833333333333334,8108,0.00022216522867564534,3.938214697979532,0.0008749343689504102,True
166,12,2,6,6,1,9,6,0.25,1.5833333333333333,1.0833333333333333,66464,0.0018211630190796857,0.4789669363389717,0.0008722768718224293,False
167,4,2,10,6,4,10,4,0.75,1.75,0.75,134484,0.0036849615951178452,0.23595500940441855,0.0008694851478309524,False
168,10,8,6,4,5,5,4,0.9166666666666666,0.9166666666666666,0.75,91094,0.002496043332631874,0.3451673960918375,0.0008615527776569362,False
169,6,10,14,4,7,7,2,1.25,1.25,0.4166666666666667,13488,0.00036958122895622893,2.3222211527980536,0.0008582493475592553,True
170,10,2,6,10,2,9,7,0.4166666666666667,1.5833333333333333,1.25,71180,0.0019503849256453424,0.4389373822598155,0.0008560968536617715,False
171,12,4,6,8,3,7,6,0.5833333333333334,1.25,1.0833333333333333,55308,0.001515480324074074,0.5610280461378478,0.0008502269651756302,False
172,2,10,2,12,10,2,10,1.75,0.4166666666666667,1.75,78480,0.0021504103535353535,0.3902197243205914,0.0008391325353327111,False
173,6,8,16,2,6,8,1,1.0833333333333333,1.4166666666666667,0.25,11858,0.00032491801697530863,2.574076156310065,0.000836363720251691,True
174,18,6,2,4,3,3,8,0.5833333333333334,0.5833333333333334,1.4166666666666667,22694,0.0006218324740460157,1.3439962244607282,0.0008357404973649189,True
175,4,8,10,8,8,6,5,1.4166666666666667,1.0833333333333333,0.9166666666666666,56280,0.0015421138468013468,0.5402617618026739,0.0008331451437731944,True
176,4,12,2,6,9,1,9,1.5833333333333333,0.25,1.5833333333333333,102191,0.002800109383768238,0.2961079967787728,0.0008291347803890569,True
177,10,12,6,2,6,4,3,1.0833333333333333,0.75,0.5833333333333334,44092,0.001208153584455668,0.6617767840239026,0.0007995279937280224,True
178,12,6,4,8,4,4,8,0.75,0.75,1.4166666666666667,35055,0.0009605330650252525,0.8029123151952618,0.0007712238270610265,False
179,8,4,6,8,4,7,6,0.75,1.25,1.0833333333333333,94758,0.002596439656986532,0.2969796233782864,0.0007710896714563073,False
180,4,12,2,12,9,1,10,1.5833333333333333,0.25,1.75,46934,0.0012860264976150392,0.5933517857867018,0.0007630661189289011,True
181,6,6,14,6,6,8,3,1.0833333333333333,1.4166666666666667,0.5833333333333334,15900,0.0004356718223905724,1.717745370226071,0.0007483732558493609,True
182,6,18,4,6,9,2,7,1.5833333333333333,0.4166666666666667,1.25,13464,0.0003689236111111111,2.027459885928834,0.0007479778224997869,True
183,8,4,2,16,4,4,10,0.75,0.75,1.75,26604,0.0007289693813131313,1.0247849011674115,0.0007470368153830464,False
184,10,6,6,8,4,6,6,0.75,1.0833333333333333,1.0833333333333333,42366,0.001160859901094276,0.6426079915213718,0.000745977849479891,True
185,6,4,12,2,4,9,1,0.75,1.5833333333333333,0.25,68220,0.0018692787247474747,0.39195473627425914,0.0007326726495814799,False
186,8,4,6,2,4,7,3,0.75,1.25,0.5833333333333334,162258,0.004445989846380472,0.16267609783161988,0.0007232562792081782,False
187,14,4,2,10,2,4,10,0.4166666666666667,0.75,1.75,35689,0.0009779051364337823,0.7206065034017702,0.000704684801024179,False
188,6,4,6,14,4,7,8,0.75,1.25,1.4166666666666667,40318,0.0011047431783108867,0.6323780234802238,0.0006986153075534989,False
189,4,18,8,4,9,3,4,1.5833333333333333,0.5833333333333334,0.75,12672,0.00034722222222222224,1.9968418443313558,0.0006933478626150541,True
190,2,12,10,8,10,5,5,1.75,0.9166666666666666,0.9166666666666666,15524,0.0004253691428170595,1.6067071039589373,0.0006834436235690932,False
191,4,2,6,18,4,9,9,0.75,1.5833333333333333,1.5833333333333333,22694,0.0006218324740460157,1.0748629264875036,0.000668384672838065,False
192,8,10,2,4,6,2,8,1.0833333333333333,0.4166666666666667,1.4166666666666667,78751,0.002157835955036476,0.30625006168105556,0.0006608373943275202,True
193,4,2,12,6,4,10,4,0.75,1.75,0.75,102191,0.002800109383768238,0.23595500940441855,0.0006606998359804352,False
194,10,2,12,4,2,10,3,0.4166666666666667,1.75,0.5833333333333334,73032,0.0020011311026936025,0.32621162541150533,0.0006527922296711981,False
195,6,4,8,4,4,8,4,0.75,1.4166666666666667,0.75,134484,0.0036849615951178452,0.17559776243210665,0.0006470710107509401,False
196,6,14,6,10,8,3,7,1.4166666666666667,0.5833333333333334,1.25,9158,0.00025093600939955107,2.54111071118627,0.0006376561813075378,True
197,8,4,14,4,4,9,2,0.75,1.5833333333333333,0.4166666666666667,31944,0.0008752893518518518,0.7251005181684387,0.0006346727625750946,False
