max_prime,period,slots,mean_gap,max_gap,gap_sum
2,2,1,2.0,2,2
3,6,2,3.0,4,6
5,30,8,3.75,6,30
7,210,48,4.375,10,210
11,2310,480,4.8125,14,2310
13,30030,5760,5.213541666666667,22,30030
17,510510,92160,5.539388020833333,26,510510
19,9699690,1658880,5.847131799768518,34,9699690
