scale,phase_a,phase_b,offset,n,share_of_scale,prime_hits,prime_hit_rate,uniform_offset_prime_rate,difference_vs_uniform,fixed_plus_2_rate
high,13,1,16,743,0.0743,45,0.06056527590847914,0.06662180349932706,-0.006056527590847908,0.06998654104979811
high,11,3,18,856,0.0856,74,0.08644859813084112,0.08197040498442366,0.004478193146417453,0.0794392523364486
high,9,5,20,961,0.0961,104,0.10822060353798127,0.07630939993062781,0.03191120360735346,0.07908428720083246
high,5,9,24,1486,0.1486,154,0.10363391655450875,0.08120233288470165,0.022431583669807093,0.07133243606998654
high,3,11,26,1502,0.1502,155,0.10319573901464714,0.0724589436307146,0.030736795383932543,0.10319573901464714
high,1,13,28,4452,0.4452,236,0.053009883198562445,0.07228960766696615,-0.01927972446840371,0.05076370170709793
low,13,1,16,753,0.0753,96,0.12749003984063745,0.09628154050464807,0.031208499335989386,0.10624169986719788
low,11,3,18,822,0.0822,71,0.08637469586374696,0.11557177615571776,-0.029197080291970795,0.11678832116788321
low,9,5,20,959,0.0959,175,0.18248175182481752,0.11331247827598191,0.0691692735488356,0.16371220020855057
low,5,9,24,1488,0.1488,216,0.14516129032258066,0.11794354838709678,0.02721774193548388,0.12231182795698925
low,3,11,26,1486,0.1486,216,0.14535666218034993,0.1104755495737999,0.03488111260655003,0.1541049798115747
low,1,13,28,4492,0.4492,326,0.07257346393588603,0.10748738498070644,-0.03491392104482041,0.07969723953695458
middle,13,1,16,798,0.0798,67,0.08395989974937343,0.07247284878863826,0.011487050960735178,0.09398496240601503
middle,11,3,18,891,0.0891,87,0.09764309764309764,0.08398802843247287,0.013655069210624773,0.10213243546576879
middle,9,5,20,891,0.0891,104,0.11672278338945005,0.08249158249158249,0.034231200897867575,0.12457912457912458
middle,5,9,24,1536,0.1536,162,0.10546875,0.08506944444444443,0.020399305555555563,0.08268229166666667
middle,3,11,26,1453,0.1453,178,0.12250516173434274,0.08029364533149805,0.04221151640284469,0.11493461803165864
middle,1,13,28,4431,0.4431,237,0.05348679756262695,0.07597983901301436,-0.022493041450387417,0.052809749492213946
pooled,13,1,16,2294,0.07646666666666667,208,0.09067131647776809,0.07839290903807032,0.01227840743969777,0.09023539668700958
pooled,11,3,18,2569,0.08563333333333334,232,0.0903075126508369,0.09342156481121058,-0.003114052160373678,0.09926041261191125
pooled,9,5,20,2811,0.0937,383,0.13625044468160796,0.09089292066880114,0.04535752401280684,0.1223763785129847
pooled,5,9,24,4510,0.15033333333333335,532,0.11796008869179601,0.09464153732446415,0.023318551367331866,0.09201773835920177
pooled,3,11,26,4441,0.14803333333333332,549,0.12362080612474668,0.08774300082563986,0.035877805299106814,0.12407115514523756
pooled,1,13,28,13375,0.44583333333333336,799,0.05973831775700934,0.08533333333333333,-0.02559501557632398,0.0611588785046729
