cell,progress,q_end,entity,observed_survival,observed_phase,model,predicted_survival,predicted_phase
1,0.041666666666666664,43,candidate,0.8972580390921603,0.652586079377584,home_r10,0.8972565272737242,0.6525910586469161
1,0.041666666666666664,43,candidate,0.8972580390921603,0.652586079377584,direct_log_rung,0.8763910778052475,0.7185179326297746
1,0.041666666666666664,43,candidate,0.8972580390921603,0.652586079377584,circle_secant_rho1,0.8737195402227057,0.726597542169205
1,0.041666666666666664,43,candidate,0.8972580390921603,0.652586079377584,circle_shared_rho_primary,0.8777655286174411,0.7143319510131676
1,0.041666666666666664,43,candidate,0.8972580390921603,0.652586079377584,circle_candidate_rho_sensitivity,0.8773527913839476,0.7155910864292557
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,home_r10,0.8025923211705174,0.920798541880197
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,direct_log_rung,0.7652415587448689,1.0116259443494429
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,circle_secant_rho1,0.7602363976269821,1.0233917661215823
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,circle_shared_rho_primary,0.7674578731103441,1.006388302586587
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,circle_edge_rho_sensitivity,0.7679850758188851,1.0051398521073796
1,0.041666666666666664,43,edge,0.8025997393635639,0.9207799050655336,circle_candidate_plus_j_secondary,0.7677196149869405,1.0057686042227076
2,0.08333333333333333,61,candidate,0.8331100973673997,0.8416675151801027,home_r10,0.8469942435215401,0.8037822852296339
2,0.08333333333333333,61,candidate,0.8331100973673997,0.8416675151801027,direct_log_rung,0.832637775448242,0.8429334940901041
2,0.08333333333333333,61,candidate,0.8331100973673997,0.8416675151801027,circle_secant_rho1,0.8317954338319196,0.8451877119691467
2,0.08333333333333333,61,candidate,0.8331100973673997,0.8416675151801027,circle_shared_rho_primary,0.8343544668174268,0.8383253127325292
2,0.08333333333333333,61,candidate,0.8331100973673997,0.8416675151801027,circle_candidate_rho_sensitivity,0.834092490145548,0.8390297785677453
2,0.08333333333333333,61,edge,0.6909618629686786,1.178919405507332,home_r10,0.7143603323261405,1.1277201021757928
