task,baseline_model,ara_model,block,start,end,events,baseline_loss_bits,ara_loss_bits,delta_bits
edge,edge_hl29,ara_edge_b12_l64,1,100250000,100500000,39476,0.514204683319724,0.5142388470096448,-3.416368992087532e-05
edge,edge_hl29,ara_edge_b12_l64,2,100500000,100750000,39495,0.5206084558940174,0.5206725679844986,-6.41120904811798e-05
edge,edge_hl29,ara_edge_b12_l64,3,100750000,101000000,39483,0.5229259462376665,0.522961755155597,-3.5808917930380354e-05
edge,edge_hl29,ara_edge_b12_l64,4,101000000,101250000,39485,0.5205464472543794,0.5205247230926892,2.1724161690253635e-05
edge,edge_hl29,ara_edge_b12_l64,5,101250000,101500000,39489,0.5253102917104586,0.5253334019651473,-2.3110254688681305e-05
edge,edge_hl29,ara_edge_b12_l64,6,101500000,101750000,39486,0.5174371679442953,0.5174750668819883,-3.7898937692951025e-05
edge,edge_hl29,ara_edge_b12_l64,7,101750000,102000000,39492,0.5251375863292117,0.5252120459817318,-7.445965252015881e-05
edge,edge_hl29,ara_edge_b12_l64,8,102000000,102250000,39481,0.5144508023497371,0.5145222322496065,-7.142989986938805e-05
edge,edge_hl29,ara_edge_b12_l64,9,102250000,102500000,39490,0.5239005915915027,0.5239438074043858,-4.3215812883045996e-05
edge,edge_hl29,ara_edge_b12_l64,10,102500000,102750000,39482,0.5200553733180926,0.519962448742971,9.29245751215947e-05
edge,edge_hl29,ara_edge_b12_l64,11,102750000,103000000,39493,0.5261656990371736,0.5262183489118339,-5.264987466045547e-05
edge,edge_hl29,ara_edge_b12_l64,12,103000000,103250000,39483,0.5178296315145726,0.5177851174578114,4.451405676125856e-05
edge,edge_hl29,ara_edge_b12_l64,13,103250000,103500000,39491,0.523524709398304,0.5236434830305032,-0.00011877363219921793
edge,edge_hl29,ara_edge_b12_l64,14,103500000,103750000,39484,0.5216643858484175,0.5215924346540093,7.1951194408125e-05
edge,edge_hl29,ara_edge_b12_l64,15,103750000,104000000,39490,0.5243478668906311,0.5244099874320918,-6.212054146068291e-05
