baseline_name,anchor,baseline_prime,baseline_prime_index,completion_prime,completion_prime_index,landmark,target_x,landmark_integer,gate_prime,gate_prime_index,actual_x,raw_spacing_ratio
primary,10000,10007,1229,102474149,5895783,baseline,0,10007,10007,1229,0.0,1.0
primary,10000,10007,1229,102474149,5895783,seed,,10009,10009,1230,0.0002882939585531927,1.0000999200639489
primary,10000,10007,1229,102474149,5895783,band_boundary,0.25,23143,23143,2582,0.25009435578949313,1.0905433941867761
primary,10000,10007,1229,102474149,5895783,band_boundary,0.50,57689,57689,5842,0.5000291320196726,1.189219121760552
primary,10000,10007,1229,102474149,5895783,band_boundary,0.75,155833,155833,14348,0.750001807504444,1.296840367034752
primary,10000,10007,1229,102474149,5895783,band_boundary,1.00,461309,461309,38557,1.000000124815826,1.4142136235489613
primary,10000,10007,1229,102474149,5895783,band_boundary,1.25,1501921,1501921,114300,1.2500011209849538,1.5422114245627925
primary,10000,10007,1229,102474149,5895783,band_boundary,1.50,5443903,5443903,377176,1.5000004064170154,1.681793067393691
primary,10000,10007,1229,102474149,5895783,band_boundary,1.75,22166993,22166993,1399086,1.7500000706932184,1.8340081313432792
primary,10000,10007,1229,102474149,5895783,completion,2.00,102474149,102474149,5895783,2.0000000165496745,2.00000001147136
primary,10000,10007,1229,102474149,5895783,nearest_golden_phi,1.618033988749895,10406947,10406947,689812,1.6180339913529798,1.7520172696613063
primary,10000,10007,1229,102474149,5895783,seed_child_square,,100180081,100180079,5771248,1.9964536438687284,1.9975433632490152
primary,10000,10007,1229,102474149,5895783,next_generation_seed,local reset,102474157,102474157,5895784,2.8157246355153488e-08,2.0000000309884762
scale_check_a,1000,1009,168,1069217,83488,baseline,0,1009,1009,168,0.0,1.0
scale_check_a,1000,1009,168,1069217,83488,seed,,1013,1013,169,0.002849768213656205,1.0009881422924902
scale_check_a,1000,1009,168,1069217,83488,band_boundary,0.25,1889,1889,289,0.250328561385004,1.0906319166131762
scale_check_a,1000,1009,168,1069217,83488,band_boundary,0.50,3779,3779,525,0.5002688249401204,1.1893179157662896
scale_check_a,1000,1009,168,1069217,83488,band_boundary,0.75,8059,8059,1012,0.7502717859459377,1.2969617146902177
scale_check_a,1000,1009,168,1069217,83488,band_boundary,1.00,18191,18191,2083,1.0000824921317149,1.4142539947430075
scale_check_a,1000,1009,168,1069217,83488,band_boundary,1.25,44357,44357,4613,1.2500557719773575,1.5422406352347133
scale_check_a,1000,1009,168,1069217,83488,band_boundary,1.50,117241,117241,11065,1.500010924817566,1.6817991982130491
scale_check_a,1000,1009,168,1069217,83488,band_boundary,1.75,337223,337223,28973,1.7500030260535007,1.8340100098267462
scale_check_a,1000,1009,168,1069217,83488,completion,2.00,1069217,1069217,83488,2.0000001385362287,2.0000000960259987
scale_check_a,1000,1009,168,1069217,83488,nearest_golden_phi,1.618033988749895,190829,190829,17233,1.6180318742303545,1.7520159841387477
scale_check_a,1000,1009,168,1069217,83488,seed_child_square,,1026169,1026167,80425,1.9915632440669955,1.9941606276085742
scale_check_a,1000,1009,168,1069217,83488,next_generation_seed,local reset,1069219,1069219,83489,2.6985972294571584e-06,2.0000019665520243
scale_check_b,3000,3001,430,9384281,626425,baseline,0,3001,3001,430,0.0,1.0
scale_check_b,3000,3001,430,9384281,626425,seed,,3011,3011,431,0.0009584421552255642,1.0003322259136211
scale_check_b,3000,3001,430,9384281,626425,band_boundary,0.25,6263,6263,813,0.25007034168768993,1.090534318009771
scale_check_b,3000,3001,430,9384281,626425,band_boundary,0.50,13877,13877,1638,0.5001145945342907,1.1892543458234544
scale_check_b,3000,3001,430,9384281,626425,band_boundary,0.75,33029,33029,3540,0.750007046091675,1.2968427215231788
scale_check_b,3000,3001,430,9384281,626425,band_boundary,1.00,84913,84913,8269,1.000008176942429,1.4142175701359763
scale_check_b,3000,3001,430,9384281,626425,band_boundary,1.25,237701,237701,21031,1.2500084459525114,1.5422153396878435
scale_check_b,3000,3001,430,9384281,626425,band_boundary,1.50,728927,728927,58706,1.5000005942105736,1.6817931768519985
scale_check_b,3000,3001,430,9384281,626425,band_boundary,1.75,2475653,2475653,181414,1.7500004535690477,1.834008374706364
scale_check_b,3000,3001,430,9384281,626425,completion,2.00,9384281,9384281,626425,2.0000000374337663,2.00000002594711
scale_check_b,3000,3001,430,9384281,626425,nearest_golden_phi,1.618033988749895,1281253,1281253,98691,1.6180332896008878,1.752016843555442
scale_check_b,3000,3001,430,9384281,626425,seed_child_square,,9066121,9066091,606538,1.9937792177316418,1.9956927271297387
scale_check_b,3000,3001,430,9384281,626425,next_generation_seed,local reset,9384293,9384293,626426,3.074701781477049e-07,2.000000239069211
