rank,half1_fit_to_half2_jsd_bits,half2_fit_to_half1_jsd_bits,mean_heldout_jsd_bits,mean_component_cosine,min_component_cosine,half1_training_frobenius,half2_training_frobenius
1,0.2904453652081471,0.2904714775882092,0.2904584213981781,0.9999999906683158,0.9999999906683158,0.09472893741894943,0.0947300592472479
2,0.1847078506446992,0.1847261587241216,0.18471700468441038,0.9999999800611208,0.9999999749628471,0.07678831183013929,0.07678846381870728
3,0.12824868051259558,0.12825034438679916,0.12824951244969737,0.9999999769319331,0.9999999741227534,0.06017450395149983,0.060174630563440204
4,0.08381939604046588,0.08383452145542063,0.08382695874794326,0.9999999626291339,0.9999999457566306,0.04423360208317425,0.044234079671377886
5,0.04932218585413419,0.049248710701074346,0.04928544827760427,0.9999917171251399,0.9999777082992396,0.03083460382606999,0.030836261217394068
6,0.044059593078551784,0.04406880547489513,0.04406419927672346,0.999999850339949,0.9999995278047885,0.022818037300104826,0.022817988876956484
