check,passes
protocol_hash_matches,True
child_gap_count_exact,True
child_gap_sum_exact,True
child_gap_hash_matches_pn1c,True
child_gaps_positive_even,True
scale_strata_reconstruct_target,True
scale_half_strata_reconstruct_halves,True
all_saved_probabilities_valid,True
