base,factors,voice_count,first_missing_prime,harmonic_repeat_count,event_x_old_lock,event_x_echo,last_pure_repeat_x,phi_crossed_before_expansion
10000006,2;83;107;563,4,3,1,1.8723783601099446,0.1276216398900552,1.9175376665761177,False
10000038,2;3;887;1879,4,5,3,1.8184250999511908,0.18157490004880933,1.8416061274668185,False
10000042,2;13;19;31;653,5,3,1,1.872378386795458,0.1276216132045419,1.9175376842347536,False
10000074,2;3;7;457;521,5,5,3,1.8184251368240982,0.18157486317590174,1.8416061600423328,False
10000114,2;17;197;1493,4,3,1,1.872378440166163,0.12762155983383697,1.9175377195518117,False
10000118,2;19;97;2713,4,3,1,1.8723784431311896,0.12762155686881035,1.9175377215138625,False
10000130,2;5;7;373;383,5,3,1,1.8723784520262616,0.12762154797373856,1.9175377274000085,False
10000138,2;37;337;401,4,3,1,1.872378457956303,0.1276215420436973,1.9175377313241015,False
10000146,2;3;13;41;53;59,6,5,3,1.81842521056947,0.1815747894305297,1.8416062251929695,False
10000218,2;3;61;89;307,5,5,3,1.8184252843142514,0.18157471568574857,1.8416062903430834,False
10000254,2;3;11;277;547,5,5,3,1.8184253211864205,0.18157467881357955,1.8416063229179442,False
10000270,2;5;7;19;73;103,6,3,1,1.872378555801219,0.12762144419878096,1.9175377960711282,False
10000286,2;37;67;2017,4,3,1,1.8723785676611109,0.12762143233888906,1.9175378039191875,False
10000294,2;79;167;379,4,3,1,1.8723785735910492,0.12762142640895105,1.9175378078432126,False
10000338,2;3;43;83;467,5,5,3,1.8184254072209072,0.18157459277909296,1.841606398925445,False
10000342,2;11;251;1811,4,3,1,1.8723786091705656,0.12762139082943416,1.9175378313872855,False
10000354,2;7;13;23;2389,5,3,1,1.8723786180654152,0.12762138193458475,1.917537837273284,False
10000366,2;1889;2647,3,3,1,1.8723786269602531,0.12762137303974724,1.9175378431592747,False
10000378,2;47;191;557,4,3,1,1.8723786358550782,0.12762136414492162,1.917537849045257,False
10000414,2;31;101;1597,4,3,1,1.8723786625394836,0.12762133746051627,1.9175378667031582,False
10000430,2;5;11;229;397,5,3,1,1.8723786743991848,0.127621325600815,1.917537874551091,False
10000434,2;3;37;107;421,5,5,3,1.81842550554505,0.18157449445495016,1.841606485790289,False
10000466,2;7;701;1019,4,3,1,1.8723787010834354,0.1276212989165645,1.9175378922088888,False
10000482,2;3;613;2719,4,5,3,1.8184255547067274,0.18157444529327263,1.8416065292223627,False
10000490,2;5;353;2833,4,3,1,1.872378718872876,0.1276212811271238,1.917537903980715,False
10000510,2;5;13;43;1789,5,3,1,1.8723787336973736,0.12762126630262624,1.9175379137905453,False
10000562,2;11;13;73;479,5,3,1,1.8723787722409129,0.12762122775908746,1.9175379392960028,False
