n,label_prime,parent_empirical,buchstab_parent,ara_compact,raw_compact,ara_full,raw_full,ara_order_scrambled
4000000003,0,0.83652125558747836,0.83286783276999121,0.83391384668120994,0.83522589132005509,0.83823897814793513,0.83699469528350101,0.82701690247879445
4000000007,1,0.83652125558747836,0.83286783276999121,0.83391456055687962,0.83522941851684929,0.83823839075810869,0.83699826965725765,0.83544832613745956
4000000009,1,0.83652125558747836,0.83286783276999121,0.83391491822361519,0.83523118209251745,0.83823809849525222,0.83700005682046774,0.8369288617641788
4000000019,1,0.83652125558747836,0.83286783276999121,0.83391671384619936,0.83523999974357033,0.8382366515017039,0.83700899239983895,0.83704668784847758
4000000063,1,0.83652125558747836,0.83286783276999121,0.83392475889886108,0.8352787929080393,0.83823056829189657,0.83704830426297028,0.83691656516253732
4000000129,0,0.83652125558747836,0.83286783276999121,0.83393726738799412,0.83533696890516007,0.83822230998603775,0.8371072577400327,0.82710656214106293
4000000133,1,0.83652125558747836,0.83286783276999121,0.83393804248128089,0.83534049419291412,0.8382218429041508,0.83711083012587839,0.83541020782815845
4000000157,1,0.83652125558747836,0.83286783276999121,0.83394273384472339,0.83536164464689666,0.83821912062891246,0.8371322631158451,0.83192328017605299
4000000163,1,0.83652125558747836,0.83286783276999121,0.83394391761480136,0.83536693191953948,0.83821846154696678,0.83713762100840483,0.83704003413220551
4000000183,0,0.83652125558747836,0.83286783276999121,0.83394789508685296,0.83538455517702337,0.83821632668201551,0.83715547962494097,0.82714597011149338
4000000187,1,0.83652125558747836,0.83286783276999121,0.8339486964097339,0.83538807964674011,0.83821591116918404,0.83715905115895994,0.83539482829263489
4000000229,1,0.83652125558747836,0.83286783276999121,0.83395722759043733,0.8354250829205756,0.83821177892793841,0.83719654845688285,0.83195093771153494
4000000231,1,0.83652125558747836,0.83286783276999121,0.83395763917930832,0.83542684481461327,0.83821159266029399,0.83719833386899567,0.83068008983524499
4000000241,1,0.83652125558747836,0.83286783276999121,0.83395970440805256,0.83543565405759779,0.83821067564845853,0.83720726069297313,0.83538002307611714
4000000273,1,0.83652125558747836,0.83286783276999121,0.83396639472159606,0.8354638410905274,0.83820790166928705,0.8372358238799974,0.82721295874005596
4000000351,1,0.83652125558747836,0.83286783276999121,0.83398322310797857,0.83553253073970424,0.83820216450261253,0.83730542973404865,0.83686061075212159
4000000373,1,0.83652125558747836,0.83286783276999121,0.83398810308248839,0.83555190057860229,0.83820080900882543,0.83732505781775535,0.83200935355654537
4000000387,1,0.83652125558747836,0.83286783276999121,0.83399123910224637,0.83556422588568136,0.83820000660203653,0.83733754742305344,0.83685475696092992
4000000399,0,0.83652125558747836,0.83286783276999121,0.83399394604956323,0.83557478984402722,0.83819935607969409,0.83734825218406417,0.8273094884754999
4000000427,1,0.83652125558747836,0.83286783276999121,0.83400033021117537,0.83559943696020478,0.83819797193170842,0.83737322775227974,0.8320323248344641
4000000429,0,0.83652125558747836,0.83286783276999121,0.83400078986279413,0.83560119735493632,0.83819788022857811,0.83737501160318317,0.83076342599112318
4000000451,1,0.83652125558747836,0.83286783276999121,0.83400587806140969,0.83562056069762525,0.83819693454322997,0.83739463292251326,0.83703887597131388
4000000453,1,0.83652125558747836,0.83286783276999121,0.83400634353672742,0.83562232091065658,0.83819685430360169,0.8373964165842166,0.8273518380160485
4000000469,0,0.83652125558747836,0.83286783276999121,0.83401008480932681,0.8356364020698227,0.83819624677745519,0.83741068531026031,0.83703934145680736
4000000483,1,0.83652125558747836,0.83286783276999121,0.83401338389909541,0.8356487222891924,0.83819576534574125,0.83742316961783925,0.83078752013623014
4000000531,1,0.83652125558747836,0.83286783276999121,0.83402487556529692,0.83569095740912258,0.8381944701017483,0.83746596709346899,0.83683387725689262
4000000553,1,0.83652125558747836,0.83286783276999121,0.83403023597444126,0.83571031225805226,0.83819406034938659,0.83748557956848979,0.83208818280486307
4000000559,1,0.83652125558747836,0.83286783276999121,0.83403170809189697,0.83571559053529698,0.83819396866084517,0.8374909280942765,0.837042618037518
4000000561,1,0.83652125558747836,0.83286783276999121,0.8340321997679373,0.83571734993076785,0.83819394000867908,0.83749271090467881,0.8274382986294716
4000000573,1,0.83652125558747836,0.83286783276999121,0.83403516001126332,0.83572790598568392,0.83819378815786327,0.83750340743606455,0.83082897716860438
4000000579,1,0.83652125558747836,0.83286783276999121,0.83403664668161004,0.83573318380877415,0.83819372512958723,0.83750875548895654,0.82745293692607502
4000000583,0,0.83652125558747836,0.83286783276999121,0.83403764022054927,0.83573670228181018,0.83819368788745763,0.83751232077873738,0.83529960129237191
4000000591,1,0.83652125558747836,0.83286783276999121,0.83403963311920082,0.8357437390462259,0.83819362486733895,0.83751945116914706,0.83083746352514598
4000000597,1,0.83652125558747836,0.83286783276999121,0.83404113288625537,0.83574901646059008,0.8381935876333797,0.83752479879644859,0.82746764038579346
4000000607,1,0.83652125558747836,0.83286783276999121,0.83404364219880966,0.835757811848444,0.83819354468370888,0.83753371119337261,0.83211308930826366
4000000619,1,0.83652125558747836,0.83286783276999121,0.83404666937964456,0.83576836581433389,0.83819352467055208,0.83754440554953591,0.83529247735280987
4000000661,1,0.83652125558747836,0.83286783276999121,0.83405740200590039,0.83580530040364376,0.83819372546533399,0.83758183132775477,0.83213857593887885
4000000663,1,0.83652125558747836,0.83286783276999121,0.83405791841781063,0.83580705902711039,0.8381937455357934,0.83758361333430054,0.83087205852461432
4000000687,1,0.83652125558747836,0.83286783276999121,0.83406415318376437,0.83582816132811677,0.83819406089804516,0.83760499618355144,0.82754213466133941
4000000723,1,0.83652125558747836,0.83286783276999121,0.83407363624832931,0.83585981069309667,0.83819479188277579,0.83763706620232414,0.82757238804108935
4000000727,1,0.83652125558747836,0.83286783276999121,0.83407469961883485,0.83586332698651045,0.83819489220995169,0.83764062922256233,0.83527263945151753
4000000733,1,0.83652125558747836,0.83286783276999121,0.83407629831062813,0.83586860131312357,0.83819504986567117,0.83764597363473015,0.83217346016625882
