task,model,events,positives,actual_rate,mean_prediction,calibration_error,log_loss_bits,brier_score,gain_vs_established_reference_bits
candidate,ara_parent_only,1579467,482449,0.30545050957063363,0.29821082949638367,-0.007239680074249966,0.8880316918210011,0.2122029087412514,-0.00017979195367268108
candidate,parent_home,1579467,482449,0.30545050957063363,0.34319937229156494,0.03774886272093131,0.8924990704931567,0.21357547241039762,-0.004647170625828312
candidate,parent_raw_additive,1579467,482449,0.30545050957063363,0.2914237678050995,-0.014026741765534145,0.8885328675661739,0.2123472452582309,-0.0006809676988455138
candidate,parent_log_ols_3rung,1579467,482449,0.30545050957063363,0.28870871663093567,-0.016741792939697964,0.8888255199875347,0.21243078340450958,-0.0009736201202062977
candidate,parent_ara_curvature,1579467,482449,0.30545050957063363,0.31305357813835144,0.007603068567717808,0.8880466332044719,0.21220830242531927,-0.0001947333371434823
candidate,ara_parent_ara_plain_child,1579467,482449,0.30545050957063363,0.2982108175407893,-0.0072396920298443135,0.8880325582657383,0.21220315400864526,-0.0001806583984099719
candidate,ara_parent_ara_i3_child,1579467,482449,0.30545050957063363,0.2982108195650876,-0.007239690005546029,0.8881053811843747,0.2122238857866488,-0.00025348131704627797
candidate,ara_parent_ara_decompressed_child,1579467,482449,0.30545050957063363,0.29821082140140753,-0.0072396881692260995,0.8881954593542997,0.2122496739496742,-0.0003435594869712899
candidate,ara_parent_raw_pair_child,1579467,482449,0.30545050957063363,0.2982108194792544,-0.007239690091379258,0.8880483735733081,0.21220767953817418,-0.00019647370597974945
candidate,ara_parent_raw_stencil_child,1579467,482449,0.30545050957063363,0.29821082140140753,-0.0072396881692260995,0.8881954593542997,0.2122496739496742,-0.0003435594869712899
candidate,pnt29_reference,1579467,482449,0.30545050957063363,0.305439634469553,-1.0875101080609628e-05,0.8878518998673284,0.21215050663007853,0.0
edge,ara_parent_only,1579466,146147,0.09252937385166886,0.09110946208238602,-0.0014199117692828417,0.44487413850160673,0.08396970497571948,-1.736472902563735e-05
edge,parent_home,1579466,146147,0.09252937385166886,0.11717072874307632,0.024641354891407466,0.44938002061151316,0.08457488519717124,-0.004523246838932071
edge,parent_raw_additive,1579466,146147,0.09252937385166886,0.08365479856729507,-0.008874575284373784,0.4455751633649179,0.08404644691276496,-0.0007183895923368322
edge,parent_log_ols_3rung,1579466,146147,0.09252937385166886,0.0816839262843132,-0.010845447567355657,0.44594500494546646,0.08408531255922322,-0.0010882311728853677
edge,parent_ara_curvature,1579466,146147,0.09252937385166886,0.1073257103562355,0.014796336504566646,0.4465767698536588,0.08418662040024331,-0.0017199960810777015
edge,ara_parent_ara_endpoints_child,1579466,146147,0.09252937385166886,0.09110945882746177,-0.0014199150242070885,0.4448880402818878,0.08397128112948163,-3.126650930668218e-05
edge,ara_parent_ara_decompressed_edge_child,1579466,146147,0.09252937385166886,0.09110945823536018,-0.0014199156163086785,0.44490880068976324,0.08397356815213378,-5.202691718214636e-05
edge,ara_parent_raw_edge_child,1579466,146147,0.09252937385166886,0.09110945866203599,-0.0014199151896328727,0.4449271124569333,0.08397560884072074,-7.033868435218915e-05
edge,hl29_reference,1579466,146147,0.09252937385166886,0.09259534896759913,6.597511593027516e-05,0.4448567737725811,0.08396770240310195,0.0
