transition,observable,half,ordered_jsd_bits,shuffle_median_jsd_bits,permutation_p_one_sided,passes_same_direction
13->17,pair,1,0.005278041866693317,0.11148575476081263,0.004975124378109453,True
13->17,triple,1,0.014917499683041712,0.28934006139930235,0.004975124378109453,True
13->17,pair,2,0.005083554967852235,0.1099987260671207,0.004975124378109453,True
13->17,triple,2,0.016334831741318726,0.2869840604105648,0.004975124378109453,True
17->19,pair,1,0.002855052995009413,0.10210046915196619,0.004975124378109453,True
17->19,triple,1,0.007173301780617154,0.2524122093769492,0.004975124378109453,True
17->19,pair,2,0.0028425262206967974,0.10193166022620789,0.004975124378109453,True
17->19,triple,2,0.007241737014119027,0.2519815470911063,0.004975124378109453,True
