model,one_neighbor_entropy_bits,two_neighbor_entropy_bits,memory_gain_bits,one_neighbor_uncertainty_removed_fraction,one_neighbor_perplexity,two_neighbor_perplexity,perplexity_reduction_fraction
Empirical p23,2.5564954578886283,2.0822464758983656,0.47424898199026266,0.18550746121095707,5.882769290133364,4.234660984438758,0.28015858253337067
IID-gap overlap,2.7943447380703845,2.6575689744689033,0.13677576360148125,0.04894734774061228,6.937157973263513,6.3096893363348014,0.09045038895568436
First-order gap Markov,2.6089852903008786,2.3352159835325663,0.27376930676831224,0.10493325040431335,6.100744409600549,5.046265046926164,0.17284437633790783
