block,start,end,candidates,actual_primes,pnt29_predicted_primes,raw_stencil_predicted_primes,ara_i3_predicted_primes,ara_decompressed_predicted_primes
0,100000000,100500000,78971,27124,27138.83099725478,27142.37016359316,27141.962278395706,27142.975851126903
1,100500000,101000000,78978,27084,27133.90891724771,27138.28494571737,27135.108724583708,27137.80349415804
2,101000000,101500000,78974,27217,27125.24761980187,27131.74586703326,27126.59522634969,27130.674335899665
3,101500000,102000000,78978,27099,27119.373811840756,27120.629127078017,27120.435847801753,27121.748776377626
4,102000000,102500000,78971,27251,27109.76272595168,27112.7794301631,27111.281150844305,27112.822750067444
5,102500000,103000000,78975,27053,27103.966998735003,27114.210712112574,27108.436732077666,27111.89865329345
6,103000000,103500000,78974,27132,27096.49351940836,27100.140820163535,27098.21003801545,27101.518573720685
7,103500000,104000000,78974,27074,27089.4014071069,27092.46049249744,27089.792399335547,27091.72243481902
8,104000000,104500000,78972,27185,27081.661336742196,27085.09444034242,27083.275581715086,27086.26646465586
9,104500000,105000000,78975,27022,27075.67319357574,27081.557471425782,27077.907955976058,27080.523071061794
10,105000000,105500000,78975,27069,27068.693231232504,27074.066634311486,27072.388659940938,27073.2672200948
11,105500000,106000000,78971,27002,27060.37925892014,27071.159356940603,27065.066423193246,27070.374449244395
12,106000000,106500000,78975,27026,27054.84304613518,27060.425084116527,27057.88510906679,27059.306014357582
13,106500000,107000000,78973,27035,27047.286919133392,27056.958649058797,27049.49992272668,27052.955631307486
14,107000000,107500000,78976,27154,27041.478802974176,27047.279749815672,27044.356203099996,27046.43964360549
15,107500000,108000000,78971,26981,27032.96698269921,27044.099854367014,27040.381064251553,27042.015484265095
16,108000000,108500000,78976,27202,27027.91312669997,27030.820572074983,27030.43120592608,27033.620720752402
17,108500000,109000000,78973,27013,27020.15578555211,27023.04087441055,27019.160820297497,27022.111117911627
18,109000000,109500000,78972,27055,27013.11706979181,27017.203687082692,27014.972653697434,27016.723239048963
19,109500000,110000000,78975,27076,27007.480424677233,27013.38201737566,27012.478436878082,27011.901976554003
