method,cutoff,absolute_q,development_survivors,evaluation_survivors,development_purity,evaluation_purity,purity_transfer_error,evaluation_brier,evaluation_log_loss_bits,evaluation_remaining_composites
ARA scaled,0.25,,266668,191810,0.26412992935035323,0.24452843960168918,0.019601489748664047,0.03550757952873637,0.15420368840947055,144907
fixed Q,0.25,5,266668,266666,0.26412992935035323,0.1758866897167243,0.08824323963362893,0.04072987989191374,0.1873257494502823,219763
ARA scaled,0.5,,152327,103394,0.46239340366448495,0.45363367313383757,0.00875973053064738,0.02563415354829179,0.1027747562689342,56491
fixed Q,0.5,34,152847,152857,0.46082029742160463,0.3068423428433111,0.15397795457829355,0.03613529238242483,0.14684676962027454,105954
ARA scaled,0.75,,104958,70565,0.6710779549915205,0.6646779564940126,0.0063999984975078306,0.015730500147604225,0.0649483886079438,23662
fixed Q,0.75,202,104637,103887,0.6731366533826467,0.4514809360170185,0.22165571736562822,0.03083128855819878,0.11871185408735037,56984
ARA scaled,0.9,,84117,56152,0.837345601959176,0.8352863655791424,0.00205923638003358,0.007725801705240823,0.036245561854206285,9249
fixed Q,0.9,585,84719,87826,0.8313955547161793,0.5340445881629585,0.2973509665532208,0.029620070582752633,0.11759658210919877,40923
