label,seed,events,h_next_given_previous_current_bits,h_next_given_previous_current_scale_bits,conditional_scale_information_bits
Observed R11,,39475587,4.106579455848539,3.6659802901728904,0.44059916567564894
Shuffle 2026071941,2026071941,39475587,4.13762770434092,3.800439303726695,0.33718840061422517
Shuffle 2026071942,2026071942,39475587,4.137540055806737,3.800446872689018,0.33709318311771863
Shuffle 2026071943,2026071943,39475587,4.137572927984457,3.800356601469776,0.3372163265146808
Shuffle 2026071944,2026071944,39475587,4.137383183929151,3.8002675814063394,0.3371156025228115
Shuffle 2026071945,2026071945,39475587,4.137684444755024,3.800562986883435,0.33712145787158887
