anchor,rung,gates,lower,candidate,candidate_delta,true_next_prime,true_delta,location_error,candidate_is_prime,exact_next_prime,survivor_candidates_through_prime
4000054392,odd,2,4000054391,4000054393,1,4000054397,5,4,False,False,3
4000054484,odd,2,4000054483,4000054485,1,4000054493,9,8,False,False,5
4000054728,odd,2,4000054727,4000054729,1,4000054733,5,4,False,False,3
4000055040,odd,2,4000055039,4000055041,1,4000055107,67,66,False,False,34
4000057529,odd,2,4000057529,4000057531,2,4000057541,12,10,False,False,6
4000057542,odd,2,4000057541,4000057543,1,4000057547,5,4,False,False,3
4000058057,odd,2,4000058057,4000058059,2,4000058071,14,12,False,False,7
4000058674,odd,2,4000058673,4000058675,1,4000058677,3,2,False,False,2
4000059067,odd,2,4000059067,4000059069,2,4000059071,4,2,False,False,2
4000061101,odd,2,4000061101,4000061103,2,4000061113,12,10,False,False,6
4000061488,odd,2,4000061487,4000061489,1,4000061509,21,20,False,False,11
4000062566,odd,2,4000062565,4000062567,1,4000062593,27,26,False,False,14
4000062604,odd,2,4000062603,4000062605,1,4000062607,3,2,False,False,2
4000063220,odd,2,4000063219,4000063221,1,4000063231,11,10,False,False,6
4000063683,odd,2,4000063683,4000063685,2,4000063729,46,44,False,False,23
4000063914,odd,2,4000063913,4000063915,1,4000063933,19,18,False,False,10
4000064301,odd,2,4000064301,4000064303,2,4000064347,46,44,False,False,23
4000064711,odd,2,4000064711,4000064713,2,4000064777,66,64,False,False,33
4000064770,odd,2,4000064769,4000064771,1,4000064777,7,6,False,False,4
4000064847,odd,2,4000064847,4000064849,2,4000064867,20,18,False,False,10
4000064920,odd,2,4000064919,4000064921,1,4000064921,1,0,True,True,1
4000065069,odd,2,4000065069,4000065071,2,4000065071,2,0,True,True,1
4000065865,odd,2,4000065865,4000065867,2,4000065917,52,50,False,False,26
4000066763,odd,2,4000066763,4000066765,2,4000066813,50,48,False,False,25
4000066856,odd,2,4000066855,4000066857,1,4000066879,23,22,False,False,12
4000066925,odd,2,4000066925,4000066927,2,4000066951,26,24,False,False,13
4000067751,odd,2,4000067751,4000067753,2,4000067779,28,26,False,False,14
4000068511,odd,2,4000068511,4000068513,2,4000068517,6,4,False,False,3
4000068598,odd,2,4000068597,4000068599,1,4000068617,19,18,False,False,10
4000068773,odd,2,4000068773,4000068775,2,4000068817,44,42,False,False,22
4000070327,odd,2,4000070327,4000070329,2,4000070341,14,12,False,False,7
4000070597,odd,2,4000070597,4000070599,2,4000070609,12,10,False,False,6
4000070794,odd,2,4000070793,4000070795,1,4000070797,3,2,False,False,2
4000070828,odd,2,4000070827,4000070829,1,4000070857,29,28,False,False,15
4000071499,odd,2,4000071499,4000071501,2,4000071511,12,10,False,False,6
4000071700,odd,2,4000071699,4000071701,1,4000071709,9,8,False,False,5
