example,center_prime,offset,n,is_prime,is_c090_survivor,least_prime_factor,parent_factor_progress,child_centroid,child_dispersion,child_coupling,child_flip_count
first_prime,4000000007,-7,4000000000,0,0,2,0.06270112786961432,0.590715050555021,0.5854368236989493,-0.011584864774153866,4
first_prime,4000000007,-6,4000000001,0,0,47,0.34827898584823563,0.5908107724249221,0.5853836466508641,-0.011661102590703784,4
first_prime,4000000007,-5,4000000002,0,0,2,0.06270112786819636,0.5909064942948229,0.5853304696027789,-0.011737322082091842,4
first_prime,4000000007,-4,4000000003,0,1,23687,0.9111607433929736,0.5910022161647239,0.5852772925546936,-0.011813523248318178,4
first_prime,4000000007,-3,4000000004,0,0,2,0.0627011278667784,0.591097938034625,0.5852241155066085,-0.011889706089382696,4
first_prime,4000000007,-2,4000000005,0,0,3,0.09937893642064236,0.5911936599045259,0.5851709384585231,-0.011965870605285409,4
first_prime,4000000007,-1,4000000006,0,0,2,0.06270112786536043,0.5912893817744269,0.5851177614104378,-0.012042016796026372,4
first_prime,4000000007,0,4000000007,1,1,0,1.0,0.591385103644328,0.5850645843623528,-0.012118144661605448,4
first_prime,4000000007,1,4000000008,0,0,2,0.06270112786394247,0.5914808255142289,0.5850114073142674,-0.012194254202022747,4
first_prime,4000000007,2,4000000009,1,1,0,1.0,0.5915765473841298,0.5849582302661821,-0.012270345417278283,4
first_prime,4000000007,3,4000000010,0,0,2,0.06270112786252449,0.5916722692540308,0.584905053218097,-0.012346418307371959,4
first_prime,4000000007,4,4000000011,0,0,3,0.09937893641390011,0.5917679911239317,0.5848518761700117,-0.0124224728723039,4
first_prime,4000000007,5,4000000012,0,0,2,0.06270112786110654,0.5918637129938328,0.5847986991219264,-0.012498509112073966,4
first_prime,4000000007,6,4000000013,0,0,569,0.5738585821122435,0.5919594348637338,0.5847455220738412,-0.012574527026682325,4
first_prime,4000000007,7,4000000014,0,0,2,0.06270112785968857,0.5920551567336347,0.5846923450257561,-0.012650526616128824,4
first_prime,4000000007,8,4000000015,0,0,5,0.1455875103568894,0.5921508786035358,0.5846391679776707,-0.012726507880413587,4
first_prime,4000000007,9,4000000016,0,0,2,0.06270112785827062,0.5922466004734367,0.5845859909295855,-0.01280247081953649,4
first_prime,4000000007,10,4000000017,0,0,3,0.09937893640715784,0.5923423223433377,0.5845328138815004,-0.01287841543349759,4
first_prime,4000000007,11,4000000018,0,0,2,0.06270112785685264,0.5924380442132388,0.584479636833415,-0.012954341722296897,4
first_prime,4000000007,12,4000000019,1,1,0,1.0,0.5925337660831397,0.5844264597853299,-0.013030249685934456,4
first_prime,4000000007,13,4000000020,0,0,2,0.06270112785543468,0.5926294879530407,0.5843732827372445,-0.013106139324410196,4
first_prime,4000000007,14,4000000021,0,0,229,0.4915269189967165,0.5927252098229416,0.5843201056891594,-0.013182010637724118,4
first_prime,4000000007,15,4000000022,0,0,2,0.06270112785401671,0.5928209316928427,0.5842669286410741,-0.01325786362587622,4
first_prime,4000000007,16,4000000023,0,0,3,0.09937893640041558,0.5929166535627437,0.5842137515929888,-0.013333698288866533,4
child_centroid_trough,4000605341,-16,4000605325,0,0,5,0.14558651397450498,0.7204802289678974,0.6532419701966549,-0.09187405917102578,5
child_centroid_trough,4000605341,-15,4000605326,0,0,2,0.06270069873973487,0.720575909113066,0.6532100605500032,-0.09193727805523533,5
child_centroid_trough,4000605341,-14,4000605327,0,0,3,0.09937825627037052,0.7206715892582345,0.6531781509033513,-0.09200047862940056,5
child_centroid_trough,4000605341,-13,4000605328,0,0,2,0.06270069873831714,0.7207672694034031,0.6531462412566997,-0.09206366089352151,5
child_centroid_trough,4000605341,-12,4000605329,0,0,7,0.1760231152174756,0.7208629495485717,0.6531143316100481,-0.09212682484759814,5
child_centroid_trough,4000605341,-11,4000605330,0,0,2,0.06270069873689942,0.7209586296937401,0.6530824219633965,-0.0921899704916305,5
child_centroid_trough,4000605341,-10,4000605331,0,0,113,0.4276299864492994,0.7210543098389086,0.6530505123167447,-0.09225309782561847,5
child_centroid_trough,4000605341,-9,4000605332,0,0,2,0.06270069873548169,0.7211499899840772,0.653018602670093,-0.09231620684956218,5
child_centroid_trough,4000605341,-8,4000605333,0,0,3,0.09937825626362938,0.7212456701292457,0.6529866930234413,-0.09237929756346158,5
child_centroid_trough,4000605341,-7,4000605334,0,0,2,0.06270069873406395,0.7213413502744143,0.6529547833767897,-0.09244236996731664,5
child_centroid_trough,4000605341,-6,4000605335,0,0,5,0.14558651395804562,0.7214370304195828,0.6529228737301379,-0.09250542406112744,5
child_centroid_trough,4000605341,-5,4000605336,0,0,2,0.06270069873264622,0.7215327105647513,0.6528909640834863,-0.09256845984489394,5
child_centroid_trough,4000605341,-4,4000605337,0,0,3919,0.748412460324621,0.7216283907099199,0.6528590544368346,-0.09263147731861607,5
child_centroid_trough,4000605341,-3,4000605338,0,0,2,0.0627006987312285,0.7217240708550885,0.6528271447901829,-0.09269447648229391,5
child_centroid_trough,4000605341,-2,4000605339,0,0,3,0.09937825625688823,0.721819751000257,0.6527952351435312,-0.09275745733592747,5
child_centroid_trough,4000605341,-1,4000605340,0,0,2,0.06270069872981077,0.4996932089232033,0.6527633254968797,0.01238049750784051,4
child_centroid_trough,4000605341,0,4000605341,1,1,0,1.0,0.4997888890683717,0.6527101901735268,0.012293662978533765,4
child_centroid_trough,4000605341,1,4000605342,0,0,2,0.06270069872839304,0.4998845692135403,0.652657054850174,0.012206846759271271,4
