fold,model,cross_entropy_bits,perplexity,top1_accuracy,brier_score,test_events,active_context_rows,active_conditional_df
1,current_B,2.556458819252081,5.882619893411987,0.31694505822109986,0.7895933736275075,4561920,12,132
1,B_plus_direction,2.453341175980669,5.476830288369658,0.3542775848765432,0.7693966898949539,4561920,26,286
1,B_plus_distance,2.353978504088211,5.112321279523428,0.3604477939113356,0.7547472421192164,4561920,38,418
1,B_plus_signed_step,2.2746771929049774,4.838893519629398,0.3771894290123457,0.7401435273509138,4561920,52,572
1,full_A_B,2.0821455054734215,4.234364622044154,0.4171125315656566,0.7030179466777711,4561920,112,1232
1,B_plus_shared_gap,1.7377659874874822,3.3351831476620832,0.45406188622334454,0.6545415024920981,4561920,95,1045
1,raw_gap_markov1,1.9083210344990391,3.75371998645197,0.3780706369248036,0.6990802847411688,4561920,20,380
2,current_B,2.5564783460390186,5.8826995148423045,0.31699174908810324,0.7895830089439199,4561920,12,132
2,B_plus_direction,2.453401497405502,5.477059288334274,0.3542887643799102,0.7693897452944233,4561920,26,286
2,B_plus_distance,2.3540324050892125,5.112512286197945,0.36043749123176205,0.7547374601202681,4561920,38,418
2,B_plus_signed_step,2.274868587132795,4.8395355109704585,0.377156109708193,0.7401620294145707,4561920,52,572
2,full_A_B,2.0823852008030905,4.235068195366677,0.41703361742424244,0.7030745512045319,4561920,112,1232
2,B_plus_shared_gap,1.7377807413585291,3.3352172554342,0.4540875333193041,0.654519582108905,4561920,95,1045
2,raw_gap_markov1,1.9083710418230468,3.7538501017844674,0.3781065867003367,0.6990773664219504,4561920,20,380
3,current_B,2.5566818352375655,5.883529316152668,0.3169505383698092,0.7896224228207839,4561920,12,132
3,B_plus_direction,2.4535679977909015,5.477691428239988,0.35429709420594835,0.7694132775026346,4561920,26,286
3,B_plus_distance,2.3541630695492106,5.11297534588169,0.3604317918771044,0.7547613020883431,4561920,38,418
3,B_plus_signed_step,2.2747416485011107,4.839109712743653,0.3772163913439955,0.7401388887432445,4561920,52,572
3,full_A_B,2.08227069211003,4.23473206550889,0.41710661300505053,0.7030352738296977,4561920,112,1232
3,B_plus_shared_gap,1.7378165790302216,3.3353001058649654,0.454058598134119,0.6545399268246177,4561920,95,1045
3,raw_gap_markov1,1.9083835812466874,3.7538827291380934,0.3780872965768799,0.699094923908621,4561920,20,380
4,current_B,2.556439929679534,5.882542871280051,0.3169816656144781,0.7895813844863503,4561920,12,132
4,B_plus_direction,2.4532841579951365,5.476613838149425,0.354322741301908,0.769366970162169,4561920,26,286
4,B_plus_distance,2.3539516252508985,5.112226032802533,0.36050566428170594,0.7547302389432713,4561920,38,418
4,B_plus_signed_step,2.2745891945621737,4.838598376433868,0.3772483954124579,0.7401142504826788,4561920,52,572
4,full_A_B,2.0820031493843505,4.233946822140819,0.4170890765291807,0.703011499560896,4561920,112,1232
4,B_plus_shared_gap,1.737741647442309,3.33512687948247,0.4540846836419753,0.6545289908503348,4561920,95,1045
4,raw_gap_markov1,1.9083411767652625,3.753772394586025,0.3780855429292929,0.6990849500061077,4561920,20,380
5,current_B,2.5563934729420663,5.882353448469226,0.3169744318181818,0.7895850957775978,4561920,12,132
5,B_plus_direction,2.4533516441856866,5.476870028431613,0.354271008698092,0.7694037741197078,4561920,26,286
5,B_plus_distance,2.3539942698488407,5.112377147237442,0.36043442234848483,0.7547530866184833,4561920,38,418
5,B_plus_signed_step,2.2748282829801605,4.839400312160012,0.3771732077721661,0.7401798998224618,4561920,52,572
5,full_A_B,2.082345247751342,4.234950913785274,0.4170743897306397,0.7030721125442774,4561920,112,1232
5,B_plus_shared_gap,1.7377598224644015,3.3351688955598937,0.4540638590768799,0.6545233190682721,4561920,95,1045
5,raw_gap_markov1,1.9083864721582244,3.7538902512778773,0.3780921191077441,0.6990910200057565,4561920,20,380
6,current_B,2.5566505698318585,5.883401812465048,0.3169652251683502,0.7896073998721698,4561920,12,132
