task,block,low,high,events,positives,actual_rate,mean__ara_parent_only,loss__ara_parent_only,mean__ara_parent_ara_i3_child,loss__ara_parent_ara_i3_child,mean__ara_parent_raw_stencil_child,loss__ara_parent_raw_stencil_child,mean__pnt29_reference,loss__pnt29_reference,mean__ara_parent_ara_endpoints_child,loss__ara_parent_ara_endpoints_child,mean__ara_parent_raw_edge_child,loss__ara_parent_raw_edge_child,mean__hl29_reference,loss__hl29_reference
candidate,0,1000000000,1000250000,39486,12008,0.3041077850377349,0.29821082949638367,0.8863738230790754,0.29821433692842986,0.8864462420921527,0.29822214381154266,0.8866455240906866,0.305511236290596,0.8862611064655366,,,,,,
candidate,1,1000250000,1000500000,39490,12015,0.30425424158014686,0.29821082949638367,0.8865546537094589,0.29820044473489044,0.8865976078568485,0.298142007266488,0.8866771857132976,0.30550755152856096,0.886434572444959,,,,,,
candidate,2,1000500000,1000750000,39482,12021,0.30446785877108556,0.29821082949638367,0.8868184079307588,0.29821008746143074,0.8868411229216342,0.29820655189844425,0.8866746008449066,0.30550386813762725,0.8866876572757845,,,,,,
candidate,3,1000750000,1001000000,39492,12111,0.30666970525676085,0.29821082949638367,0.8895370388738006,0.29820606548587786,0.8897005066458,0.29819587690143146,0.8897190736195572,0.3055001854764892,0.8892963772114038,,,,,,
candidate,4,1001000000,1001250000,39492,12146,0.30755596070090147,0.29821082949638367,0.8906313029333321,0.2981887529793269,0.8906851651994078,0.29819137898185,0.8907829577151953,0.30549650360740405,0.8903464603090633,,,,,,
candidate,5,1001250000,1001500000,39482,12001,0.3039612988197153,0.29821082949638367,0.8861929558080699,0.2982042024349781,0.8863040425181309,0.29818673512527244,0.8865446893315131,0.30549282300329245,0.8860873880292617,,,,,,
candidate,6,1001500000,1001750000,39485,12117,0.30687602887172344,0.29821082949638367,0.8897917876801169,0.29821988063264954,0.889854264030065,0.29823094204707856,0.8899436330440703,0.3054891437100115,0.889540919650826,,,,,,
candidate,7,1001750000,1002000000,39488,11998,0.30383914100486226,0.29821082949638367,0.8860421269389573,0.29820718013076186,0.8860910331150764,0.2982586128754176,0.8863550027608749,0.30548546523791753,0.8859425656555148,,,,,,
candidate,8,1002000000,1002250000,39487,12030,0.3046572289614303,0.29821082949638367,0.8870522242583323,0.29823854363954544,0.88703270323658,0.29821157989798536,0.8871314015143633,0.3054817874001707,0.886911897661166,,,,,,
candidate,9,1002250000,1002500000,39486,12023,0.3044876665147141,0.29821082949638367,0.886842864651557,0.29821115656339947,0.886962817878052,0.2981536042039375,0.8870299090982784,0.3054781108108598,0.8867109542923081,,,,,,
candidate,10,1002500000,1002750000,39483,12050,0.305194640731454,0.29821082949638367,0.887715769276864,0.29826084590533664,0.8878388315868225,0.2982901681259954,0.8879689121416938,0.3054744355793908,0.8875486815479536,,,,,,
candidate,11,1002750000,1003000000,39492,12095,0.30626455991086804,0.29821082949638367,0.8890368038751578,0.2981936807592239,0.889117025696571,0.2982189749992662,0.8891591023004244,0.30547076089393593,0.8888165275593343,,,,,,
