rung,raw_integer_events,raw_primes,q29_candidates,q997_candidates,q29_top_power,q29_global_99,q29_fwer_p,q997_fwer_p,q29_full_frequency,period62_harmonic,within_one_bin,joint_energy_p
R6,10000,753,1578,753,0.02646464276034823,0.059089727903247014,0.9161676646706587,1.0,0.187,12,false,0.6626746506986028
R7,100000,6241,15801,7971,0.02950208701295501,0.06262564470739924,0.812375249500998,0.35129740518962077,0.14516,9,true,0.005988023952095809
R8,1000000,54208,157949,81602,0.027422521818402632,0.06612182398770776,0.8702594810379242,0.93812375249501,0.048387,3,true,0.05189620758483034
R9,10000000,482449,1579467,813663,0.03438151530550934,0.06610954437647897,0.5708582834331337,0.2754491017964072,0.0483871,3,true,0.001996007984031936
