transition,parent_period,child_period,parent_slots,lifted_slots,survivor_slots,shed_slots,release_fraction_measured,release_fraction_exact,release_count_exact,survivor_shed_disjoint,reconstructs_lifted_parent,survivors_match_child,phase_rule_exact,geometry_context_exactly_one_release,geometry_conditional_max_error,geometry_mutual_information_bits,all_exact_checks_pass
13->17,30030,510510,5760,97920,92160,5760,0.058823529411764705,0.058823529411764705,True,True,True,True,True,True,0.0,0.0,True
17->19,510510,9699690,92160,1751040,1658880,92160,0.05263157894736842,0.05263157894736842,True,True,True,True,True,True,0.0,0.0,True
