number,theta_1_fraction,theta_13_fraction,orientation_1_13,phase_a_1_13,phase_b_1_13,tie_1_13,x_dynamic_1_13_fraction,x_dynamic_1_13_decimal,x_static_1_13_fraction,x_static_1_13_decimal,theta_3_fraction,theta_11_fraction,orientation_3_11,phase_a_3_11,phase_b_3_11,tie_3_11,x_dynamic_3_11_fraction,x_dynamic_3_11_decimal,x_static_3_11_fraction,x_static_3_11_decimal,theta_5_fraction,theta_9_fraction,orientation_5_9,phase_a_5_9,phase_b_5_9,tie_5_9,x_dynamic_5_9_fraction,x_dynamic_5_9_decimal,x_static_5_9_fraction,x_static_5_9_decimal,dynamic_rung_0_fraction,dynamic_rung_0_decimal,dynamic_epsilon_0_fraction,dynamic_epsilon_0_decimal,dynamic_rung_1_fraction,dynamic_rung_1_decimal,dynamic_rung_2_fraction,dynamic_rung_2_decimal,dynamic_ridge_distance_2_fraction,dynamic_ridge_distance_2_decimal,static_rung_0_fraction,static_rung_0_decimal,static_epsilon_0_fraction,static_epsilon_0_decimal,static_ridge_distance_2_fraction,static_ridge_distance_2_decimal,unresolved_by_declared_children
1851,0,5/13,1->13,1,13,0,52/1877,0.0277037826318593,52/1877,0.0277037826318593,0,3/11,3->11,3,11,0,44/1873,0.0234917245061399,44/1873,0.0234917245061399,1/5,2/3,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,32900477/73828041,0.445636597617428,-40927564/73828041,-0.554363402382572,53364259/73828041,0.722818298808714,63596150/73828041,0.861409149404357,10231891/73828041,0.138590850595643,32900477/73828041,0.445636597617428,-40927564/73828041,-0.554363402382572,10231891/73828041,0.138590850595643,0
1853,0,7/13,1->13,1,13,0,52/1879,0.0276742948376796,52/1879,0.0276742948376796,2/3,5/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,3/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,22912/39459,0.580653336374465,-16547/39459,-0.419346663625535,62371/78918,0.790326668187232,141289/157836,0.895163334093616,16547/157836,0.104836665906384,12648/13153,0.961605717326846,-505/13153,-0.0383942826731544,505/52612,0.0095985706682886,1
1855,0,9/13,1->13,1,13,0,52/1881,0.0276448697501329,52/1881,0.0276448697501329,1/3,7/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,0,1/9,5->9,5,9,0,36/1873,0.0192205018686599,36/1873,0.0192205018686599,39910027/73985373,0.539431314349121,-34075346/73985373,-0.460568685650879,56947700/73985373,0.769715657174561,130933073/147970746,0.88485782858728,17037673/147970746,0.11514217141272,39910027/73985373,0.539431314349121,-34075346/73985373,-0.460568685650879,17037673/147970746,0.11514217141272,0
1857,0,11/13,1->13,1,13,0,52/1883,0.0276155071694105,52/1883,0.0276155071694105,0,9/11,3->11,3,11,0,44/1879,0.0234167110164981,44/1879,0.0234167110164981,2/5,1/3,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,902605/3538157,0.255105977490541,-2635552/3538157,-0.744894022509459,2220381/3538157,0.62755298874527,2879269/3538157,0.813776494372635,658888/3538157,0.186223505627365,4729619/10614471,0.445582167966731,-5884852/10614471,-0.554417832033269,1471213/10614471,0.138604458008317,0
1859,0,0,tie,1,13,1,1,1,1,1,2/3,0,11->3,11,3,0,12/1865,0.0064343163538874,3718/1865,1.99356568364611,4/5,5/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,7488/13055,0.573573343546534,-5567/13055,-0.426426656453466,20543/26110,0.786786671773267,46653/52220,0.893393335886633,5567/52220,0.106606664113367,18622/13055,1.42642665645347,5567/13055,0.426426656453466,5567/52220,0.106606664113367,0
1861,0,2/13,1->13,1,13,0,52/1887,0.0275569687334393,52/1887,0.0275569687334393,1/3,2/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,1/5,7/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,23008/39627,0.580614227673051,-16619/39627,-0.419385772326949,62635/79254,0.790307113836526,141889/158508,0.895153556918263,16619/158508,0.104846443081737,38104/39627,0.961566608625432,-1523/39627,-0.0384333913745678,1523/158508,0.00960834784364196,1
1863,0,4/13,1->13,1,13,0,52/1889,0.0275277924827951,52/1889,0.0275277924827951,0,4/11,3->11,3,11,0,44/1885,0.023342175066313,44/1885,0.023342175066313,3/5,0,9->5,9,5,0,20/1873,0.0106780565936999,3726/1873,1.9893219434063,136827676/6669312845,0.0205160080476027,-6532485169/6669312845,-0.979483991952397,6806140521/13338625690,0.510258004023801,20144766211/26677251380,0.755129002011901,6532485169/26677251380,0.244870997988099,13606678118/20007938535,0.680063970318469,-6401260417/20007938535,-0.319936029681531,6401260417/80031754140,0.0799840074203827,0
1865,0,6/13,1->13,1,13,0,52/1891,0.0274986779481756,52/1891,0.0274986779481756,2/3,6/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,0,2/9,5->9,5,9,0,36/1883,0.0191184280403611,36/1883,0.0191184280403611,1692029/10682259,0.158396178186655,-8990230/10682259,-0.841603821813345,6187144/10682259,0.579198089093328,16869403/21364518,0.789599044546664,4495115/21364518,0.210400955453336,1920487/3560753,0.539348559139036,-1640266/3560753,-0.460651440860964,820133/7121506,0.115162860215241,0
1867,0,8/13,1->13,1,13,0,52/1893,0.0274696249339672,52/1893,0.0274696249339672,1/3,8/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,2/5,4/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,38224/39753,0.961537494025608,-1529/39753,-0.0384625059743919,77977/79506,0.980768747012804,157483/159012,0.990384373506402,1529/159012,0.00961562649359797,38224/39753,0.961537494025608,-1529/39753,-0.0384625059743919,1529/159012,0.00961562649359797,1
1869,0,10/13,1->13,1,13,0,52/1895,0.0274406332453826,52/1895,0.0274406332453826,0,10/11,3->11,3,11,0,44/1891,0.0232681121099947,44/1891,0.0232681121099947,4/5,2/3,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,6396403/25084115,0.254998153213697,-18687712/25084115,-0.745001846786303,15740259/25084115,0.627499076606849,20412187/25084115,0.813749538303424,4671928/25084115,0.186250461696576,33522989/75252345,0.445474343689888,-41729356/75252345,-0.554525656310112,10432339/75252345,0.138631414077528,0
