rung_prime,period,slot_count,gap_alphabet_size,occupied_plane_cells,plane_cell_count,ordered_entropy_bits,ordered_adjacent_mi_bits,ordered_vs_gap_iid_jsd_bits,ordered_vs_gap_markov1_jsd_bits,markov_residual_l2,mean_first_ara,mean_second_ara,mean_signed_child_step,mean_absolute_child_step,rising_share,equal_share,falling_share
5,30,8,3,7,144,2.75,1.561278124459133,0.5311425113450152,0.21197116988208195,0.22438186696393767,1.0625,1.0625,5.551115123125783e-17,0.5833333333333333,0.375,0.125,0.5
7,210,48,5,21,144,4.087581188618506,1.4733176710541145,0.35204746244623364,0.11999962973515073,0.13036439060811175,1.0590277777777777,1.0590277777777777,0.0,0.5833333333333333,0.35416666666666663,0.125,0.5208333333333333
11,2310,480,7,50,144,4.789535467237393,1.118358287278084,0.25871567459546363,0.08190812447462399,0.09511076223670457,1.0555555555555554,1.0555555555555556,0.0,0.5875,0.36041666666666666,0.11666666666666667,0.5229166666666667
13,30030,5760,10,70,144,5.1958142760395045,0.8949769154507997,0.1938947967822653,0.056020482498602725,0.07519903761372135,1.0527199074074074,1.0527199074074074,0.0,0.5923032407407407,0.3715277777777778,0.11059027777777777,0.5178819444444445
17,510510,92160,13,90,144,5.429740587854671,0.7667192500513739,0.15762782374673015,0.04361407618205901,0.06392883001991519,1.0505823206018519,1.050582320601852,-5.551115123125783e-17,0.5970666956018518,0.38147786458333327,0.1064236111111111,0.5120985243055556
19,9699690,1658880,16,103,144,5.603060778505181,0.6752264796178219,0.1318233865320822,0.035203049091838585,0.05573341728564222,1.0487163025655863,1.0487163025655863,0.0,0.602077506108539,0.39044777199074077,0.1029224537037037,0.5066297743055556
23,223092870,36495360,20,112,144,5.726235582921397,0.6132446671441402,0.11428746800204158,0.02961889730122624,0.05004186532773666,1.0472269853848086,1.0472269853848086,0.0,0.6066890238466844,0.3975341796875,0.1002056699810606,0.5022601503314393
