rung,budget,surviving_mask_events,conditional_prime_rate,variance_explained,top_low_mode,top_low_power_fraction,block_phase_entropy
r6,1,10000,0.0753,0.0,44,0.02715320604956155,0.914446480098592
r6,2,5000,0.1506,0.0814318157240187,44,0.027267737567014876,0.9154326871236597
r6,3,3334,0.22585482903419316,0.16281478212846656,44,0.02682988051722584,0.9169245038693149
r6,5,2668,0.28223388305847075,0.22378488489074355,44,0.02826141009585824,0.9228725102832882
r6,7,2287,0.32925229558373414,0.2746320921204001,44,0.02731923609664239,0.9228402122690252
r6,11,2078,0.36236766121270453,0.31044410210090234,44,0.02415294254858629,0.9265134988466188
r6,29,1578,0.47718631178707227,0.43461264387052245,31,0.02646464276034823,0.9235376863385365
r6,97,1212,0.6212871287128713,0.5904478519659038,22,0.03237527250944605,0.9263399951534425
r6,313,975,0.7723076923076924,0.7537662942659158,22,0.0408950700272855,0.9161278798132236
r6,997,753,1.0,1.0,1,0.0,0.0
r7,1,100000,0.06241,0.0,27,0.031211695111848802,0.9054332345369925
r7,2,50000,0.12482,0.06656427649612306,27,0.031227079687066606,0.9052550333584379
r7,3,33334,0.1872262554748905,0.1331245592155318,27,0.02925642358768993,0.9055207474681971
r7,5,26668,0.2340257987100645,0.18303928018650428,27,0.029338407763381463,0.9054029742408185
r7,7,22859,0.27302156699768143,0.2246307735765971,27,0.029268471550516123,0.9056837894610972
r7,11,20780,0.3003368623676612,0.25376429182015736,27,0.029140599792504093,0.9047759425173598
r7,29,15801,0.39497500158217835,0.35470195030042817,27,0.02950208701295501,0.9079187205280059
r7,97,12015,0.5194340407823554,0.48744551539836756,63,0.03305075184696567,0.8960647735984247
r7,313,9749,0.6401682223817827,0.6162162804443123,63,0.03261948831184307,0.9126805806457208
r7,997,7971,0.7829632417513487,0.7685163469654632,63,0.03852436254731119,0.9200495080974694
r8,1,1000000,0.054208,0.0,29,0.02472675288659339,0.9156240821269263
r8,2,500000,0.108416,0.05731492759507362,29,0.02472362040089011,0.9156299092706336
r8,3,333334,0.1626236747526505,0.11462951130126997,29,0.024722213964640635,0.9157640520746843
r8,5,266668,0.20327898360508198,0.15761497623693377,29,0.024723538210579776,0.9158103007909949
r8,7,228573,0.23715836953620945,0.19343615671966918,29,0.024736959768268306,0.9157500384003602
r8,11,207792,0.26087626087626087,0.21851343728458383,29,0.02500074490155621,0.915602171747712
r8,29,157949,0.34319938714395154,0.3055549075737072,43,0.027422521818402632,0.9141896719141107
r8,97,120328,0.45050196130576425,0.4190075210043691,36,0.024286333494725105,0.9144367825884415
r8,313,96575,0.561304685477608,0.5361608952894592,26,0.026251392798929418,0.9237825101105316
r8,997,81602,0.6642974436901057,0.6450566759817229,47,0.025525868726865613,0.9246497450164336
r9,1,10000000,0.0482449,0.0,53,0.03439515834025777,0.9173981449641754
r9,2,5000000,0.0964898,0.05069045597969435,53,0.034385206075354294,0.9173384659873918
r9,3,3333334,0.14473467105306578,0.10138088154512204,53,0.03439270185862328,0.9173120467860849
r9,5,2666668,0.18091828454085773,0.1393986588996028,53,0.03439219348698384,0.917182551796475
r9,7,2285715,0.2110713715401964,0.17108021962813358,53,0.034399324650740845,0.9171761809788802
r9,11,2077923,0.2321784782208003,0.1932572551707893,53,0.034476518345561334,0.9174480128455136
r9,29,1579467,0.30545050957063363,0.27024347920030445,53,0.03438151530550934,0.9165493149404517
r9,97,1203198,0.4009722423075836,0.3706072521256608,53,0.03709174550996092,0.919787712673675
r9,313,964337,0.5002908734187322,0.4749603899351127,53,0.03574669384334196,0.9189163863095059
r9,997,813663,0.5929346670550338,0.5723003397145272,53,0.04041630671875305,0.9173815470927271
