rank,first_context_bin,second_context_bin,first_context_center,second_context_center,context_probability,contribution_bits_per_reading,dominant_next_bin_markov2,dominant_next_center_markov2,dominant_next_bin_markov1,dominant_next_center_markov1,top_prediction_changes
19,8,3,1.4166666666666667,0.5833333333333334,0.005563940183080807,0.008611541485846431,7,1.25,9,1.5833333333333333,True
20,2,8,0.4166666666666667,1.4166666666666667,0.018640671033249158,0.00853433140384802,7,1.25,7,1.25,False
21,10,6,1.75,1.0833333333333333,0.005031351930765994,0.008213876815396275,1,0.25,4,0.75,True
22,4,7,0.75,1.25,0.03911231455176767,0.008113976425516561,6,1.0833333333333333,6,1.0833333333333333,False
23,6,7,1.0833333333333333,1.25,0.006352588383838383,0.008093300370919071,4,0.75,6,1.0833333333333333,True
24,8,7,1.4166666666666667,1.25,0.03205928096064815,0.00808411793275194,6,1.0833333333333333,6,1.0833333333333333,False
25,1,8,0.25,1.4166666666666667,0.01165030294262065,0.007455879139909621,4,0.75,7,1.25,True
26,9,8,1.5833333333333333,1.4166666666666667,0.004095150726010101,0.007345941911745618,3,0.5833333333333334,7,1.25,True
27,6,3,1.0833333333333333,0.5833333333333334,0.014865314385171155,0.007254117878435193,9,1.5833333333333333,9,1.5833333333333333,False
28,7,6,1.25,1.0833333333333333,0.03941117446163019,0.007192753915745014,6,1.0833333333333333,4,0.75,True
29,9,6,1.5833333333333333,1.0833333333333333,0.015332195654461278,0.006520521187107048,4,0.75,4,0.75,False
30,6,8,1.0833333333333333,1.4166666666666667,0.004097616792929292,0.0064852625882007445,1,0.25,7,1.25,True
31,4,3,0.75,0.5833333333333334,0.013155014774480922,0.006467566840309474,8,1.4166666666666667,9,1.5833333333333333,True
32,7,3,1.25,0.5833333333333334,0.03295147657126824,0.0064448802680256295,10,1.75,9,1.5833333333333333,True
33,4,8,0.75,1.4166666666666667,0.05439401063587261,0.006166879820196571,7,1.25,7,1.25,False
34,8,6,1.4166666666666667,1.0833333333333333,0.007514708719135802,0.0058321071454271525,2,0.4166666666666667,4,0.75,True
35,8,2,1.4166666666666667,0.4166666666666667,0.004312082412668351,0.005786470270011796,4,0.75,10,1.75,True
36,5,8,0.9166666666666666,1.4166666666666667,0.0020041177837401792,0.005011316059361967,3,0.5833333333333334,7,1.25,True
37,10,2,1.75,0.4166666666666667,0.030262477202581368,0.004890350990426313,10,1.75,10,1.75,False
38,4,9,0.75,1.5833333333333333,0.0246230205702862,0.004870530250225755,4,0.75,4,0.75,False
39,10,7,1.75,1.25,0.0026436511381172836,0.004689381650469512,2,0.4166666666666667,6,1.0833333333333333,True
40,1,9,0.25,1.5833333333333333,0.00964388349642256,0.004669587792176004,4,0.75,4,0.75,False
41,2,9,0.4166666666666667,1.5833333333333333,0.01371412694654882,0.004497477812672392,4,0.75,4,0.75,False
42,9,5,1.5833333333333333,0.9166666666666666,0.0026283067217312004,0.004283129030379235,2,0.4166666666666667,4,0.75,True
43,10,5,1.75,0.9166666666666666,0.011103904715558362,0.004268841759783897,4,0.75,4,0.75,False
44,5,6,0.9166666666666666,1.0833333333333333,0.008901953563411896,0.004213916058289368,4,0.75,4,0.75,False
45,6,5,1.0833333333333333,0.9166666666666666,0.01658761552153479,0.004155012965246438,4,0.75,4,0.75,False
46,4,10,0.75,1.75,0.02791834359217172,0.0038924306276003095,2,0.4166666666666667,2,0.4166666666666667,False
47,9,9,1.5833333333333333,1.5833333333333333,0.0016371396254208756,0.0031022314619483862,2,0.4166666666666667,4,0.75,True
48,3,4,0.5833333333333334,0.75,0.011146156662107182,0.003083440532993697,8,1.4166666666666667,8,1.4166666666666667,False
49,6,6,1.0833333333333333,1.0833333333333333,0.023069069602272726,0.0028519865423638157,4,0.75,4,0.75,False
50,2,7,0.4166666666666667,1.25,0.006366973774200336,0.00272417371911105,3,0.5833333333333334,6,1.0833333333333333,True
51,11,2,1.9166666666666667,0.4166666666666667,0.0006210652532267115,0.002721188428553702,3,0.5833333333333334,10,1.75,True
52,5,2,0.9166666666666666,0.4166666666666667,0.005993008426276656,0.002597039443843356,8,1.4166666666666667,10,1.75,True
53,7,9,1.25,1.5833333333333333,0.001141898586560045,0.0021892063452913905,1,0.25,4,0.75,True
54,8,10,1.4166666666666667,1.75,0.0012118800855780024,0.0020539833356316107,2,0.4166666666666667,2,0.4166666666666667,False
55,4,6,0.75,1.0833333333333333,0.012427388029601572,0.0019209804351347825,6,1.0833333333333333,4,0.75,True
56,11,1,1.9166666666666667,0.25,0.0013878476606341188,0.001575442749775548,8,1.4166666666666667,8,1.4166666666666667,False
57,9,1,1.5833333333333333,0.25,0.009518525094696969,0.001570000575892645,10,1.75,8,1.4166666666666667,True
58,7,2,1.25,0.4166666666666667,0.011644165176066217,0.0013532441501290392,10,1.75,10,1.75,False
59,7,7,1.25,1.25,0.0007076516028338946,0.001338564401814602,2,0.4166666666666667,6,1.0833333333333333,True
60,7,5,1.25,0.9166666666666666,0.004092246247194164,0.0011676039433639045,4,0.75,4,0.75,False
61,5,3,0.9166666666666666,0.5833333333333334,0.0007436561798540966,0.0011660804626921516,4,0.75,9,1.5833333333333333,True
62,8,5,1.4166666666666667,0.9166666666666666,0.016529087533319303,0.0011542265903013234,4,0.75,4,0.75,False
63,6,1,1.0833333333333333,0.25,0.006183224387976993,0.0011069995425222901,8,1.4166666666666667,8,1.4166666666666667,False
64,3,3,0.5833333333333334,0.5833333333333334,0.0016723769816217734,0.0009796729922118097,8,1.4166666666666667,9,1.5833333333333333,True
65,1,10,0.25,1.75,0.008886115933641974,0.0009744982323075676,2,0.4166666666666667,2,0.4166666666666667,False
66,3,10,0.5833333333333334,1.75,0.022207946434834456,0.0009308873301696208,2,0.4166666666666667,2,0.4166666666666667,False
67,6,9,1.0833333333333333,1.5833333333333333,0.0005440691638608305,0.000838150846323229,2,0.4166666666666667,4,0.75,True
68,2,10,0.4166666666666667,1.75,0.019180273875911896,0.0008219424869761043,2,0.4166666666666667,2,0.4166666666666667,False
69,6,2,1.0833333333333333,0.4166666666666667,0.0064821390993265995,0.0007869228545983499,8,1.4166666666666667,10,1.75,True
70,5,5,0.9166666666666666,0.9166666666666666,0.004625711323302468,0.000646081300347389,4,0.75,4,0.75,False
71,1,4,0.25,0.75,0.0005109142641694724,0.0006255825994882229,8,1.4166666666666667,8,1.4166666666666667,False
72,3,7,0.5833333333333334,1.25,0.005810081062359708,0.0006205243486879472,6,1.0833333333333333,6,1.0833333333333333,False
73,10,8,1.75,1.4166666666666667,0.0001449773341049383,0.0005529072324047691,2,0.4166666666666667,7,1.25,True
74,2,3,0.4166666666666667,0.5833333333333334,0.0005783200932940517,0.0004925548777580265,8,1.4166666666666667,9,1.5833333333333333,True
75,4,5,0.75,0.9166666666666666,0.0017697866249298541,0.00046677203589900123,4,0.75,4,0.75,False
76,3,6,0.5833333333333334,1.0833333333333333,0.0029090547401094276,0.0004332093281824468,4,0.75,4,0.75,False
77,11,3,1.9166666666666667,0.5833333333333334,0.00010900015782828284,0.0004262101493449907,4,0.75,9,1.5833333333333333,True
78,0,8,0.08333333333333333,1.4166666666666667,0.0004920077511223345,0.0003123674142091897,4,0.75,7,1.25,True
79,8,1,1.4166666666666667,0.25,0.00902336625806678,0.0002789202412953416,8,1.4166666666666667,8,1.4166666666666667,False
80,4,2,0.75,0.4166666666666667,0.0005364517571548822,0.00021154793611389297,8,1.4166666666666667,10,1.75,True
81,10,1,1.75,0.25,0.003619638222502806,0.00020545594932706756,10,1.75,8,1.4166666666666667,True
82,5,9,0.9166666666666666,1.5833333333333333,0.00010776712436868686,0.00017952494823557168,3,0.5833333333333334,4,0.75,True
83,5,1,0.9166666666666666,0.25,0.000464058992704826,7.576428612433995e-05,8,1.4166666666666667,8,1.4166666666666667,False
84,11,4,1.9166666666666667,0.75,2.153698442760943e-05,7.384947545656751e-05,4,0.75,8,1.4166666666666667,True
85,2,6,0.4166666666666667,1.0833333333333333,0.0002526622562429854,7.321332149009234e-05,6,1.0833333333333333,4,0.75,True
86,0,9,0.08333333333333333,1.5833333333333333,7.184474957912457e-05,5.6298892781651865e-05,4,0.75,4,0.75,False
87,7,1,1.25,0.25,0.0005994460665684623,5.5901380863721785e-05,8,1.4166666666666667,8,1.4166666666666667,False
88,1,7,0.25,1.25,0.0001399629980359147,5.574475069197715e-05,3,0.5833333333333334,6,1.0833333333333333,True
89,3,5,0.5833333333333334,0.9166666666666666,0.00015078629173681258,5.1455922703775854e-05,4,0.75,4,0.75,False
90,11,5,1.9166666666666667,0.9166666666666666,6.904987373737374e-06,3.9861884752510665e-05,1,0.25,4,0.75,True
91,0,10,0.08333333333333333,1.75,0.00014311408354377103,3.572402117103979e-05,2,0.4166666666666667,2,0.4166666666666667,False
92,3,2,0.5833333333333334,0.4166666666666667,3.14012521043771e-05,1.5961565142355987e-05,8,1.4166666666666667,10,1.75,True
93,3,11,0.5833333333333334,1.9166666666666667,0.00039802320075757577,1.4131621157554252e-05,1,0.25,1,0.25,False
94,10,9,1.75,1.5833333333333333,1.6440446127946127e-06,1.3758110356193482e-05,0,0.08333333333333333,4,0.75,True
95,6,10,1.0833333333333333,1.75,3.918306327160494e-06,1.3683231873676673e-05,1,0.25,2,0.4166666666666667,True
96,7,10,1.25,1.75,2.520868406285073e-06,1.2433062380694863e-05,0,0.08333333333333333,2,0.4166666666666667,True
97,4,1,0.75,0.25,9.790285669191917e-05,1.1092458780919101e-05,9,1.5833333333333333,8,1.4166666666666667,True
98,2,11,0.4166666666666667,1.9166666666666667,0.0001939972643097643,7.746073296657387e-06,1,0.25,1,0.25,False
99,4,11,0.75,1.9166666666666667,0.0015935176416947252,6.942979107425136e-06,1,0.25,1,0.25,False
100,9,10,1.5833333333333333,1.75,2.3564639450056118e-06,6.242478204849616e-06,1,0.25,2,0.4166666666666667,True
101,1,11,0.25,1.9166666666666667,6.60083912037037e-05,5.60727750004683e-06,1,0.25,1,0.25,False
102,3,1,0.5833333333333334,0.25,4.000508557800225e-06,3.3503131095526004e-06,9,1.5833333333333333,8,1.4166666666666667,True
103,8,0,1.4166666666666667,0.08333333333333333,2.9099589646464644e-05,2.3847335490547224e-06,8,1.4166666666666667,8,1.4166666666666667,False
104,5,10,0.9166666666666666,1.75,4.384118967452301e-07,1.6708451867000668e-06,1,0.25,2,0.4166666666666667,True
105,1,6,0.25,1.0833333333333333,4.932133838383838e-07,8.123906809040086e-07,3,0.5833333333333334,4,0.75,True
106,10,0,1.75,0.08333333333333333,0.000438740705667789,7.012192840867976e-07,8,1.4166666666666667,8,1.4166666666666667,False
107,2,5,0.4166666666666667,0.9166666666666666,1.4248386644219977e-06,5.840173389986702e-07,4,0.75,4,0.75,False
108,1,3,0.25,0.5833333333333334,3.288089225589226e-07,5.399938960325115e-07,9,1.5833333333333333,9,1.5833333333333333,False
109,11,0,1.9166666666666667,0.08333333333333333,0.00010587647306397307,3.3236031573638453e-07,8,1.4166666666666667,8,1.4166666666666667,False
110,9,0,1.5833333333333333,0.08333333333333333,0.00013289360620089786,2.812171606270426e-07,8,1.4166666666666667,8,1.4166666666666667,False
111,7,0,1.25,0.08333333333333333,1.0412282547699215e-06,2.536041572623592e-07,8,1.4166666666666667,8,1.4166666666666667,False
112,0,11,0.08333333333333333,1.9166666666666667,6.85018588664422e-07,2.057647659104426e-07,1,0.25,1,0.25,False
