rank,first_context_bin,second_context_bin,first_context_center,second_context_center,context_probability,contribution_bits_per_reading,dominant_next_bin_markov2,dominant_next_center_markov2,dominant_next_bin_markov1,dominant_next_center_markov1,top_prediction_changes
1,4,4,0.75,0.75,0.05352052973309484,0.028940290360496973,8,1.4166666666666667,8,1.4166666666666667,False
2,8,8,1.4166666666666667,1.4166666666666667,0.01497319111251403,0.022382605848957196,5,0.9166666666666666,7,1.25,True
3,7,8,1.25,1.4166666666666667,0.01107918924487935,0.019807675075720628,1,0.25,7,1.25,True
4,10,4,1.75,0.75,0.018596610637626264,0.019724272554848276,4,0.75,8,1.4166666666666667,True
5,8,9,1.4166666666666667,1.5833333333333333,0.014099354000070147,0.0159825352564957,1,0.25,4,0.75,True
6,6,4,1.0833333333333333,0.75,0.03666449652777778,0.014963676759259505,4,0.75,8,1.4166666666666667,True
7,8,4,1.4166666666666667,0.75,0.028434765405794052,0.014892061425551427,10,1.75,8,1.4166666666666667,True
8,9,7,1.5833333333333333,1.25,0.009679230455597643,0.01444489246068658,2,0.4166666666666667,6,1.0833333333333333,True
9,10,3,1.75,0.5833333333333334,0.007713912124719417,0.012069391626301126,4,0.75,9,1.5833333333333333,True
10,7,4,1.25,0.75,0.005883953466961279,0.011541534905029746,6,1.0833333333333333,8,1.4166666666666667,True
11,9,3,1.5833333333333333,0.5833333333333334,0.005791612961209315,0.011439260041264969,4,0.75,9,1.5833333333333333,True
12,9,2,1.5833333333333333,0.4166666666666667,0.008577473958333333,0.011427422409644363,4,0.75,10,1.75,True
13,5,4,0.9166666666666666,0.75,0.030012034406565656,0.011330149442015795,4,0.75,8,1.4166666666666667,True
14,9,4,1.5833333333333333,0.75,0.034825468223905726,0.010434821519275427,4,0.75,8,1.4166666666666667,True
15,3,9,0.5833333333333334,1.5833333333333333,0.026635605183782267,0.010310717594330112,4,0.75,4,0.75,False
16,3,8,0.5833333333333334,1.4166666666666667,0.012179520903479237,0.009686287161608327,7,1.25,7,1.25,False
17,2,4,0.4166666666666667,0.75,0.00953181445531706,0.008979051600000038,8,1.4166666666666667,8,1.4166666666666667,False
18,5,7,0.9166666666666666,1.25,0.004643028593223905,0.008750180534228531,2,0.4166666666666667,6,1.0833333333333333,True
