model,mean_cross_entropy_bits,sd_cross_entropy_bits,gain_vs_current_B_bits,relative_ce_reduction_vs_current_B,min_fold_gain_vs_current_B_bits,mean_perplexity,mean_top1_accuracy,mean_brier_score,mean_active_context_rows,mean_active_conditional_df
B_plus_shared_gap,1.7935150615110997,7.2150521990581e-06,0.8274051730818914,0.31569261901264273,0.8273841046490873,3.466584822093944,0.43879490629572016,0.6677598105544911,123.875,1362.625
raw_gap_markov1,1.953762251579284,5.196654867023554e-06,0.6671579830137071,0.25455104440342174,0.6671374360125908,3.8738343171634435,0.37467449384563645,0.7080935762189843,23.0,506.0
full_A_B,2.178856919003313,1.1250901488821744e-05,0.44206331558967804,0.16866721457409295,0.4420446204354249,4.527946521812153,0.3977737688532773,0.7221926783627366,118.875,1307.625
B_plus_signed_step,2.3571523682341,1.3728268668164764e-05,0.2637678663588914,0.1006394101115605,0.2637508132159918,5.1235805367944405,0.3587606126994148,0.7557820548341576,56.0,616.0
B_plus_distance,2.4331400433496038,1.5974717080794473e-05,0.1877801912433874,0.07164666393311593,0.18776107629351513,5.400676162498346,0.3416221981956845,0.7692258590102188,41.0,451.0
B_plus_direction,2.526722826724373,2.345612917059941e-05,0.0941974078686183,0.0359405855337854,0.09417771939107178,5.762611765885457,0.3357641100520332,0.7827775980988622,27.0,297.0
current_B,2.620920234592991,1.882789034625854e-05,0.0,0.0,0.0,6.1514232090722345,0.302293407983919,0.8003242629704188,12.0,132.0
