m,current_prime,next_prime,residue,phase_turn,phase_degrees,ara_phase_x,next_m,next_phase_turn,delta_turn,delta_degrees,distance_golden_angle,distance_thirty_six,distance_reverse_golden,distance_one_over_e,distance_three_eighths,distance_two_fifths,distance_one_fifth,distance_one_sixth,distance_one_quarter,distance_one_third,distance_one_half,distance_zero
1000,7919,7927,4913,0.6197804970354485,223.12097893276146,1.239560994070897,1001,0.7909996218328501,0.17121912479740165,61.638884927064595,0.21074688645270356,0.07121912479740164,0.44681486395249315,0.1966603163740407,0.20378087520259835,0.22878087520259838,0.02878087520259842,0.004552458130734988,0.07878087520259835,0.16211420853593173,0.32878087520259835,0.17121912479740165
1001,7927,7933,6275,0.7909996218328501,284.75986385982605,1.5819992436657002,1002,0.709084036789719,0.9180844149568689,330.5103893844728,0.46388159629323633,0.1819155850431311,0.3000504262069741,0.44979502621457346,0.4569155850431311,0.48191558504313114,0.2819155850431312,0.24858225170979775,0.3319155850431311,0.4152489183764645,0.4180844149568689,0.08191558504313112
1002,7933,7937,5628,0.709084036789719,255.27025324429883,1.418168073579438,1003,0.12617939363441943,0.41709535684470045,150.15432846409217,0.035129345594595296,0.31709535684470047,0.20093863190519434,0.049215915673258115,0.04209535684470045,0.017095356844700427,0.21709535684470044,0.2504286901780338,0.16709535684470045,0.08376202351136713,0.08290464315529955,0.41709535684470045
1003,7937,7949,1003,0.12617939363441943,45.424581708390996,0.25235878726883887,1004,0.6674632121745693,0.5412838185401498,194.86217467445394,0.1593178072900447,0.44128381854014986,0.07675017020974495,0.1734043773687075,0.16628381854014984,0.14128381854014982,0.34128381854014983,0.3746171518734832,0.29128381854014984,0.20795048520681653,0.04128381854014984,0.45871618145985016
1004,7949,7951,5307,0.6674632121745693,240.28675638284494,1.3349264243491386,1005,0.0700740926786387,0.40261088050406946,144.93991698146502,0.020644869253964304,0.3026108805040695,0.21542310824582533,0.03473143933262712,0.027610880504069457,0.002610880504069435,0.20261088050406945,0.2359442138374028,0.15261088050406946,0.06927754717073614,0.09738911949593054,0.40261088050406946
1005,7951,7963,558,0.0700740926786387,25.226673364309935,0.1401481853572774,1006,0.24634054797948204,0.17626645530084334,63.4559239083036,0.20569955594926181,0.07626645530084333,0.4417675334490514,0.19161298587059905,0.19873354469915672,0.22373354469915663,0.023733544699156672,0.009599788634176681,0.07373354469915672,0.15706687803248998,0.3237335446991567,0.17626645530084334
1006,7963,7993,1969,0.24634054797948204,88.68259727261353,0.4926810959589641,1007,0.05718566612560869,0.8108451181461267,291.9042425326056,0.42887910689602154,0.2891548818538733,0.1928111293962319,0.44296567697468436,0.4358451181461267,0.4108451181461267,0.38915488185387326,0.35582154852053993,0.4391548818538733,0.4775117848127934,0.3108451181461267,0.1891548818538733
1007,7993,8009,458,0.05718566612560869,20.586839805219128,0.11437133225121739,1008,0.86793159405817,0.8107459279325613,291.8685340557221,0.42877991668245613,0.2892540720674387,0.1927119391826665,0.44286648676111895,0.4357459279325613,0.41074592793256126,0.3892540720674387,0.35592073873410535,0.4392540720674387,0.47741259459922797,0.3107459279325613,0.18925407206743872
1008,8009,8011,6953,0.86793159405817,312.4553738609412,1.73586318811634,1009,0.3190719720593738,0.45114037800120377,162.41053608043336,0.06917436675109861,0.3511403780012038,0.16689361074869102,0.08326093682976143,0.07614037800120377,0.051140378001203746,0.25114037800120376,0.28447371133453714,0.20114037800120377,0.11780704466787045,0.04885962199879623,0.45114037800120377
1009,8011,8017,2558,0.3190719720593738,114.86590994137458,0.6381439441187476,1010,0.6635153626072895,0.3444433905479157,123.99962059724965,0.03752262070218948,0.24444339054791567,0.27359059820197906,0.023436050623526716,0.030556609452084382,0.05555660945208429,0.14444339054791566,0.17777672388124902,0.09444339054791567,0.011110057214582358,0.15555660945208438,0.3444433905479157
1010,8017,8039,5334,0.6635153626072895,238.86553053862423,1.327030725214579,1011,0.8806655904631814,0.2171502278558919,78.17408202812108,0.1648157833942132,0.11715022785589188,0.4008837608940029,0.15072921331555045,0.1578497721441081,0.18284977214410814,0.017150227855891875,0.05048356118922523,0.032849772144108114,0.11618310547744137,0.2828497721441081,0.2171502278558919
1011,8039,8053,7092,0.8806655904631814,317.0396125667453,1.7613311809263628,1012,0.854076188112669,0.9734105976494877,350.4278151538156,0.40855541360061753,0.1265894023505123,0.3553766088995929,0.39446884352195466,0.4015894023505123,0.42658940235051235,0.2265894023505124,0.19325606901717896,0.2765894023505123,0.3599227356838457,0.4734105976494877,0.026589402350512326
1012,8053,8059,6883,0.854076188112669,307.46742772056086,1.708152376225338,1013,0.2753748915602925,0.42129870344762343,151.66753324114444,0.03933269219751828,0.32129870344762346,0.19673528530227136,0.0534192622761811,0.046298703447623435,0.021298703447623413,0.22129870344762342,0.2546320367809568,0.17129870344762343,0.08796537011429012,0.07870129655237657,0.42129870344762343
1013,8059,8069,2222,0.2753748915602925,99.1349609617053,0.550749783120585,1014,0.37297364187600546,0.09759875031571297,35.13555011365667,0.28436726093439213,0.00240124968428701,0.4795647615658182,0.27028069085572937,0.27740124968428703,0.30240124968428705,0.10240124968428699,0.06906791635095366,0.15240124968428703,0.2357345830176203,0.40240124968428703,0.09759875031571297
1014,8069,8081,3014,0.37297364187600546,134.27051107536195,0.7459472837520109,1015,0.51230369729195,0.13933005541594456,50.15881994974004,0.24263595583416064,0.03933005541594456,0.4787039333339502,0.22854938575549777,0.23566994458405544,0.26066994458405546,0.0606699445840555,0.027336611250722065,0.11066994458405544,0.1940032779173888,0.36066994458405544,0.13933005541594456
1015,8081,8087,4143,0.51230369729195,184.42933102510202,1.0246073945839,1016,0.32451477314872046,0.8122110758567704,292.3959873084374,0.4302450646066653,0.28778892414322954,0.19417708710687565,0.4443316346853281,0.43721107585677044,0.4122110758567704,0.3877889241432295,0.3544555908098962,0.43778892414322956,0.4788777425234371,0.31221107585677044,0.18778892414322956
1016,8087,8089,2625,0.32451477314872046,116.82531833353937,0.6490295462974409,1017,0.20536265908810084,0.8808478859393803,317.1052389381769,0.4988818746892752,0.21915211406061963,0.26281389718948556,0.487031555232062,0.49415211406061965,0.4808478859393803,0.3191521140606197,0.2858187807272863,0.36915211406061965,0.452485447393953,0.38084788593938035,0.11915211406061965
1017,8089,8093,1662,0.20536265908810084,73.9305572717163,0.41072531817620167,1018,0.599432168868041,0.39406950977994015,141.86502352077846,0.012103498529835,0.2940695097799402,0.22396447896995464,0.02619006860849782,0.019069509779940153,0.00593049022005987,0.19406950977994014,0.2274028431132735,0.14406950977994015,0.06073617644660684,0.10593049022005985,0.39406950977994015
1018,8093,8101,4856,0.599432168868041,215.79558079249475,1.198864337736082,1019,0.6132412772777709,0.013809108409729931,4.971279027502775,0.3681569028403753,0.08619089159027005,0.39577511965983514,0.3540703327617124,0.36119089159027007,0.3861908915902701,0.18619089159027014,0.1528575582569367,0.23619089159027007,0.31952422492360344,0.48619089159027007,0.013809108409729931
1019,8101,8111,4974,0.6132412772777709,220.76685981999753,1.2264825545555418,1020,0.19724035973881976,0.5839990824610488,210.23966968597756,0.20203307121094366,0.48399908246104884,0.03403490628884598,0.21611964128960648,0.2089990824610488,0.1839990824610488,0.3839990824610488,0.4173324157943822,0.3339990824610488,0.2506657491277155,0.08399908246104881,0.4160009175389512
1020,8111,8117,1601,0.19724035973881976,71.00652950597511,0.3944807194776395,1021,0.3440846977717592,0.14684433803293945,52.8639616918582,0.2351216732171657,0.04684433803293944,0.4711896507169553,0.22103510313850294,0.2281556619670606,0.2531556619670605,0.05315566196706056,0.019822328633727238,0.10315566196706061,0.18648899530039387,0.3531556619670606,0.14684433803293945
1021,8117,8123,2795,0.3440846977717592,123.87049119783332,0.6881693955435184,1022,0.8755370074874187,0.5314523097156595,191.32283149763742,0.14948629846555433,0.4314523097156595,0.0865816790342353,0.16357286854421715,0.1564523097156595,0.13145230971565947,0.3314523097156595,0.36478564304899286,0.2814523097156595,0.19811897638232617,0.03145230971565949,0.4685476902843405
1022,8123,8147,7133,0.8755370074874187,315.1933226954707,1.7510740149748374,1023,0.47530939835804437,0.5997723908706256,215.91806071342523,0.21780637962052046,0.49977239087062564,0.018261597879269176,0.23189294969918328,0.22477239087062562,0.1997723908706256,0.3997723908706256,0.433105724203959,0.3497723908706256,0.2664390575372923,0.09977239087062562,0.4002276091293744
1023,8147,8161,3879,0.47530939835804437,171.11138340889596,0.9506187967160887,1024,0.5077751928492714,0.03246579449122705,11.687686016841738,0.3495002167588781,0.06753420550877298,0.4144318057413323,0.33541364668021534,0.342534205508773,0.3675342055087729,0.16753420550877296,0.13420087217543963,0.217534205508773,0.30086753884210626,0.467534205508773,0.03246579449122705
1024,8161,8167,4147,0.5077751928492714,182.7990694257377,1.0155503856985428,1025,0.9302410965610084,0.422465903711737,152.0877253362253,0.040499892461631826,0.322465903711737,0.1955680850381578,0.054586462540294645,0.04746590371173698,0.022465903711736956,0.22246590371173697,0.25579923704507035,0.17246590371173698,0.08913257037840366,0.07753409628826302,0.422465903711737
1025,8167,8171,7601,0.9302410965610084,334.886794761963,1.8604821931220168,1026,0.9140481721481843,0.983807075587176,354.17054721138334,0.39815893566292915,0.11619292441282403,0.36577308683728116,0.3840723655842664,0.39119292441282405,0.4161929244128241,0.216192924412824,0.18285959107949068,0.26619292441282405,0.3495262577461573,0.48380707558717595,0.01619292441282405
1026,8171,8179,7476,0.9140481721481843,329.05734197334635,1.8280963442963687,1027,0.6880722744475644,0.77402410229938,278.6486768277768,0.39205809104927486,0.32597589770061997,0.15599011354948522,0.4061446611279377,0.39902410229938,0.37402410229938,0.42597589770062005,0.3926425643672866,0.47597589770062,0.4406907689660467,0.27402410229938,0.22597589770062
1027,8179,8191,5636,0.6880722744475644,247.70601880112318,1.3761445488951287,1028,0.9406748690461688,0.25260259459860446,90.9369340554976,0.12936341665150075,0.15260259459860445,0.36543139415129033,0.11527684657283788,0.12239740540139554,0.14739740540139556,0.052602594598604446,0.0859359279319378,0.0026025945986044574,0.08073073873472891,0.24739740540139554,0.25260259459860446
1028,8191,8209,7722,0.9406748690461688,338.64295285662075,1.8813497380923376,1029,0.821876140649714,0.8812012716035452,317.2324577772763,0.49923526035344007,0.21879872839645476,0.26316728285365043,0.4866781695678971,0.4937987283964548,0.4812012716035452,0.31879872839645484,0.2854653950631214,0.3687987283964548,0.45213206172978815,0.3812012716035452,0.11879872839645478
1029,8209,8219,6755,0.821876140649714,295.87541063389705,1.643752281299428,1030,0.16774115071159226,0.3458650100618782,124.51140362227615,0.03610100118822701,0.2458650100618782,0.2721689786880166,0.022014431109564137,0.029134989938121802,0.054134989938121825,0.1458650100618782,0.17919834339521154,0.0958650100618782,0.012531676728544883,0.1541349899381218,0.3458650100618782
