ara_bin,x_low,x_high,x_center,r7_frequency,r8_frequency,r9_frequency,r10_frequency,r11_frequency,r10_offset_control,r11_offset_control,r10_mirror,r11_mirror
0,0.0,0.08333333333333333,0.041666666666666664,0.0030453598333066195,0.005368409401173302,0.006657726133647841,0.007971343605881996,0.009333286958682237,0.007422946735727618,0.008705765699303918,0.008989094245689933,0.010358578816898717
1,0.08333333333333333,0.16666666666666666,0.125,0.022439493508575093,0.025200162343651994,0.027339790692034564,0.02895418809339998,0.030181208949155894,0.027154285261530582,0.028484572885046973,0.03282412789894259,0.03370688148566953
2,0.16666666666666666,0.25,0.20833333333333334,0.03686488219265908,0.03650887355643287,0.03760827614224982,0.038376730337306375,0.03907222258292334,0.03482183822269393,0.03582822214571312,0.03611736537317063,0.03703417826140606
3,0.25,0.3333333333333333,0.2916666666666667,0.03205641929796442,0.035623362727373355,0.03517899375475441,0.036476883080511696,0.036973431859370104,0.03940532587445574,0.03977732119447859,0.05309507665719008,0.05229082205714524
4,0.3333333333333333,0.4166666666666667,0.375,0.051931399262702356,0.05230048334132753,0.052092768739364116,0.05121710908149559,0.0507441700236569,0.05034051397710375,0.04994080733910465,0.0334627842746356,0.03456513340434262
5,0.4166666666666667,0.5,0.4583333333333333,0.03125500881551531,0.035623362727373355,0.036350106851115255,0.0368057692343125,0.03737692172243459,0.03301124543724169,0.033966502575165106,0.05869765689343536,0.05740084080822708
6,0.5,0.5833333333333334,0.5416666666666666,0.06042635037666293,0.05599011179574217,0.054381103001987785,0.05390761891952146,0.05317567269230612,0.06109028963956743,0.0596293639878858,0.031609229816800276,0.03290529749917094
7,0.5833333333333334,0.6666666666666666,0.625,0.028850777368167976,0.03265321182156957,0.03316219190916308,0.0338732010295887,0.0346735041749472,0.034730629121683995,0.03519754982180898,0.06725053939171723,0.06475145943990855
8,0.6666666666666666,0.75,0.7083333333333334,0.06683763423625581,0.06228092831051913,0.061154904062000595,0.05859839223497027,0.05695788351631688,0.055987647155289484,0.054732609855374745,0.03688683921059953,0.03730632112924268
9,0.75,0.8333333333333334,0.7916666666666666,0.06443340278890848,0.05787182230749364,0.056022734103435196,0.05417570259110699,0.05282702684942839,0.05468169866355634,0.053504754475408735,0.04961275267576984,0.048810418002882744
10,0.8333333333333334,0.9166666666666666,0.875,0.06347171020996954,0.05932922554698742,0.05682282198873659,0.055254716337995474,0.05402483038315147,0.049895524120661346,0.04971687002615025,0.048403842716876005,0.047628675027496105
11,0.9166666666666666,1.0,0.9583333333333334,0.028850777368167976,0.027985831826735048,0.03148117824341327,0.03288539100602313,0.03413851532398921,0.027518891339557663,0.028845405813296116,0.05455364529305875,0.05376271903124739
12,1.0,1.0833333333333333,1.0416666666666667,0.058182401025805415,0.05687562262480168,0.05493660443530585,0.05455364529305875,0.05376271903124739,0.07435891057638624,0.0713502784131042,0.03288539100602313,0.03413851532398921
13,1.0833333333333333,1.1666666666666667,1.125,0.05145055297323289,0.04951481385824447,0.04900641935798129,0.048403842716876005,0.047628675027496105,0.04602858069425788,0.04581263443680133,0.055254716337995474,0.05402483038315147
14,1.1666666666666667,1.25,1.2083333333333333,0.05145055297323289,0.051728590930893256,0.05049881126838803,0.04961275267576984,0.048810418002882744,0.04605852307590255,0.045487418687513034,0.05417570259110699,0.05282702684942839
15,1.25,1.3333333333333333,1.2916666666666667,0.035101779131271035,0.03470095561376969,0.03575107732041032,0.03688683921059953,0.03730632112924268,0.04159227136458028,0.041888538343679074,0.05859839223497027,0.05695788351631688
16,1.3333333333333333,1.4166666666666667,1.375,0.07453117486776727,0.07244585470243146,0.06967604731711463,0.06725053939171723,0.06475145943990855,0.0617943962602426,0.060000177832572055,0.0338732010295887,0.0346735041749472
17,1.4166666666666667,1.5,1.4583333333333333,0.027408238499759575,0.02817031324945578,0.030465522637719792,0.031609229816800276,0.03290529749917094,0.03439481379523833,0.03502212381590296,0.05390761891952146,0.05317567269230612
18,1.5,1.5833333333333333,1.5416666666666667,0.058663247315274884,0.062502306017784,0.06031336084585457,0.05869765689343536,0.05740084080822708,0.059760847894543855,0.0585086894643802,0.0368057692343125,0.03737692172243459
19,1.5833333333333333,1.6666666666666667,1.625,0.028049366885718865,0.03115891229753164,0.032673019005196424,0.0334627842746356,0.03456513340434262,0.0383043675339823,0.03863220102538464,0.05121710908149559,0.0507441700236569
20,1.6666666666666667,1.75,1.7083333333333333,0.05673986215739702,0.05571338966166107,0.05430855617300968,0.05309507665719008,0.05229082205714524,0.045003169285934085,0.04499604854504964,0.036476883080511696,0.036973431859370104
21,1.75,1.8333333333333333,1.7916666666666667,0.035101779131271035,0.03394458178061469,0.03545881723795567,0.03611736537317063,0.03703417826140606,0.03894605580522895,0.03970920270640909,0.038376730337306375,0.03907222258292334
22,1.8333333333333333,1.9166666666666667,1.875,0.02853021317518833,0.03053167546028115,0.03113502623086059,0.03282412789894259,0.03370688148566953,0.029676124774050183,0.03098355117105662,0.02895418809339998,0.030181208949155894
23,1.9166666666666667,2.0,1.9583333333333333,0.004327616605225197,0.005977198096151717,0.007524142548300642,0.008989094245689933,0.010358578816898717,0.008021103390583166,0.009279389739410178,0.007971343605881996,0.009333286958682237
