model,mean_cross_entropy_bits,sd_cross_entropy_bits,gain_vs_current_B_bits,relative_ce_reduction_vs_current_B,mean_perplexity,mean_top1_accuracy,mean_brier_score,mean_active_context_rows,mean_active_conditional_df,min_fold_gain_vs_current_B_bits
B_plus_shared_gap,1.737773106261331,3.2546540277237347e-05,0.8187236496332817,0.32025217624294616,3.335199605433016,0.4540704078545875,0.6545304745061197,94.875,1043.625,0.8185734631179735
raw_gap_markov1,1.9083495210604782,3.108453974412226e-05,0.6481472348341346,0.25352945719163406,3.753794106572723,0.37809365354938274,0.6990812857706322,20.0,380.0,0.6480070007838419
full_A_B,2.0822707848244977,0.00018220065456006773,0.4742259710701151,0.185498366065466,4.234732367202652,0.41706937539457073,0.7030500197012239,112.0,1232.0,0.47385081993209077
B_plus_signed_step,2.2747266581514376,0.00010353309310870758,0.2817700977431752,0.11021727177767272,4.839059443048393,0.37720447202055274,0.7401435448764622,52.0,572.0,0.2815651899619058
B_plus_distance,2.3540136022929667,6.489567710941329e-05,0.20248315360164604,0.07920336809924473,5.112445659247511,0.3604571101641414,0.7547457729682712,38.0,418.0,0.2023830962130302
B_plus_direction,2.4533767698873636,9.465731536230106e-05,0.10311998600724914,0.040336443130421125,5.476965423701468,0.35429777922453703,0.7693903081816043,26.0,286.0,0.10304182875637968
current_B,2.556496755894613,0.00011052514500197224,0.0,0.0,5.882774598023069,0.31697497983305273,0.7895919553985247,12.0,132.0,0.0
