rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,2,0.3333333333333333,0.5,2581,16,3851,0.695596789987582,0.17473847345989926,0.1835759680803512,-0.07117991593729896
r9,edge,u,3,0.5,0.6666666666666666,65805,16,3851,0.695596789987582,0.18348149836638553,0.1835759680803512,-0.0007426139137346723
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,16,3851,0.695596789987582,0.18531366871517502,0.1835759680803512,0.013592090326304401
r9,edge,u,5,0.8333333333333334,1.0,306444,16,3851,0.695596789987582,0.18306117920403076,0.1835759680803512,-0.0040513289639512095
r9,edge,u,6,1.0,1.1666666666666667,608675,16,3851,0.695596789987582,0.18347558220725346,0.1835759680803512,-0.0007891327787111306
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,16,3851,0.695596789987582,0.1831676180917132,0.1835759680803512,-0.0032127337421951874
r9,edge,u,8,1.3333333333333333,1.5,83755,16,3851,0.695596789987582,0.18197122559847173,0.1835759680803512,-0.012666867278233424
r9,edge,u,9,1.5,1.6666666666666667,6073,16,3851,0.695596789987582,0.1918327021241561,0.1835759680803512,0.0634714725928594
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,16,3851,0.695596789987582,nan,0.1835759680803512,nan
r9,edge,u,11,1.8333333333333333,2.0,0,16,3851,0.695596789987582,nan,0.1835759680803512,nan
r9,edge,u,0,0.0,0.16666666666666666,0,17,5197,0.7388360799769381,nan,0.16857786112521575,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,17,5197,0.7388360799769381,nan,0.16857786112521575,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,17,5197,0.7388360799769381,0.16388996512979465,0.16857786112521575,-0.040687561566867196
r9,edge,u,3,0.5,0.6666666666666666,65805,17,5197,0.7388360799769381,0.16892333409315402,0.16857786112521575,0.0029535439799656814
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,17,5197,0.7388360799769381,0.17012310964365512,0.16857786112521575,0.013164047548833439
r9,edge,u,5,0.8333333333333334,1.0,306444,17,5197,0.7388360799769381,0.1679556460560494,0.16857786112521575,-0.005334788948882051
r9,edge,u,6,1.0,1.1666666666666667,608675,17,5197,0.7388360799769381,0.16850864582905492,0.16857786112521575,-0.0005924684843099629
