outcome,model,target_n,brier,development_rates
Y0,global,6000,0.09192,"{""all"": 0.116}"
Y0,orientation,6000,0.09198958296128329,"{""left"": 0.12342857142857143, ""right"": 0.11022222222222222}"
Y0,pair,6000,0.09204273466071529,"{""1"": 0.12780656303972365, ""3"": 0.11472602739726027, ""5"": 0.1087216248506571}"
Y0,lane,6000,0.09208748126657003,"{""1"": 0.13745704467353953, ""11"": 0.11267605633802817, ""13"": 0.11805555555555555, ""3"": 0.11666666666666667, ""5"": 0.11619718309859155, ""9"": 0.10488245931283906}"
Y3,global,6000,0.23214124999999997,"{""all"": 0.6365}"
Y3,orientation,6000,0.23209361441572185,"{""left"": 0.6285714285714286, ""right"": 0.6426666666666667}"
Y3,pair,6000,0.23222937287414352,"{""1"": 0.6303972366148531, ""3"": 0.6215753424657534, ""5"": 0.6511350059737157}"
Y3,lane,6000,0.23223524856284425,"{""1"": 0.6323024054982818, ""11"": 0.6232394366197183, ""13"": 0.6284722222222222, ""3"": 0.62, ""5"": 0.6338028169014085, ""9"": 0.6600361663652803}"
