bins,direction,model,cross_entropy_bits_per_reading,perplexity,brier_score,top1_accuracy,top3_accuracy,observations
8,half1_to_half2,ARA-IID,2.660472294273874,6.32239991670337,0.8314273719861607,0.20836464781984865,0.5719128209079534,18247678.0
8,half1_to_half2,ARA-Markov-1,2.2417723369159117,4.7297775641464685,0.7518564580389345,0.34915762980911874,0.7791495991983199,18247678.0
8,half1_to_half2,ARA-Markov-2,2.007094103793404,4.01971747038717,0.7005511110401702,0.41887411647662787,0.8388315488688478,18247678.0
8,half2_to_half1,ARA-IID,2.660473633691506,6.322405786507878,0.8314275949457938,0.20837325165426526,0.5719082723840261,18247678.0
8,half2_to_half1,ARA-Markov-1,2.24179477808613,4.729851136568862,0.751860310795761,0.34915779421359805,0.779149051183389,18247678.0
8,half2_to_half1,ARA-Markov-2,2.007078711563122,4.019674583924571,0.7005506904736208,0.4188768565512829,0.8388306720449583,18247678.0
8,mean,ARA-IID,2.66047296398269,6.322402851605624,0.8314274834659772,0.20836894973705694,0.5719105466459897,18247678.0
8,mean,ARA-Markov-1,2.2417835575010208,4.729814350357666,0.7518583844173478,0.34915771201135837,0.7791493251908544,18247678.0
8,mean,ARA-Markov-2,2.007086407678263,4.01969602715587,0.7005509007568955,0.41887548651395534,0.8388311104569031,18247678.0
12,half1_to_half2,ARA-IID,3.1697353650460833,8.998817064347344,0.874152792234982,0.22914263392854697,0.4777491689627579,18247678.0
12,half1_to_half2,ARA-Markov-1,2.5564795295551046,5.882704340721761,0.7895888579494461,0.316982686783491,0.6946425731536912,18247678.0
12,half1_to_half2,ARA-Markov-2,2.0823523738209655,4.23497183201729,0.7030654884941014,0.4170545425012432,0.8389888839555367,18247678.0
12,half2_to_half1,ARA-IID,3.1697445230039136,8.998874187333442,0.8741512546455721,0.22915397783761857,0.47774900455827857,18247678.0
12,half2_to_half1,ARA-Markov-1,2.55651537892271,5.88285052119974,0.7895949890782417,0.31696728756393006,0.6946538622612696,18247678.0
12,half2_to_half1,ARA-Markov-2,2.0822136410023564,4.234564607126268,0.7030351650733477,0.4170853957418582,0.8389996798496773,18247678.0
12,mean,ARA-IID,3.1697399440249985,8.998845625840392,0.8741520234402771,0.22914830588308277,0.4777490867605182,18247678.0
12,mean,ARA-Markov-1,2.556497454238907,5.882777430960751,0.7895919235138439,0.31697498717371053,0.6946482177074804,18247678.0
12,mean,ARA-Markov-2,2.082283007411661,4.234768219571779,0.7030503267837246,0.4170699691215507,0.838994281902607,18247678.0
16,half1_to_half2,ARA-IID,3.4168943266997798,10.680404088554118,0.8954621725569346,0.14623120815700497,0.4122269145696236,18247678.0
16,half1_to_half2,ARA-Markov-1,2.711708424976135,6.550969469287094,0.807538335454698,0.3033762980692667,0.6637910861864178,18247678.0
16,half1_to_half2,ARA-Markov-2,2.08920654480972,4.255139839115262,0.6979563456858459,0.4269167836039194,0.8428411549129703,18247678.0
16,half2_to_half1,ARA-IID,3.4169263259693476,10.680640984717254,0.8954638711386929,0.14622375515394342,0.41222959984278545,18247678.0
16,half2_to_half1,ARA-Markov-1,2.7117617021324474,6.5512113939205125,0.8075480442807537,0.3033565147302577,0.6637777146221016,18247678.0
16,half2_to_half1,ARA-Markov-2,2.089072710849667,4.254745122431936,0.6979284717738853,0.4269507605296411,0.8428680076445891,18247678.0
16,mean,ARA-IID,3.4169103263345635,10.680522536635685,0.8954630218478137,0.1462274816554742,0.41222825720620454,18247678.0
16,mean,ARA-Markov-1,2.711735063554291,6.551090431603804,0.8075431898677259,0.3033664063997622,0.6637844004042597,18247678.0
16,mean,ARA-Markov-2,2.0891396278296934,4.254942480773599,0.6979424087298656,0.42693377206678024,0.8428545812787798,18247678.0
