arm,rung,population,n,signed_value_x_or_mean,signed_value_y,magnitude,direction_degrees
prime_ladder_vector,1000,all ladder steps,4000,0.013627462907222575,0.00394231914456166,0.014186247760606204,16.13474562076874
prime_ladder_vector,10000,all ladder steps,4000,-0.0030896296523136957,0.014807887982545861,0.015126776189660577,101.78554263493024
prime_ladder_vector,100000,all ladder steps,4000,0.0016404614842862526,0.0029582656142580813,0.0033826689648749843,60.990102867809526
raw_integer_child_coupling,8,prime,50426,0.00885623385876809,,0.00885623385876809,positive
raw_integer_child_coupling,8,late_composite,10102,0.0068699318599887505,,0.0068699318599887505,positive
raw_integer_child_coupling,9,prime,45166,-0.014075849208425485,,0.014075849208425485,negative
raw_integer_child_coupling,9,late_composite,9109,-0.015149290546992144,,0.015149290546992144,negative
raw_integer_child_coupling,10,prime,41056,0.1688376950757039,,0.1688376950757039,positive
raw_integer_child_coupling,10,late_composite,8210,0.16668711145849682,,0.16668711145849682,positive
