scale,sector,theta_center,center_number,q,r,population,n,mean,sd,p05,median,p95,mean_theta,mean_wrong_theta
8,0,0.03125,400158513,7369,7351,raw,58953,0.27152475060350695,0.35236168720274824,-0.0005907344312952098,0.21829924315923865,0.8408956077309818,0.031249917504344093,0.9636545621543262
8,0,0.03125,400158513,7369,7351,prime,3017,0.2786700837682286,0.3484182726199063,-0.0005200378463763022,0.23357381113168094,0.8384502915744921,0.031383659772855045,0.9640131316803183
8,0,0.03125,400158513,7369,7351,late_composite,603,0.2592684277214806,0.34438988399562426,-0.0006394703264764115,0.19773180928558728,0.8060027300593163,0.03105124744855124,0.9631213047565979
8,1,0.09375,402979842,7369,7351,raw,58953,0.16266873898319328,0.3923137832989681,-0.815197620639755,0.15631755932704514,0.7228463335626074,0.0937499555792622,0.4534101619863066
8,1,0.09375,402979842,7369,7351,prime,2999,0.16578236016032416,0.38904603680461125,-0.815614334696234,0.15372215138185,0.7275492736053277,0.09372576370683526,0.4533451388050726
8,1,0.09375,402979842,7369,7351,late_composite,596,0.18723180172487033,0.3767179114875642,-0.8082547493176006,0.18294183118000368,0.7157490728319001,0.09334516464520431,0.4523247609597028
8,2,0.15625,402791753,7369,7351,raw,58953,0.07071188920000884,0.3857948357365649,-0.7109766915227732,0.09448012636036142,0.6067829658963741,0.1562500859570121,0.6207601445594849
8,2,0.15625,402791753,7369,7351,prime,2990,0.06187211670345074,0.38875852531755173,-0.7105579320355419,0.09260955409258849,0.6056691143962339,0.1562379794119115,0.6207276460166127
8,2,0.15625,402791753,7369,7351,late_composite,604,0.06334984286192927,0.3992057484166101,-0.7148658861083851,0.08992007110124053,0.6091843902102952,0.15621948537252506,0.6206777130072624
8,3,0.21875,402603665,7369,7351,raw,58953,-0.008591723670253463,0.3488352846753904,-0.6075771542294847,0.03168392541938575,0.4859483245549948,0.21874988404456758,0.7881092373943873
8,3,0.21875,402603665,7369,7351,prime,2994,0.003186613958255404,0.34561654822056465,-0.6076899815189424,0.03667411187461348,0.48851309534426546,0.21880038734957505,0.7882448264407399
8,3,0.21875,402603665,7369,7351,late_composite,597,0.00058012979142004,0.3485465561227324,-0.6099235808241164,0.03862391689318859,0.4850266401664004,0.21859352165485516,0.7876903586064198
8,4,0.28125,402415576,7369,7351,raw,58953,-0.0720172532182289,0.29373714575899335,-0.5156748724314868,-0.03177995728557232,0.3674647766394231,0.28125001442231745,0.9554592199675657
8,4,0.28125,402415576,7369,7351,prime,3011,-0.07058432932946501,0.2955660344928336,-0.5146804238745409,-0.030293069428953164,0.3710650449009894,0.28124424145688726,0.9554440403667936
8,4,0.28125,402415576,7369,7351,late_composite,595,-0.06498414878583177,0.28932769044682527,-0.516126742790535,-0.03216526622656552,0.36950551102364404,0.2813107185118662,0.9556227604785217
8,5,0.34375,402227487,7369,7351,raw,58953,-0.11775263594728996,0.22432591225082718,-0.42796638825609656,-0.09395654777735794,0.2490067338423293,0.3437501448000674,0.12280920254074404
8,5,0.34375,402227487,7369,7351,prime,2998,-0.12366347301762375,0.22648038815179689,-0.42818960973236625,-0.09530431680591442,0.24777259329181048,0.3436944568533482,0.12265954976669495
8,5,0.34375,402227487,7369,7351,late_composite,587,-0.1166004381683103,0.2255093035280549,-0.4286905002793176,-0.09935670649023114,0.2657463471292776,0.34406952703687327,0.12366516377447413
8,6,0.40625,402039399,7369,7351,raw,58953,-0.14927716135984453,0.15066319238242046,-0.34962981672405097,-0.1557556566082855,0.13053166301882782,0.40624994288762284,0.29015829537564647
8,6,0.40625,402039399,7369,7351,prime,2998,-0.14988677569198644,0.15105031557256302,-0.3501068746798361,-0.15525138777769099,0.12355633802101879,0.40628313889156414,0.2902471477747372
8,6,0.40625,402039399,7369,7351,late_composite,604,-0.14834831590840863,0.1477503976399683,-0.34764976222144417,-0.1557493800157243,0.12486276276516314,0.40618644910084306,0.289987793387448
8,7,0.46875,401851310,7369,7351,raw,58953,-0.16481332457600228,0.08710929089250186,-0.27929703787844234,-0.18456606565031528,0.012068347883982429,0.4687500732653727,0.4575082779488248
8,7,0.46875,401851310,7369,7351,prime,3023,-0.16370992269861484,0.08773638466895035,-0.27946455644178797,-0.1834283409457633,0.01326561160714757,0.4687222912857956,0.45743358906726994
8,7,0.46875,401851310,7369,7351,late_composite,583,-0.17213760214073556,0.08389445670799853,-0.2786922475719233,-0.19415644063592294,-0.004419315593332149,0.4691113113681563,0.458476280549033
8,8,0.53125,401663222,7369,7351,raw,58953,-0.16443721579846424,0.08661688374353979,-0.2788671798987176,-0.18364894471372356,0.011296304846273307,0.5312498713529281,0.6248573707837273
8,8,0.53125,401663222,7369,7351,prime,3043,-0.16301619852108395,0.08706192016845918,-0.2787972660418122,-0.18152705029557303,0.013371294657425417,0.5313627317582679,0.6251601838809295
8,8,0.53125,401663222,7369,7351,late_composite,579,-0.16515309233966832,0.08249758166322367,-0.27808248768094107,-0.18107893850783502,-0.006988915666760842,0.5308502230745791,0.6237856279180608
8,9,0.59375,401475133,7369,7351,raw,58953,-0.14977415950171868,0.1505843385435023,-0.3507345339359576,-0.15616426278402062,0.12975970859183714,0.593750001730678,0.7922073533569055
8,9,0.59375,401475133,7369,7351,prime,3021,-0.14997611128254015,0.1494223847009765,-0.35048745771584205,-0.15561960223423804,0.12833196838982452,0.5937286928862565,0.792150146991529
8,9,0.59375,401475133,7369,7351,late_composite,600,-0.14627787193999883,0.1551416874904177,-0.35127437258580796,-0.15066652151738696,0.1376390475241251,0.5938463560585145,0.7924658487952654
8,10,0.65625,401287044,7369,7351,raw,58953,-0.11749688864199155,0.22406591161410055,-0.42743973783485134,-0.09314011076967477,0.2482385896762347,0.656250132108428,0.9595573359300839
8,10,0.65625,401287044,7369,7351,prime,2925,-0.11626513441744328,0.22543253440696542,-0.4273188580463489,-0.0917316433989381,0.2510634550770147,0.6562459660100715,0.9595461821088838
