parent_prime,child_gate_count,child_centroid,mean_ridge_distance,mean_phi_pair_distance,minimum_phi_pair_distance,nearest_phi_residue_hit_count,nearest_phi_residue_hit_share
4000000007,6337,0.9975512171148423,0.49534366256642937,0.26768575857534416,7.09067405276621e-05,3,0.0004734101309768029
4000000009,6337,0.997655138622354,0.49523040099728644,0.26767353413434497,4.047510423669351e-05,6,0.0009468202619536059
4000000019,6337,0.9984903529138867,0.49513958772383576,0.2676244195955414,3.0526545624874165e-05,9,0.0014202303929304087
4000000063,6337,1.000145412571129,0.49566320308451545,0.26767432393356283,8.857557366872387e-06,10,0.0015780337699226763
4000000133,6337,1.0040982720879474,0.4961887025111308,0.2681452602517742,0.00016113444126040176,5,0.0007890168849613382
4000000157,6337,1.0037672964081445,0.4967072056241665,0.2682761774855486,4.750518049452493e-05,5,0.0007890168849613382
4000000163,6337,1.001554206898795,0.4960946277834642,0.26841784912792094,5.269223157227093e-05,3,0.0004734101309768029
4000000187,6337,1.0024856582349264,0.49605699392475266,0.26786803383821806,7.063007823060973e-05,5,0.0007890168849613382
4000000229,6337,1.0056148301545815,0.4970801925232174,0.26757317380908957,4.155558251426983e-05,6,0.0009468202619536059
4000000231,6337,1.0060343584160798,0.4969263017061901,0.26776505757951635,1.2273914987538301e-05,10,0.0015780337699226763
4000000241,6337,1.0046603254297197,0.49729268865460974,0.2677087507670889,9.388822346954385e-05,7,0.0011046236389458735
4000000273,6337,1.0019045749940914,0.49711885181415205,0.2678396107244015,0.00015220576224434543,2,0.00031560675398453525
4000000351,6337,1.0018546259851662,0.49661690379088713,0.26689294179652745,1.8411370958191265e-05,6,0.0009468202619536059
4000000373,6337,1.0020509423058173,0.49636593057946415,0.26739921364444585,2.2929327442556122e-05,4,0.0006312135079690705
4000000387,6337,1.0024627861044004,0.4962585560090023,0.26700803256424327,0.00030689272812481203,6,0.0009468202619536059
4000000427,6337,1.0042256095006123,0.49646972706541276,0.2671255782870095,2.6261553523338e-05,7,0.0011046236389458735
4000000451,6337,1.0054726675907266,0.496711354251021,0.2668041046963186,0.00032178460923699536,7,0.0011046236389458735
4000000453,6337,1.006207802606204,0.49673232862479744,0.26673551238897775,2.7138317665217783e-05,6,0.0009468202619536059
4000000483,6337,1.0058729846949421,0.49708962893215836,0.266917149688861,1.2441247446320963e-05,6,0.0009468202619536059
4000000531,6337,1.0026861793034503,0.49644659219800774,0.2667756595701237,5.6460660007242115e-05,7,0.0011046236389458735
4000000553,6337,1.0057229564099655,0.496423391988383,0.2668357502406365,0.00014405018875332268,4,0.0006312135079690705
4000000559,6337,1.0054035074245273,0.49650115921878013,0.2665881611350653,0.0002006589001781194,5,0.0007890168849613382
4000000561,6337,1.0061386424400036,0.4966090531371542,0.2666014565151817,0.0001009172582142103,8,0.001262427015938141
4000000573,6337,1.0054997444691207,0.49667042621272584,0.26682847055630643,6.5181900014954e-05,2,0.00031560675398453525
4000000579,6337,1.0058115089916528,0.4968154916569424,0.2666036402548019,7.558039199307264e-05,5,0.0007890168849613382
4000000591,6337,1.0058038245287413,0.496911356736622,0.2663195133309036,0.0001476527820501349,8,0.001262427015938141
4000000597,6337,1.0061155890512683,0.49674715251524815,0.2662765460738333,6.347162954546791e-05,8,0.001262427015938141
4000000607,6337,1.0066351965888167,0.49679396608656945,0.26641320499103505,0.00011544463160454043,4,0.0006312135079690705
4000000619,6337,1.0075743323878565,0.4975594854752079,0.26603139840916623,6.3658154590964105e-06,8,0.001262427015938141
4000000661,6337,1.0069162232597013,0.49804642344565264,0.26612861133230514,0.00021729191160081167,7,0.0011046236389458735
4000000663,6337,1.0073357515211927,0.49807654421681774,0.26615021557599866,4.889213052052708e-05,3,0.0004734101309768029
4000000687,6337,1.0041643150555295,0.4982071616335571,0.2664439118093925,0.00014850631730289253,4,0.0006312135079690705
4000000723,6337,1.0041412616667946,0.4969889135432346,0.26661169787343497,8.269781809822999e-05,3,0.0004734101309768029
4000000727,6337,1.0049803181897816,0.49686309354528707,0.2667808998662653,6.121594887919023e-05,3,0.0004734101309768029
4000000733,6337,1.0052920827123117,0.4971245017172253,0.2666297146962188,0.0003820938454800552,5,0.0007890168849613382
4000000787,6337,1.0027326485973311,0.4976183864087226,0.2668003636444679,2.910956120393551e-06,9,0.0014202303929304087
4000000801,6337,1.002197672133965,0.49744022038001134,0.2667612698213704,3.0355485101435045e-05,7,0.0011046236389458735
4000000813,6337,1.0028212011790205,0.4969479884364121,0.26693588873567836,2.937537943296165e-05,4,0.0006312135079690705
4000000831,6337,1.0028096744846555,0.49736643826142646,0.26683584369578806,9.183615111696746e-05,6,0.0009468202619536059
4000000861,6337,1.0043684970972988,0.4975514233629193,0.2668081232119704,0.00024955395041121063,3,0.0004734101309768029
4000000913,6337,1.0035987819987158,0.4987760421900006,0.26658062590481296,3.530642730003819e-05,4,0.0006312135079690705
4000000951,6337,1.0005235825776482,0.49830426078776996,0.26656292466443976,7.795081750117493e-06,9,0.0014202303929304087
4000000981,6337,1.0033448322062293,0.49821391325416253,0.26586967110789056,6.679973142148496e-05,9,0.0014202303929304087
