model,conditional_mutual_information_bits,jsd_from_empirical_bits
Empirical ordered child,0.4742489819902628,0.0
"IID gaps, exact overlap projection",0.1367757636014795,0.26429242793776064
First-order gap Markov projection,0.273769306768312,0.10543615970935774
Empirical child half 1,0.47434208872269323,1.6690920858822145e-06
Empirical child half 2,0.474167848392427,1.774993560684041e-06
