center_group,center_mod6,offset,offset_lane_mod6,center_count,parent_progress_mean,parent_progress_median,prime_rate,survivor_rate,divisible_by_3_rate,divisible_by_5_rate
prime,1,-150,0,22532,0.4764211421781623,0.34827578209520227,0.1571542694834014,0.18941949227764956,0.0,0.0
prime,1,-149,odd,22532,0.06270077192600915,0.06270077181270271,0.0,0.0,0.0,0.25230782886561337
prime,1,-148,2,22532,0.09937837226787076,0.09937837208828432,0.0,0.0,1.0,0.2471152139179833
prime,1,-147,odd,22532,0.06270077192459138,0.06270077181128494,0.0,0.0,0.0,0.2485354162968223
prime,1,-146,4,22532,0.3964195126412432,0.25628714747710063,0.12355760695899165,0.14739037812888336,0.0,0.25204154091958103
prime,1,-145,odd,22532,0.0627007719231736,0.06270077180986718,0.0,0.0,1.0,0.0
prime,1,-144,0,22532,0.38887215842842765,0.256286659483983,0.11485886738860288,0.13886916385584946,0.0,0.25230782886561337
prime,1,-143,odd,22532,0.06270077192175583,0.06270077180844941,0.0,0.0,0.0,0.2471152139179833
prime,1,-142,2,22532,0.09937837226112943,0.09937837208154299,0.0,0.0,1.0,0.2485354162968223
prime,1,-141,odd,22532,0.06270077192033806,0.06270077180703162,0.0,0.0,0.0,0.25204154091958103
prime,1,-140,4,22532,0.5387654754495347,0.4226958527804315,0.19603230960411858,0.23362329131901297,0.0,0.0
prime,1,-139,odd,22532,0.06270077191892029,0.06270077180561387,0.0,0.0,1.0,0.25230782886561337
prime,1,-138,0,22532,0.40310637902731694,0.25628718378070386,0.12622048641931474,0.15178412923841647,0.0,0.2471152139179833
prime,1,-137,odd,22532,0.06270077191750252,0.06270077180419609,0.0,0.0,0.0,0.2485354162968223
prime,1,-136,2,22532,0.09937837225438809,0.09937837207480166,0.0,0.0,1.0,0.25204154091958103
prime,1,-135,odd,22532,0.06270077191608474,0.06270077180277833,0.0,0.0,0.0,0.0
prime,1,-134,4,22532,0.39342335293824093,0.25628696320251365,0.11969643174152317,0.1423309071542695,0.0,0.25230782886561337
prime,1,-133,odd,22532,0.06270077191466698,0.06270077180136055,0.0,0.0,1.0,0.2471152139179833
prime,1,-132,0,22532,0.4180266859581482,0.2836307334363668,0.13292206639446122,0.1603941061601278,0.0,0.2485354162968223
prime,1,-131,odd,22532,0.0627007719132492,0.06270077179994278,0.0,0.0,0.0,0.25204154091958103
prime,1,-130,2,22532,0.09937837224764676,0.09937837206806031,0.0,0.0,1.0,0.0
prime,1,-129,odd,22532,0.06270077191183145,0.06270077179852501,0.0,0.0,0.0,0.25230782886561337
prime,1,-128,4,22532,0.3959793875541896,0.2562871307784703,0.1207615835256524,0.14610331972306054,0.0,0.2471152139179833
prime,1,-127,odd,22532,0.06270077191041366,0.06270077179710724,0.0,0.0,1.0,0.2485354162968223
prime,1,-126,0,22532,0.4362014322389585,0.31063064062802515,0.14051127285638204,0.16918160837919405,0.0,0.25204154091958103
prime,1,-125,odd,22532,0.0627007719089959,0.06270077179568948,0.0,0.0,0.0,0.0
prime,1,-124,2,22532,0.09937837224090543,0.09937837206131897,0.0,0.0,1.0,0.25230782886561337
prime,1,-123,odd,22532,0.06270077190757813,0.0627007717942717,0.0,0.0,0.0,0.2471152139179833
prime,1,-122,4,22532,0.3968135466608594,0.2562870735895532,0.12262559914787857,0.146502751642109,0.0,0.2485354162968223
prime,1,-121,odd,22532,0.06270077190616036,0.06270077179285394,0.0,0.0,1.0,0.25204154091958103
prime,1,-120,0,22532,0.47677387387747866,0.3482753890546882,0.1600834368897568,0.19039588141310138,0.0,0.0
prime,1,-119,odd,22532,0.06270077190474259,0.06270077179143616,0.0,0.0,0.0,0.25230782886561337
prime,1,-118,2,22532,0.09937837223416406,0.09937837205457764,0.0,0.0,1.0,0.2471152139179833
prime,1,-117,odd,22532,0.06270077190332482,0.0627007717900184,0.0,0.0,0.0,0.2485354162968223
prime,1,-116,4,22532,0.3988825315541065,0.2562867248472611,0.12453399609444346,0.14934315639978696,0.0,0.25204154091958103
prime,1,-115,odd,22532,0.06270077190190705,0.06270077178860062,0.0,0.0,1.0,0.0
prime,1,-114,0,22532,0.40276758175858174,0.2562869229590639,0.1246227587431209,0.1511184093733357,0.0,0.25230782886561337
prime,1,-113,odd,22532,0.06270077190048928,0.06270077178718286,0.0,0.0,0.0,0.2471152139179833
prime,1,-112,2,22532,0.09937837222742273,0.09937837204783631,0.0,0.0,1.0,0.2485354162968223
prime,1,-111,odd,22532,0.06270077189907151,0.06270077178576508,0.0,0.0,0.0,0.25204154091958103
prime,1,-110,4,22532,0.5078344433906408,0.38810573450448127,0.18196342978874488,0.21777915853009053,0.0,0.0
prime,1,-109,odd,22532,0.06270077189765373,0.06270077178434731,0.0,0.0,1.0,0.25230782886561337
prime,1,-108,0,22532,0.39557162735212453,0.256287256043469,0.12031777028226523,0.14508254926327002,0.0,0.2471152139179833
prime,1,-107,odd,22532,0.06270077189623596,0.06270077178292954,0.0,0.0,0.0,0.2485354162968223
prime,1,-106,2,22532,0.0993783722206814,0.09937837204109497,0.0,0.0,1.0,0.25204154091958103
prime,1,-105,odd,22532,0.06270077189481821,0.06270077178151176,0.0,0.0,0.0,0.0
prime,1,-104,4,22532,0.4106316657884873,0.26634936776323004,0.13176815196165453,0.1571986508077401,0.0,0.25230782886561337
prime,1,-103,odd,22532,0.06270077189340044,0.062700771780094,0.0,0.0,1.0,0.2471152139179833
prime,1,-102,0,22532,0.4055547477593351,0.2663483715523467,0.1282620273388958,0.15489082194212675,0.0,0.2485354162968223
prime,1,-101,odd,22532,0.06270077189198266,0.06270077177867624,0.0,0.0,0.0,0.25204154091958103
prime,1,-100,2,22532,0.09937837221394007,0.09937837203435364,0.0,0.0,1.0,0.0
prime,1,-99,odd,22532,0.06270077189056489,0.06270077177725847,0.0,0.0,0.0,0.25230782886561337
prime,1,-98,4,22532,0.43991692471209093,0.31063129598012995,0.14636960766909285,0.17432984200248536,0.0,0.2471152139179833
prime,1,-97,odd,22532,0.06270077188914712,0.06270077177584069,0.0,0.0,1.0,0.2485354162968223
prime,1,-96,0,22532,0.3920012715574724,0.2562868659190361,0.11911947452511983,0.14361796556009232,0.0,0.25204154091958103
prime,1,-95,odd,22532,0.06270077188772935,0.06270077177442293,0.0,0.0,0.0,0.0
prime,1,-94,2,22532,0.09937837220719874,0.0993783720276123,0.0,0.0,1.0,0.25230782886561337
prime,1,-93,odd,22532,0.06270077188631158,0.06270077177300515,0.0,0.0,0.0,0.2471152139179833
prime,1,-92,4,22532,0.4026815176896208,0.2562874220477287,0.12577667317592756,0.15200603586011008,0.0,0.2485354162968223
prime,1,-91,odd,22532,0.0627007718848938,0.0627007717715874,0.0,0.0,1.0,0.25204154091958103
prime,1,-90,0,22532,0.47735487078834293,0.3482757271355062,0.16026096218711167,0.19279247292739216,0.0,0.0
prime,1,-89,odd,22532,0.06270077188347603,0.06270077177016961,0.0,0.0,0.0,0.25230782886561337
prime,1,-88,2,22532,0.0993783722004574,0.09937837202087096,0.0,0.0,1.0,0.2471152139179833
prime,1,-87,odd,22532,0.06270077188205828,0.06270077176875184,0.0,0.0,0.0,0.2485354162968223
prime,1,-86,4,22532,0.39649414013316825,0.2562871365417112,0.12071720220131368,0.1453044558849636,0.0,0.25204154091958103
prime,1,-85,odd,22532,0.06270077188064048,0.06270077176733407,0.0,0.0,1.0,0.0
prime,1,-84,0,22532,0.4386605702018836,0.31063101521972314,0.14472749866856027,0.17264335167761405,0.0,0.25230782886561337
prime,1,-83,odd,22532,0.06270077187922272,0.06270077176591629,0.0,0.0,0.0,0.2471152139179833
prime,1,-82,2,22532,0.09937837219371605,0.09937837201412962,0.0,0.0,1.0,0.2485354162968223
prime,1,-81,odd,22532,0.06270077187780497,0.06270077176449854,0.0,0.0,0.0,0.25204154091958103
