check,passes
protocol_hash_matches,True
gap_count_exact,True
gap_period_exact,True
gap_hash_exact,True
gaps_positive_even,True
empirical_tensor_matches_pn1d,True
context_contributions_sum_to_cmi,True
quadruple_contributions_sum_to_cmi,True
