transition,parent_prime,child_prime,log_step,ordered_plane_jsd_bits,markov_residual_cosine,deformation_l2,deformation_l1,deformation_per_log_l2,cosine_with_previous_deformation,angle_with_previous_deformation_degrees
11->13,11,13,2.5649493574615367,0.023027312481261525,0.9892043570318337,0.0234713184249049,0.12428938600469024,0.009150792142006986,,
13->17,13,17,2.833213344056216,0.007619445279820788,0.9951407428795401,0.013180979982684384,0.06941567602438456,0.004652307603427287,0.9793717961779855,11.657830493182578
17->19,17,19,2.9444389791664403,0.004323741340395671,0.9966976367897112,0.009523510185145237,0.049572579681460394,0.003234405689005417,0.990549084675897,7.883466028803863
19->23,19,23,3.1354942159291497,0.0022981102896607077,0.99813895912382,0.006540234337423132,0.034246092667231554,0.0020858703244282803,0.9924214416697928,7.0583889788224665
